Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature,Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Time_Period_Evening,Time_Period_Late Evening,Time_Period_Morning,Time_Period_Night,Rented Bike Count
23.8,,0.6,2000.0,17.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,2000
28.9,86.0,2.2,1592.0,26.3,0.26,7.3,0.0,Summer,No Holiday,Yes,False,False,False,False,468
-9.6,34.0,2.6,2000.0,-22.5,,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,193
23.8,48.0,2.0,2000.0,12.1,0.0,0.0,0.0,Summer,No Holiday,Yes,False,True,False,False,1702
-5.4,41.0,0.3,2000.0,-16.6,0.0,0.0,0.0,Winter,Holiday,Yes,False,False,True,False,49
13.0,76.0,0.9,231.0,8.8,0.0,0.0,0.0,Autumn,No Holiday,No,False,True,False,False,0
12.6,57.0,0.9,859.0,4.2,0.98,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,642
0.5,22.0,2.9,2000.0,-18.8,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,319
13.8,52.0,1.6,1088.0,4.0,,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1261
7.1,78.0,3.6,1662.0,3.5,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,349
21.7,97.0,0.8,838.0,21.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,486
-8.1,41.0,2.0,2000.0,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,175
1.1,79.0,1.7,1480.0,-2.1,0.36,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,1174
25.9,52.0,2.1,2000.0,15.2,0.57,0.0,0.0,Summer,No Holiday,Yes,True,False,False,False,3196
16.4,59.0,1.7,2000.0,8.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,222
-5.3,32.0,4.5,2000.0,-19.4,0.62,0.0,0.0,Winter,No Holiday,Yes,False,False,False,False,212
11.8,59.0,2.1,975.0,4.0,1.44,0.0,0.0,Spring,No Holiday,No,False,False,True,False,0
-8.5,29.0,2.4,1992.0,-23.4,0.56,,0.0,Winter,No Holiday,Yes,False,False,False,False,146
-1.1,83.0,0.8,237.0,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,127
4.8,38.0,3.0,1582.0,-8.3,0.47,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,422
6.7,55.0,1.5,2000.0,-1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,699
4.6,51.0,1.2,1585.0,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,359
4.1,63.0,0.7,263.0,-2.3,0.13,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,345
21.7,60.0,1.7,1540.0,13.5,1.44,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,868
8.3,53.0,1.1,1007.0,-0.7,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,125
28.3,67.0,3.0,1242.0,21.5,,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,933
28.2,65.0,0.3,1999.0,20.9,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,332
-15.7,53.0,1.3,1629.0,-23.1,0.0,0.0,0.3,Winter,No Holiday,Yes,False,False,True,False,57
-1.2,51.0,0.8,1800.0,-10.0,0.05,0.0,0.0,Winter,No Holiday,Yes,False,False,True,False,646
4.6,50.0,0.9,824.0,-4.9,0.62,0.0,0.0,Winter,No Holiday,Yes,False,False,False,False,353
18.3,26.0,1.2,1503.0,-1.5,2.17,0.0,,Autumn,No Holiday,Yes,False,False,False,False,1355
-2.4,63.0,1.3,1523.0,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,227
18.2,65.0,1.8,1563.0,11.5,0.0,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,1517
11.2,80.0,0.3,1236.0,7.8,0.0,0.0,0.0,Autumn,No Holiday,No,False,False,False,True,0
-0.8,85.0,2.9,836.0,-3.0,0.0,0.0,1.0,Winter,No Holiday,Yes,False,True,False,False,181
5.4,78.0,1.5,404.0,1.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,563
22.8,67.0,1.2,930.0,16.3,1.55,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,1056
-0.4,62.0,0.9,1103.0,-6.8,0.0,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,402
26.5,45.0,1.6,2000.0,13.5,1.91,0.0,0.0,Summer,No Holiday,Yes,True,False,False,False,1726
-0.2,32.0,0.7,2000.0,-14.9,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,97
-7.6,32.0,4.8,2000.0,-21.4,0.0,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,135
12.0,61.0,3.6,1374.0,4.6,0.57,,0.0,Spring,No Holiday,Yes,True,False,False,False,124
28.9,71.0,1.2,1982.0,23.1,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,681
26.7,67.0,0.8,,20.0,0.13,0.0,0.0,Summer,No Holiday,Yes,False,False,True,False,425
13.2,28.0,2.9,2000.0,-4.9,0.22,0.0,0.0,Spring,No Holiday,No,True,False,False,False,0
27.9,78.0,0.6,1989.0,23.7,0.03,0.0,0.0,Summer,No Holiday,Yes,False,True,False,False,1591
-2.5,39.0,3.4,2000.0,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,125
32.3,35.0,1.8,982.0,14.8,2.71,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,1016
8.8,49.0,0.7,1272.0,-1.3,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,281
-4.1,49.0,0.6,2000.0,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,296
3.0,30.0,1.3,1242.0,-12.9,0.3,0.0,,Autumn,No Holiday,Yes,False,False,True,False,798
6.9,46.0,2.1,1541.0,-3.9,2.33,0.0,0.0,Spring,No Holiday,Yes,False,False,False,False,565
25.4,63.0,0.9,2000.0,17.8,1.01,,0.0,Autumn,No Holiday,Yes,False,False,False,False,1284
-10.6,47.0,3.7,2000.0,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,54
3.1,50.0,3.7,2000.0,-6.3,0.07,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,604
20.9,79.0,2.0,932.0,17.1,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,929
5.1,44.0,3.4,2000.0,-6.1,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,165
33.7,55.0,3.7,1843.0,23.3,2.67,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,712
10.6,60.0,1.0,,3.1,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,263
7.8,49.0,0.1,528.0,-2.2,0.0,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,695
8.9,91.0,2.2,437.0,7.5,0.29,1.5,0.0,Spring,No Holiday,Yes,False,False,False,False,10
-3.7,64.0,0.7,1891.0,-9.5,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,True,False,373
4.5,59.0,1.6,384.0,-2.8,0.14,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,534
8.7,44.0,1.6,1684.0,-2.8,,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,260
18.6,85.0,2.0,307.0,16.0,0.16,0.0,0.0,Summer,No Holiday,Yes,False,False,True,False,1551
20.5,57.0,2.0,2000.0,11.6,0.0,0.0,0.0,Autumn,No Holiday,No,False,True,False,False,0
5.7,53.0,1.8,276.0,-3.1,0.22,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,377
24.8,75.0,1.1,1418.0,20.0,0.63,0.0,0.0,Summer,No Holiday,Yes,False,False,True,False,1246
-9.2,44.0,0.4,1978.0,-19.2,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,174
9.8,63.0,0.5,2000.0,3.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,215
21.5,78.0,1.2,2000.0,17.4,0.51,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,1550
27.4,30.0,2.0,1768.0,8.2,3.03,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,1085
28.9,,2.0,1975.0,14.6,2.5,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,1070
15.1,52.0,3.4,622.0,5.3,1.3,0.0,0.0,Autumn,No Holiday,No,False,False,False,False,0
28.6,73.0,0.8,1808.0,23.2,0.0,0.0,0.0,Summer,Holiday,Yes,False,False,False,True,227
33.7,53.0,1.9,990.0,22.7,2.5,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,714
8.8,37.0,3.8,1750.0,-5.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1020
32.4,50.0,2.2,2000.0,20.6,1.92,0.0,0.0,Summer,No Holiday,Yes,True,False,False,False,1783
19.2,65.0,1.4,2000.0,12.4,0.34,0.0,0.0,Summer,No Holiday,Yes,False,False,True,False,786
-11.2,55.0,1.5,2000.0,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,39
-10.3,,2.0,2000.0,-19.2,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,77
21.7,36.0,3.2,1929.0,5.9,1.64,0.0,0.0,Autumn,No Holiday,No,True,False,False,False,0
24.4,87.0,1.5,1153.0,22.0,1.44,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,580
19.0,76.0,0.3,1488.0,14.6,0.0,0.0,0.0,Autumn,No Holiday,No,False,False,True,False,0
31.1,64.0,2.7,1770.0,23.4,0.02,0.0,0.0,Summer,No Holiday,Yes,False,True,False,False,1836
8.9,34.0,2.9,1787.0,-6.1,0.52,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,1018
22.0,60.0,1.8,2000.0,13.8,0.14,0.0,0.0,Summer,No Holiday,Yes,True,False,False,False,1220
26.0,23.0,2.3,1923.0,3.2,2.92,0.0,0.0,Spring,No Holiday,Yes,False,False,False,False,1161
11.5,70.0,0.5,2000.0,6.2,0.0,0.0,,Autumn,Holiday,Yes,False,False,False,True,105
19.8,51.0,,2000.0,9.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1796
-4.6,26.0,1.9,2000.0,-21.2,0.39,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,207
3.8,75.0,4.1,604.0,-0.2,0.0,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,312
15.5,,1.7,2000.0,5.6,0.7,0.0,0.0,Spring,No Holiday,Yes,True,False,False,False,1118
16.9,88.0,2.5,2000.0,14.8,0.0,1.5,0.0,Autumn,No Holiday,No,False,False,False,True,0
15.5,97.0,1.5,181.0,15.0,0.0,0.5,0.0,Spring,No Holiday,Yes,False,False,False,True,145
9.9,74.0,2.6,492.0,5.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,1956
35.2,39.0,1.2,2000.0,19.1,2.86,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,626
-4.5,26.0,2.2,2000.0,-21.1,0.56,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,278
31.1,63.0,2.0,1542.0,23.2,0.06,0.0,0.0,Summer,No Holiday,Yes,False,True,False,False,1834
26.7,62.0,1.0,2000.0,18.8,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,209
19.0,38.0,1.9,2000.0,4.3,1.72,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,1203
2.6,27.0,0.8,1120.0,-14.5,0.82,0.0,0.0,Winter,No Holiday,Yes,False,False,False,False,268
12.8,56.0,2.0,2000.0,4.2,0.0,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,1374
2.9,65.0,2.3,1150.0,-3.0,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,346
16.2,41.0,1.4,1907.0,2.9,0.06,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,1618
23.8,51.0,3.5,1970.0,13.0,2.62,,,Autumn,No Holiday,Yes,False,False,False,False,988
2.5,72.0,2.4,256.0,-2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,False,267
36.2,41.0,2.9,1814.0,20.8,2.68,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,627
6.2,,0.6,1584.0,-1.2,0.0,0.0,,Autumn,No Holiday,Yes,False,False,False,True,327
19.2,39.0,1.0,2000.0,4.8,1.66,0.0,0.0,Autumn,Holiday,No,False,False,False,False,0
21.1,73.0,1.2,1957.0,16.0,0.4,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,217
20.1,40.0,,1985.0,6.0,2.47,0.0,0.0,Autumn,Holiday,Yes,False,False,False,False,853
6.6,66.0,1.0,2000.0,0.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,324
30.2,52.0,1.4,1923.0,19.2,2.13,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,700
22.2,92.0,1.2,254.0,20.8,0.11,4.9,0.0,Summer,No Holiday,Yes,True,False,False,False,65
-5.9,52.0,,1935.0,-14.1,0.53,0.0,0.0,Winter,No Holiday,Yes,False,False,True,False,285
10.2,58.0,2.4,2000.0,2.2,0.0,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,668
24.0,41.0,1.9,2000.0,9.9,0.1,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,1978
26.7,80.0,1.4,1465.0,22.9,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,1041
7.5,53.0,0.8,909.0,-1.4,1.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,651
-7.9,37.0,2.2,2000.0,-20.0,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,133
31.1,54.0,1.9,2000.0,20.6,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,215
-1.5,32.0,2.5,2000.0,-16.0,0.0,0.0,0.0,Winter,Holiday,Yes,True,False,False,False,169
17.1,66.0,0.3,1370.0,10.6,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,193
20.8,84.0,0.9,1078.0,17.9,0.0,0.5,0.0,Summer,No Holiday,Yes,False,True,False,False,348
23.5,83.0,1.4,436.0,20.4,0.0,0.0,0.0,Summer,No Holiday,Yes,False,True,False,False,1552
10.6,90.0,1.6,1065.0,9.0,0.0,1.5,0.0,Autumn,No Holiday,Yes,False,False,True,False,136
5.8,50.0,0.9,547.0,-3.8,0.11,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,277
19.8,59.0,1.3,2000.0,11.5,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,555
9.2,27.0,2.9,1880.0,-8.8,2.32,0.0,0.0,Spring,No Holiday,Yes,False,False,False,False,567
33.4,49.0,2.6,2000.0,21.2,0.32,0.0,0.0,Summer,No Holiday,Yes,True,False,False,False,1903
2.1,44.0,0.9,,-8.9,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,213
37.2,38.0,0.9,1976.0,20.5,1.96,0.0,0.0,Summer,Holiday,Yes,False,False,False,False,627
-4.4,81.0,2.5,,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,True,False,146
8.5,32.0,2.6,1789.0,-7.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1078
27.4,50.0,3.5,615.0,16.0,3.01,0.0,0.0,Summer,Holiday,Yes,False,False,False,False,1603
14.1,46.0,3.4,1940.0,2.6,0.01,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,1389
-1.7,18.0,2.0,1919.0,-22.9,1.41,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,240
36.3,36.0,1.5,2000.0,18.8,1.87,0.0,0.0,Summer,No Holiday,Yes,True,False,False,False,895
5.9,90.0,2.8,1820.0,4.3,0.32,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,1235
-7.6,35.0,0.8,,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,263
23.7,62.0,1.6,1402.0,15.9,0.0,0.4,0.0,Summer,No Holiday,Yes,False,True,False,False,246
3.4,,1.5,386.0,1.9,0.21,0.5,0.0,Spring,No Holiday,Yes,False,False,True,False,100
32.8,63.0,2.3,1546.0,24.8,0.89,0.1,,Summer,Holiday,Yes,True,False,False,False,925
12.8,65.0,2.0,2000.0,6.3,1.76,0.0,0.0,Spring,No Holiday,Yes,False,False,False,False,744
17.6,93.0,0.3,331.0,16.4,0.06,1.5,0.0,Spring,Holiday,Yes,True,False,False,False,45
19.0,30.0,3.0,1719.0,1.0,2.84,0.0,0.0,Spring,No Holiday,Yes,False,False,False,False,1000
-9.7,51.0,2.8,2000.0,-17.9,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,165
7.7,48.0,0.4,1110.0,-2.6,0.19,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,254
-4.5,42.0,1.4,1944.0,-15.5,0.0,0.0,0.0,Winter,Holiday,Yes,False,False,False,True,35
27.8,73.0,0.9,1971.0,22.5,0.01,0.0,0.0,Summer,No Holiday,Yes,False,False,True,False,622
11.7,60.0,0.5,1002.0,4.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1147
15.8,42.0,0.9,683.0,2.8,1.37,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,962
17.1,31.0,3.3,1075.0,-0.1,1.33,0.0,0.0,Spring,No Holiday,Yes,True,False,False,False,925
21.2,60.0,0.9,1789.0,13.1,0.0,0.0,0.0,Summer,Holiday,Yes,False,False,False,True,1268
23.7,56.0,2.4,1070.0,14.3,2.33,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,1100
7.0,20.0,3.3,1994.0,-14.4,1.21,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,768
13.4,33.0,1.2,1356.0,-2.5,0.15,0.0,0.0,Spring,No Holiday,Yes,True,False,False,False,1599
7.7,60.0,0.3,1993.0,0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,306
3.3,72.0,1.4,618.0,-1.2,0.61,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,664
-0.6,70.0,3.4,1204.0,-5.4,0.0,0.0,0.0,Winter,Holiday,Yes,False,True,False,False,116
13.2,,3.9,719.0,5.8,1.03,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,995
17.6,0.0,1.4,1219.0,8.7,0.34,0.0,,Spring,No Holiday,Yes,False,False,True,False,341
10.6,68.0,0.9,603.0,4.9,0.0,,0.0,Autumn,No Holiday,Yes,False,False,False,True,356
21.9,23.0,2.6,1463.0,-0.1,2.66,0.0,0.0,Spring,No Holiday,Yes,False,False,False,False,1227
20.5,73.0,1.6,364.0,15.4,1.23,0.0,0.0,Summer,No Holiday,Yes,False,False,True,False,1342
2.4,57.0,3.2,1995.0,-5.2,0.0,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,406
-8.6,68.0,3.3,2000.0,-13.4,0.0,0.0,1.0,Winter,No Holiday,Yes,False,False,False,True,55
25.9,52.0,1.3,2000.0,15.2,0.0,0.0,0.0,Summer,No Holiday,Yes,False,True,False,False,1342
0.1,32.0,0.9,1937.0,-14.6,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,219
-6.6,34.0,1.8,2000.0,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,False,False,False,True,163
15.5,37.0,1.9,2000.0,0.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1519
7.1,40.0,0.6,1995.0,-5.6,0.01,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,877
16.7,89.0,2.4,1814.0,14.8,0.0,1.0,0.0,Autumn,No Holiday,No,False,False,False,True,0
22.7,59.0,2.0,940.0,14.2,1.77,,0.0,Summer,No Holiday,Yes,False,False,True,False,1360
23.2,83.0,1.6,1102.0,20.1,0.0,0.0,,Summer,No Holiday,Yes,False,False,False,True,170
10.8,77.0,0.3,1268.0,6.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,381
17.6,55.0,0.5,1362.0,8.4,0.0,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,1209
10.8,69.0,0.8,2000.0,5.3,0.0,0.0,0.0,Autumn,Holiday,No,False,False,True,False,0
8.0,73.0,,433.0,3.4,0.53,,0.0,Winter,No Holiday,Yes,False,False,False,False,621
2.2,65.0,1.9,2000.0,-3.7,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,598
15.9,81.0,2.8,250.0,12.6,,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1659
27.6,80.0,1.0,783.0,23.8,0.27,0.0,,Summer,No Holiday,Yes,False,False,True,False,1111
28.2,64.0,2.8,1978.0,20.7,0.5,0.0,0.0,Summer,No Holiday,Yes,True,False,False,False,2637
-6.0,40.0,4.0,2000.0,-17.4,0.55,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,277
25.1,65.0,2.2,2000.0,18.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1047
10.5,57.0,0.2,1837.0,2.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,253
12.9,56.0,2.5,1345.0,4.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,1180
-1.1,87.0,1.4,349.0,-2.9,0.0,0.0,2.2,Winter,No Holiday,Yes,False,True,False,False,153
6.7,84.0,0.8,320.0,4.1,0.0,0.0,0.0,Spring,No Holiday,Yes,False,False,False,True,38
19.4,62.0,1.7,2000.0,11.9,0.0,0.0,0.0,Autumn,No Holiday,No,False,True,False,False,0
15.9,48.0,2.7,538.0,4.8,1.87,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,1094
3.4,55.0,1.5,2000.0,-4.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,488
-8.9,39.0,0.1,2000.0,-20.3,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,271
8.9,48.0,1.1,1444.0,-1.5,0.69,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,1789
-7.1,40.0,3.2,2000.0,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,True,False,False,False,282
13.5,98.0,0.4,251.0,13.1,0.01,0.0,0.0,Spring,No Holiday,Yes,False,False,True,False,139
3.1,74.0,1.1,333.0,-1.0,0.0,0.0,0.0,Winter,No Holiday,Yes,False,True,False,False,320
21.2,97.0,0.8,1018.0,20.6,0.0,2.0,0.0,Summer,No Holiday,Yes,False,False,False,True,17
8.7,53.0,0.4,764.0,-0.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,True,False,False,1061
4.6,94.0,0.9,90.0,3.7,0.0,6.4,0.0,Winter,Holiday,Yes,False,False,True,False,3
20.9,96.0,0.4,970.0,20.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,True,324
12.8,57.0,1.2,1838.0,4.4,0.55,0.0,0.0,Autumn,Holiday,No,False,False,True,False,0
5.5,34.0,1.0,1966.0,-9.1,0.96,0.0,0.0,Winter,No Holiday,Yes,False,False,False,False,416
-2.9,46.0,1.0,809.0,-12.9,0.42,0.0,0.0,Winter,No Holiday,Yes,False,False,False,False,279
16.2,58.0,2.4,1991.0,7.9,0.12,0.0,0.0,Autumn,No Holiday,Yes,True,False,False,False,1662
1.2,87.0,0.9,1802.0,-0.7,0.0,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,320
21.8,67.0,1.9,878.0,15.3,1.88,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,925
6.3,72.0,1.0,1104.0,1.6,0.0,0.0,0.0,Autumn,No Holiday,No,False,False,False,True,0
13.0,38.0,,2000.0,-1.0,2.3,0.0,0.0,Autumn,No Holiday,Yes,False,False,False,False,959
36.4,40.0,3.2,2000.0,20.6,2.59,0.0,0.0,Summer,No Holiday,Yes,True,False,False,False,853
36.2,36.0,1.5,1985.0,18.7,2.87,0.0,0.0,Summer,No Holiday,Yes,False,False,False,False,760
31.5,68.0,0.0,1504.0,24.8,0.0,0.0,0.0,Summer,No Holiday,Yes,False,False,False,True,459
10.6,81.0,0.0,1798.0,7.4,0.0,0.0,0.0,Autumn,No Holiday,No,False,False,True,False,0
5.5,33.0,3.2,1995.0,-9.5,0.0,0.0,0.0,Spring,No Holiday,Yes,False,True,False,False,625
-11.1,61.0,0.7,1963.0,-17.1,0.01,0.0,0.0,Winter,No Holiday,Yes,False,False,True,False,491
