user_id,ads_activity
c8fb-fb73c816ad6f3a063dfc-1e7a6a8f,редко
0684-a33a3b423b58a299fe5c-df04ee9d,редко
e3b3-2de04d966dcb5822e628-992de122,умеренно
d868-049a7ce642cde76db3e0-97bc7aa5,очень часто
3d79-779309dc558358c91a9d-121e84f3,очень редко
4602-6c4ae65cd0b200e892e5-b2a4b912,очень редко
5695-a15e9f7848070c3bacb4-4068bcdc,умеренно
1437-03690b7b5c76d60ba0f4-358397dc,редко
e99c-ec2aba47f26d13c2958c-6f2fcf77,умеренно
0ba2-4767bcbe9f519da81cc7-63081597,редко
4a77-e9a694421172d45a1632-d9415697,редко
6aee-516c52f06436c83f6f38-35ee95ad,часто
15c1-7d92aab3fd540412da51-7dbfa56a,часто
bded-153a94658b85854ae12a-9bad6dee,умеренно
60bc-bc58e01a55a869e0c5ef-2339ae4a,часто
a5d2-5db6bcc2dc3095da4fbf-9c2f6f23,очень редко
f6e3-56690143961c06bc435a-eff78505,часто
3f96-ab47e2d95d06e27bbf84-90187f99,умеренно
99e5-a5faa4c1cb6f5150ce63-3effe4e1,очень редко
a531-a1bfd2e804a370025458-964672d6,часто
5f06-cc980425b7c1095a194d-94d548c0,часто
e1e9-2f708fa37b8ec177a635-9d431a91,очень часто
a931-ef0ec902a3c1d5d8b4c1-e3878565,редко
e1d5-8d10d89e152b658fc671-8d789dcc,редко
ebd3-df760243dada2bc9ac1f-1fada439,редко
bde6-55f0f4d4484d11936ce4-74f40738,умеренно
dc6a-2abd437c8ad4e79673da-ba2546c8,часто
f5d4-6fcada0eec22ee5210a6-34b01d23,редко
270b-80bbb797450e5f4a314b-4f2c10df,умеренно
34ce-214c49c28091d2fae4ed-d1a01f9e,часто
0ac4-6ee29a08f3755de3c6eb-91b6d9ab,часто
e524-8cb6cdb6917b28e0e6ad-d2362054,умеренно
fc25-161c3a8d67525bd8c24a-646e7bd6,редко
2466-2b5d7e4fce1b8b3049c5-bfaa78b1,очень редко
d9d5-f40795f3b7ba7623eeb5-c87f5321,часто
7206-fe66453d6ce1ae632af6-c528b4b6,часто
94d9-66b9520201e3367b896e-88147398,редко
b833-9e55f89bf9b7b4aa9665-52aed56e,очень редко
a687-33473d063694a0fc55f4-8bf0be5c,редко
b74c-9ec4e20f84ee4bb4bc76-4c1befaf,часто
61c5-0fa862cdb11e0226012f-ae667a8d,редко
6649-c9fa1d62fda41cd02213-a186027d,редко
a993-3a243353c448a6f2b153-16f343e1,очень редко
e87e-00641d3c79518f4e9650-c225852c,умеренно
5119-b766378767e7d0c147a4-341512f9,часто
6660-7d3c8463e7deed0c8690-3ffe0201,часто
eae6-778d90e2ebf911ccb975-539e3563,умеренно
5e71-36b001affa0ceb2c377e-6d0a0058,очень редко
b114-c6b51b90271d47927d14-23903d08,умеренно
81dd-59ed9955944147cb8ce3-01315b22,часто
9f0d-b8a27de955a78af97377-63c0e4ba,очень редко
08b4-b49b80c80121def77edf-0aacf56e,редко
1250-0e414c774c1440187abf-111bc3be,часто
8c05-4156cae3ff742cc23458-c59f849a,умеренно
8403-509def3f5c0cc9a09bac-c5e4943b,умеренно
05b4-abb3118cad35d1559856-c6fd9fbf,умеренно
85b3-d441c99ddc905a8d0358-2895c4f8,редко
3aa3-a5aed539eea3808d97a8-03eae801,умеренно
ad97-de02e6c3256a4f0e4eca-bb98f635,редко
d4a8-a721314c5dc8b328673d-4b020814,очень редко
4ee0-815a0de46ffa3a3ad689-e8e4ecc3,умеренно
adad-078a43750918d065c2d6-04043cf1,часто
020b-d5f19aaafb15cf9e8324-f5b26d5c,умеренно
3c06-384e53c8ccabc2f9970f-28044e16,очень редко
414d-c3f7e6eda9b4c51a6f18-a4be4c65,редко
e313-6ac292332aa4c9b36d7f-f8f18709,умеренно
5d27-cc3af9edef00a9ba2f5f-35cea306,редко
27e5-aeb051fef00e58493a0c-687c4fb2,редко
2f46-8258dd5e14204b457f6b-5f527315,редко
5519-ee73b3f57888945a2593-56e69fe0,очень редко
dd7d-5716f8d6a851e2058127-8a848ea4,редко
c6ff-6ed0ba76893595e3129c-9623e088,редко
8b3d-9987dd7f5fcb959354e1-3a46cb85,редко
78c4-64d7b1e8fed25f1cc218-121d6abc,очень редко
7f16-7b3353ea2dac1822f7de-412d0e3e,редко
594d-da432ef39b6421444890-391be30c,редко
e782-21e8b37cd81f355b0d31-e615527d,редко
262b-0038795e1cef824748ff-ef3989f0,редко
4ef5-7ca677e99d92abae525a-2571060c,очень часто
695e-9907623abc7c9439af32-ccebf195,часто
3b8c-db18cc3fd9685543961a-13f457fd,умеренно
4f6d-8d61aa157ba815fad20c-9fd156df,умеренно
feb0-3324c259b4b3bc9a5797-2381ae43,редко
e078-c73bba63675c419c64c7-d5001705,редко
7abb-cae6732fbfb8f18d0f91-dc42afdf,редко
59f4-fee38568b6911e16faa5-8df57e6d,редко
b0be-83990f0271102ccfc494-7104ecd5,часто
af0f-73586ed51a1efa119554-bc008217,часто
078c-20ee707a87eb93bce89b-10cd57b3,умеренно
33b6-c32fa9887ba9c5c8794e-360c4c51,очень часто
72ca-32335ebd35b6e9357970-0ce28442,очень редко
8f69-d81dcd0d1bc85c94e718-4c4e3573,редко
5b9a-133d34ee3c6ea950a999-9916e9b9,редко
3027-ab9c97ebfaec935c55d3-53e63bf8,очень редко
9af5-763047964ae87bf0f787-3713a18a,часто
f1cb-895c1af7c83d518ddcc6-0618050a,редко
0a84-88eaf90c7a65bb6a2c0b-059d2ae8,умеренно
e28c-bed0ae5f41326387d328-249375aa,умеренно
7679-588dd64de58698b52c2f-8428c54a,умеренно
a67e-19a2a3905aeaabe09b09-b3fd3393,редко
ff39-a5704978aa5de66236c9-2a40b8cc,умеренно
30b7-21bbeccfe4a24e361236-fb8f788f,умеренно
5924-19fbbec225d0ed4bc45e-f9cc8d45,умеренно
2e10-b44da0f94217a607b185-fcffb698,редко
0217-17b504a06ce90f0c0441-ce7e7aa2,умеренно
314c-d9a6b719d969a6aa3d3e-be896455,умеренно
c799-1917562d9fb250079b52-cd644dd0,часто
071d-487f2989d15c1b38530f-c9fafdeb,часто
d39e-259275fe02fe1afc5d82-59f34058,очень редко
e351-6448654183c74ab0eb33-bfa16897,редко
d882-d4f9962f823e37186d8f-79d03731,редко
a655-206e0501b8cf100b28fe-8db4a73c,умеренно
f2e5-74bc95cf70618c15a946-31853ed7,часто
5553-11d18438a0aeec65448a-6d4f4cb0,часто
3073-6522984a9242eb405a54-55745eda,часто
8893-5435725d962e02fd5e31-0a141368,умеренно
953a-2aab60b9991b0686b57c-30a5792b,редко
b02d-d1f7aeb6df0e31a9129a-e8116a46,редко
ec49-af42981776164eed0d55-87da058c,редко
b676-4155b6d953603429d81d-41c89820,умеренно
fafb-1b48d6778d6e97a0d923-410cbb98,часто
2e16-61fbbe4de249ab1dacfd-ddeeab14,редко
e5af-37ee5f6ef4e579f090e7-12adae44,очень редко
e743-d124fa3d464626934a91-22cb3c23,умеренно
e1f8-c823a55090878ecf1f39-b1781184,умеренно
f168-4c57ffe8344b40d60b84-b1b320f1,очень редко
8277-2b632a0c11162f4ddeab-066f0207,редко
7047-0d5ce423a246c4bdf124-ad82a1cb,умеренно
5589-4396cc615dae230e94d2-cca3d70e,умеренно
511e-bd8630e0951f33d784fb-92a8c7d7,умеренно
7afb-193c944716fef2ca6a38-cc7adb8a,умеренно
5c69-a214e959cd86971e374a-5a366a0a,редко
74b1-b772a4510872d4958e27-2f9a78fa,умеренно
5a67-0d2fc24125e24349b41e-065d11bc,очень редко
a337-78bdf5bc1f65ac3ccbfa-58d7ec04,редко
8129-45aa172d7ee9ef4eecc1-1566461a,умеренно
8037-87797be00a8bdcebf7db-87325a5e,умеренно
f44e-30269a6be4823cfcd26d-b0f45f5b,очень часто
fb8b-b27bf5a0eb8e69466368-46dd682e,умеренно
dbcb-8e09ce30e1b3a71f34ac-fc362b46,часто
453c-98dfbfbaeed9b784276b-4122e73b,умеренно
4cb4-bd00f57caaac38996854-f821a79f,часто
0b94-f9a2c9407659ad4a5d59-3335924f,очень редко
bfa7-13f7b067180f5fb6576c-3c3438a0,очень редко
bf59-24df2981bc71da05052d-75883569,редко
de76-9cbe5cef3d2e30e66431-ac9f772b,редко
32a9-bf99e749a6f8e91ef902-95a3a3c9,умеренно
69fb-f3ca6fe58fd20b2bed37-129c577b,умеренно
f36e-30563186681fa7f82ea7-219b53c4,редко
cc43-1be0156b50c366d6c405-ffb995c4,умеренно
ac56-4cf3197ffdf99b28e56e-b47d2320,умеренно
461f-22dcc751105a74da6dd4-c2fe7df5,умеренно
e5e9-e733b2df490de446c9e5-e421b433,очень редко
39ff-6e559b8bdbfa81423752-c5a85cc5,часто
bbec-b1c72ea3f8336d186929-059f1e88,редко
0fc1-d2f6b6f0b57d9d150647-6831f78b,очень редко
657b-a7d75ae83182fc297d4b-310dedc2,умеренно
2cca-5965597d5753496b33a2-80308d7d,часто
fe8c-b502da62379fae207076-ae6344ea,часто
edec-6035044a062117eda71f-7279f73e,умеренно
bb2a-06a409508d508245de96-d26ee35a,часто
ecd7-2632e17c00d3582d0148-e19c0a01,умеренно
42be-1e79211c40af9c3054c7-48adf447,умеренно
dd97-36d80677bc61c0f2ff39-1ddd5e78,умеренно
27c3-4f431914a50a10d4536f-cf84d76f,часто
7cdc-624410c935b08c1bd46b-014a371e,умеренно
fd9e-22c534c4fed510dc5ffc-80c317b5,умеренно
8e94-9a3c6af80ed9b75e7f88-b7cdb0bf,редко
7a7f-3ae51b8d7d4ab7f2660a-360420d4,очень часто
1ddd-3fe08e1d5baeec21634b-a0a39aeb,умеренно
df7f-bb215cb384984626fb75-074a5e12,редко
330f-2cd03aa8315fda18d517-edb38aad,редко
10d1-90b15978370c1c4e6afb-ec358ce4,редко
8c52-b268ab47e9b7882fb32b-854908b0,редко
2f5c-110e538a541804ab322f-c2183baf,очень редко
37c8-2bfba59e8a8b1573523c-7519ce73,редко
fd51-bc40583f62e609fbe6ad-5fd35924,очень часто
4abe-d75de86f5e0158b95825-f6256a93,часто
f0ea-6fa3c08c9dcb7414465b-58867ff3,редко
09aa-c555b7fb9fa15cb3365e-4852f39d,умеренно
d361-31ced9ace42d5d493623-a5e108a9,умеренно
2e7f-e252da11277c3dc1472e-ace14f1c,часто
992e-d0f08833b127f0eb58db-07b43fca,часто
1423-e9340432802d16df6edb-aeb1d181,часто
be6f-15e4485b2cccf6554d34-730e6101,очень редко
1961-43cd27e5cfdd44da9eb1-30bf48e9,часто
b392-0959102cc1c23b848284-cb4e437e,часто
925f-3a877b59dc1b59c9015b-fa09a186,очень редко
b6d0-896f82d33b0c6627c160-189a02a3,редко
8b7b-768ca1b1077e94b087bb-e5ecd080,редко
5916-627f42c48242f91aa1e0-70609ce6,редко
081f-62820cc01db2c0948e41-647f37c9,часто
548d-84335019c6012f78ea21-2df99351,редко
fb14-97605c604bdf4d5dd411-562e84e6,умеренно
747c-e200ea6499bdfe2283c7-1732ad94,редко
feb2-6b1c79e973821046373b-b5f4b325,редко
01f3-de6aa32d0b5b1c48c322-10f9aa30,умеренно
4f05-007bac9b0be289a9cf62-af353404,очень редко
5c7c-c76c9828e2d728d64261-2767b4ad,умеренно
3d1d-de83b450f7daaf959e96-f432f044,умеренно
a5bb-2e801124cdc59a1a4d2e-91cdab8d,очень редко
1dd7-460a992b817984cd0d66-b63143a0,редко
4a7a-5e75005b737a75856d91-b9050d7c,умеренно
96de-25e4db6ec487c449e7a1-4e0d9075,умеренно
dcd4-394a15711b550c31ace1-b8d33fd3,часто
8ed6-d9e7736ce8c1313e1926-0a319a65,часто
48b6-5b10c98db6365512ed7b-5531ee6b,редко
1f53-0ff5716106d7bb10d9ea-28def9a9,умеренно
fafb-ce4d839b08c1b25eced1-77725b26,редко
7de6-140915ef473baecd47a3-e5740c2a,редко
fb7e-d9376736f8ca00dcc92d-4e9643c0,умеренно
9795-eb6c150e32ee834fb0a6-e829e9c7,часто
cb2d-49244ec3b57f15aeb3a3-8f9b65ed,часто
0660-16efc1851a8526ab1da7-b58ff65b,очень часто
c617-ff95c4213a4fbb9f04c2-ff97e599,часто
3c93-b241a1491737ffb63161-67795377,редко
dfbb-6fcdb457e608991e5dd9-0734c0d2,редко
5bd8-46628c36ffbcb45af828-698b6fcd,часто
619f-1b43605973ece76c1e85-32e5f398,умеренно
8ff7-c6606de09ee08c08a6c9-0f71ad2b,умеренно
3190-0e12aeedb54c401d5482-754f813a,часто
d1dd-0694cc2cda564e29fb02-4ac8053d,умеренно
d085-9d64896b3ed0fce0443f-94aaa0b6,умеренно
7e09-83f7811a3eb3bc1d2c55-10afa295,очень редко
9b62-e245ef8fee1737aa7581-40f2eeaa,часто
967d-cf55bfe01552c3377738-97c08150,редко
5eea-22babd6a9474b43b9d0b-a39a4cf2,умеренно
44e8-cdf001cec90a7ad9d92b-be48457a,умеренно
2543-443b32a53ead39c8d042-55b0cd0d,очень редко
5343-feee10ccce5bcd346b17-111874d7,редко
2fb5-b132a576b8962e773eff-8c1aeae1,умеренно
c3cc-7f2e7862b861d84fcb6c-4eb26026,умеренно
0766-5b8e99bcc053e36fd796-3f81250c,редко
5f2c-7293a332728e67a09681-715587f6,редко
03e5-0202db52016742639213-3121d740,умеренно
1508-f8593eef537ae43c33fe-3e0759c4,умеренно
3b20-dbf48122f2299e4ae393-c2bff8d6,умеренно
588f-8d944f3b035673238360-430802cc,очень редко
55b1-e438f9d33b1e6d780f90-ae6b186d,редко
6654-b4a16c2afab2f68c286e-b98e2025,часто
cdf5-55b3a59e7988fcc9a180-e8cbab8f,редко
e0c4-cea6f8e325f4158df560-dc4955bd,умеренно
6606-cf94af0ca3350a8cb74b-8800e9ec,часто
7f62-77f65c4ebfd97045f75d-88cfe44e,часто
a4eb-a7df6ddac37caa43356b-04c21b96,редко
0a91-2e0fcf56e3aac40bb790-1ae882d2,часто
6bf2-4cfd249f436d3e76175a-21152175,редко
a8a6-9f5172590eefb8a8b72d-e20f5896,редко
51e2-b1001b7a3d3a2a74c045-b3e1d9bf,редко
9a82-389ce42708cd0d36dc19-d70aa4c7,очень редко
3944-0935b6b30dd3064c3497-5679b5e6,очень редко
65ea-0ab5809cdf098825a02f-db4ea512,редко
1000-8854448badaf2ed935b6-433f59e1,очень редко
4e0d-a69445c021d7e09e4f7a-e2cf1c74,умеренно
b93e-5536c37c8e8c43a44873-9e8af79a,умеренно
7f15-7e887b115408b87bab28-4b055a70,редко
e29f-97e5ba026c8743ee1ed6-758dec9e,умеренно
f6c6-92a497eeffb3bb232cbd-439ba375,умеренно
ab7b-788d2a8f703a86ae4807-4448ad66,очень часто
ddaa-07bd83a03e8384843678-6a441081,часто
b442-89ed4fd0c2817a7a4554-df612f6a,умеренно
35b9-dca1cabb0a07d3080533-feb179bb,умеренно
80a4-afa607a2bc00548ab1fb-f6d00c73,умеренно
71b8-4fffabf7738abb4aa90f-5bfda1f1,редко
8df0-cd6a2360e97e18f5810f-ed2e242c,умеренно
da0c-d4863f80f7dfd9940888-4d2ab68b,очень редко
6730-9a08a97ca740764a5c5d-fc8cade7,умеренно
8fc5-03ebb05d8d31f84ddf3a-bf84da67,редко
b003-014218a800e974232c2c-888261e7,умеренно
eb87-b28b730332fab4c8366d-8179f6a3,умеренно
7094-20fb2c2586405e94b254-6bef7212,умеренно
acab-7d48c08c554a38cd5cc0-88db0a20,редко
de6b-425df88cc55f5b131814-0c4dc057,очень редко
6f6c-89bc0c9ef2537fc72326-aa78141f,умеренно
168a-d84a1e43b19b278f770a-63214e42,умеренно
3b93-3b1c8a744d090c17d0d1-ddfbcf51,очень часто
b4af-12f2c7cb193c705e624a-e47a60bb,очень редко
ee47-db686342605ccf3ce244-088514e9,умеренно
3e92-db54b1e2918a6a34b0eb-147743fb,редко
c17c-14e8644816cdac37415e-501a924f,умеренно
c6d0-63c1d7902a1e66d1c321-adcf52d0,часто
121e-e99f4e586ac5ef0f70ae-56942d61,часто
e687-607198ec5648121631a0-bd96d3f3,очень редко
b94a-e9fa92cf442d137387a2-eef9c7a4,очень редко
8285-24c3fce370fa62d58424-3d8be4ab,очень редко
668e-42f0048bc906ca22c016-e3a372e4,умеренно
91d4-ee4ab3050951630d1681-b20cc1a5,умеренно
8282-188ccbf8fe6501f1d469-b5ac6a86,редко
991e-581d8c27b05f1a022cdb-6aa0dd59,очень редко
5b3a-947da83f1b75c3ada65e-7b15f13c,умеренно
f21d-270ef029859a5824cd04-9d36f4f4,редко
b69d-cc57c91aa51fc5f3f3b5-bfdac9a0,очень редко
1a80-b94da64ec2d290acba52-1a740ef4,редко
a196-495d4dacf979da2d37cf-888a004c,редко
75b2-17aed45f45b7fadb17ce-04b33239,часто
fc96-9f176ab61fcd05b85435-61978f5b,умеренно
70c3-175fddd934223f52b000-8bf8c690,редко
1eef-7529c9483e2d126ef3d2-01b220c3,редко
b8f9-cc4eafca418bcb6d1c2d-fe72eb2b,очень редко
3de4-bbaa26fbf274fff9aa04-c919bf4f,умеренно
1a0e-76862c41b787796c186f-f839f516,редко
cd40-dc48e97eedee8caf9028-0a85d4f2,редко
68b6-2a8420c1201a029f98c0-2c54c5dc,часто
4c95-fba6aec9689f5ebdaa3b-d1afe647,часто
dd4f-a1f3c451d9235f78f54c-6a049e4e,редко
3e16-6c0a276fcf7415107a31-e3fd389d,очень часто
3613-83fb68c3c45aa2f6f082-8ec14ca6,часто
3d7f-210ad3c52200e3714673-e015c10e,умеренно
b7a2-294e213307461f97f35e-757eb075,часто
1a73-f83e916589254b77bd8a-f03e38a0,очень редко
ef51-6ca937b33e2cf3f2b625-217de21d,редко
f802-b48e2d0761d40dac1f4d-bdd58b0a,часто
6e9c-f54628c778f8205c8d3d-452a094a,редко
72bb-e89148f76e34749edf9e-42432e9f,часто
09bd-56ced9a76593ab2d2f7d-b81f09bc,редко
aac9-6642823e9f16364f7778-f851eaf5,очень редко
1c56-0a90238f68de092a70b5-666d4e92,умеренно
ab53-7581c146276ca04971a7-887e6309,редко
d59f-41d1d4a634f9777503e2-6031d171,умеренно
ddae-d4b864a2aa4fb082637b-969d43c8,редко
48df-4a27283fac7267660616-1087b66e,часто
e775-3e629457525084c6c331-3f08eb4a,часто
6537-9c4c9391b1513391b66d-87cf0f36,редко
7a88-0d9162cb72d6dcb6291f-c4a2ef90,очень редко
5404-0290bf0c55fcbdecf90b-5b847b30,умеренно
b0a1-7f4332342edc93c99d85-06ca847a,редко
d08b-7287148faa120ad36567-234886d5,редко
02ef-7a49fcb957a9c7851cb9-86881a7a,умеренно
8130-49733640e4f823f1940f-9f896580,очень часто
4b01-d08f66e4c7a4838d5a63-a35f385b,умеренно
2e31-0a5da135a8f1c4d3a8c8-4ad772f0,очень редко
6547-4ad0dad3016bd5809cf6-5883b643,очень редко
ce7b-473a1918319dee99e87b-b5ccbe4d,очень редко
619f-da4b64e94687c11acd0f-bec284d8,умеренно
87f6-b0ed1d62a362c5863407-6de9b442,часто
d12e-60f3e0d6965bd7c7be8e-cbce5446,редко
1adc-7e5c6030189b4b409576-7217d589,умеренно
0468-42e15e2f6c28be1c53fc-c080f765,очень редко
2fdd-d6a04497c22de8dc0ec4-02579e8e,очень редко
e5ac-8eab581d3fae9bbd4aae-52faad52,редко
5b05-ae01bbf8707b218c467d-f4da1463,умеренно
ba96-71e68da11bbc5a5511af-157d7b3f,очень редко
c28d-8ea329ef52d9422bb185-2e6bfe54,редко
d955-bd8ab016ac2b8381ef0b-a63e8841,редко
ae12-13a300ed468fadd516f6-1f4e9fe2,очень редко
488f-8b1eef49b17d864bdeed-dafb8441,редко
7075-3a836558944d4a30187d-283c29e8,умеренно
03f4-6714774ea65064571bf6-464e862d,умеренно
e403-18267f5956780401c711-f3c36c0e,редко
095e-8c63e140836bc1b38c6c-08fc85d2,часто
a3a8-9ebcfd88bbbb33740490-42e49eb2,умеренно
5bb6-b9dad49a0c837fb42748-189b18ef,умеренно
3b4e-f52757e3223cd016b704-6efcef12,редко
c1a0-c8acff7e667e2fd9b0b2-5c40daee,редко
024a-02860188e2a7518b2e1a-287098e5,очень часто
a59e-25c549a5038562c88de5-d68c50ce,часто
8b6e-486159e291f8644f9486-2b5e4a92,умеренно
4842-94cc6e80c667c5c4fbc8-464b26dd,часто
d1d4-87e76f7f1eba3692c3e0-da282baf,часто
2441-6a338b99b0923521927e-fbd474fa,редко
