ID,дата_открытия,наличие_ипотеки
IDF54903676,2015-02-01,1
IDF54903700,2017-10-01,1
IDF54903804,2017-01-01,1
IDF54903830,2015-12-01,1
IDF54903831,2017-10-01,1
IDF54903840,2016-04-01,1
IDF54903893,2016-06-01,1
IDF54903936,2018-09-01,1
IDF54903954,2019-06-01,1
IDF54903966,2015-03-01,1
IDF54904046,2015-06-01,1
IDF54904095,2019-11-01,1
IDF54904104,2014-07-01,1
IDF54904135,2019-04-01,1
IDF54904242,2017-09-01,1
IDF54904250,2018-11-01,1
IDF54904362,2019-06-01,1
IDF54904439,2018-04-01,1
IDF54904443,2017-03-01,1
IDF54904457,2014-11-01,1
IDF54904485,2014-06-01,1
IDF54904571,2016-05-01,1
IDF54904595,2017-01-01,1
IDF54904624,2013-06-01,1
IDF54904674,2018-10-01,1
IDF54904757,2019-03-01,1
IDF54904774,2015-07-01,1
IDF54904807,2019-02-01,1
IDF54904833,2015-11-01,1
IDF54904861,2015-11-01,1
IDF54904954,2019-12-01,1
IDF54904968,2013-07-01,1
IDF54905043,2016-02-01,1
IDF54905053,2016-04-01,1
IDF54905127,2017-03-01,1
IDF54905159,2018-05-01,1
IDF54905160,2019-09-01,1
IDF54905281,2016-12-01,1
IDF54905298,2014-09-01,1
IDF54905340,2013-11-01,1
IDF54905396,2017-12-01,1
IDF54905434,2014-02-01,1
IDF54905441,2016-12-01,1
IDF54905477,2013-10-01,1
IDF54905516,2017-03-01,1
IDF54905688,2013-03-01,1
IDF54905697,2019-11-01,1
IDF54905698,2013-01-01,1
IDF54905706,2017-10-01,1
IDF54905713,2014-01-01,1
IDF54905721,2019-01-01,1
IDF54905754,2017-05-01,1
IDF54905769,2016-03-01,1
IDF54905793,2013-05-01,1
IDF54905798,2019-08-01,1
IDF54905823,2018-03-01,1
IDF54905827,2018-12-01,1
IDF54905852,2013-03-01,1
IDF54905917,2015-03-01,1
IDF54905935,2016-01-01,1
IDF54905961,2014-08-01,1
IDF54906009,2018-07-01,1
IDF54906030,2016-09-01,1
IDF54906167,2016-03-01,1
IDF54906234,2016-01-01,1
IDF54906321,2014-01-01,1
IDF54906335,2015-02-01,1
IDF54906338,2018-03-01,1
IDF54906348,2015-06-01,1
IDF54906390,2015-03-01,1
IDF54906455,2019-07-01,1
IDF54906464,2013-05-01,1
IDF54906472,2018-07-01,1
IDF54906497,2013-03-01,1
IDF54906610,2019-03-01,1
IDF54906685,2017-01-01,1
IDF54906728,2014-10-01,1
IDF54906908,2019-05-01,1
IDF54906963,2018-10-01,1
IDF54907032,2016-03-01,1
IDF54907073,2014-03-01,1
IDF54907094,2017-11-01,1
IDF54907173,2019-12-01,1
IDF54907180,2015-12-01,1
IDF54907257,2016-01-01,1
IDF54907392,2013-04-01,1
IDF54907421,2019-01-01,1
IDF54907483,2018-11-01,1
IDF54907489,2019-12-01,1
IDF54907490,2018-04-01,1
IDF54907499,2013-04-01,1
IDF54907543,2014-08-01,1
IDF54907554,2018-12-01,1
IDF54907576,2019-09-01,1
IDF54907584,2017-05-01,1
IDF54907637,2019-03-01,1
IDF54907654,2017-01-01,1
IDF54907738,2013-11-01,1
IDF54907862,2019-03-01,1
IDF54907891,2016-07-01,1
IDF54907892,2018-05-01,1
IDF54907926,2015-06-01,1
IDF54907939,2018-03-01,1
IDF54907947,2019-06-01,1
IDF54908010,2015-04-01,1
IDF54908015,2016-10-01,1
IDF54908067,2013-08-01,1
IDF54908070,2015-10-01,1
IDF54908135,2018-12-01,1
IDF54908136,2015-10-01,1
IDF54908144,2019-12-01,1
IDF54908196,2017-07-01,1
IDF54908262,2019-02-01,1
IDF54908268,2017-09-01,1
IDF54908274,2013-08-01,1
IDF54908318,2013-09-01,1
IDF54908327,2018-06-01,1
IDF54908394,2018-05-01,1
IDF54908396,2017-03-01,1
IDF54908400,2014-01-01,1
IDF54908406,2015-11-01,1
IDF54908439,2016-07-01,1
IDF54908442,2013-07-01,1
IDF54908506,2016-12-01,1
IDF54908516,2019-10-01,1
IDF54908554,2013-02-01,1
IDF54908661,2015-08-01,1
IDF54908716,2018-08-01,1
IDF54908763,2013-12-01,1
IDF54908767,2019-01-01,1
IDF54908857,2013-03-01,1
IDF54908914,2018-07-01,1
IDF54908994,2014-04-01,1
IDF54909015,2019-01-01,1
IDF54909128,2018-09-01,1
IDF54909194,2018-09-01,1
IDF54909200,2019-07-01,1
IDF54909305,2013-07-01,1
IDF54909353,2019-09-01,1
IDF54909368,2013-04-01,1
IDF54909404,2015-11-01,1
IDF54909419,2013-12-01,1
IDF54909456,2014-12-01,1
IDF54909541,2018-12-01,1
IDF54909553,2014-07-01,1
IDF54909716,2014-05-01,1
IDF54909738,2017-07-01,1
IDF54909842,2019-02-01,1
IDF54909874,2014-03-01,1
IDF54909883,2016-03-01,1
IDF54909912,2016-10-01,1
IDF54909921,2018-06-01,1
IDF54909956,2014-10-01,1
IDF54909961,2015-03-01,1
IDF54909983,2017-03-01,1
IDF54909992,2016-07-01,1
IDF54910003,2013-10-01,1
IDF54910004,2015-08-01,1
IDF54910031,2019-08-01,1
IDF54910103,2016-12-01,1
IDF54910113,2017-08-01,1
IDF54910139,2015-05-01,1
IDF54910174,2017-08-01,1
IDF54910216,2017-02-01,1
IDF54910228,2016-08-01,1
IDF54910313,2018-08-01,1
IDF54910467,2019-11-01,1
IDF54910515,2013-11-01,1
IDF54910519,2017-11-01,1
IDF54910523,2015-08-01,1
IDF54910533,2018-08-01,1
IDF54910665,2018-04-01,1
IDF54910667,2019-02-01,1
IDF54910733,2014-08-01,1
IDF54910775,2014-01-01,1
IDF54910802,2018-06-01,1
IDF54910807,2013-06-01,1
IDF54910828,2017-02-01,1
IDF54910837,2014-07-01,1
IDF54910885,2015-06-01,1
IDF54910919,2018-02-01,1
IDF54910957,2019-09-01,1
IDF54911002,2017-12-01,1
IDF54911004,2015-06-01,1
IDF54911009,2013-05-01,1
IDF54911072,2017-12-01,1
IDF54911104,2015-06-01,1
IDF54911172,2017-01-01,1
IDF54911186,2018-12-01,1
IDF54911194,2013-12-01,1
IDF54911211,2016-09-01,1
IDF54911228,2013-07-01,1
IDF54911330,2019-02-01,1
IDF54911351,2014-07-01,1
IDF54911417,2018-02-01,1
IDF54911435,2019-04-01,1
IDF54911480,2019-12-01,1
IDF54911484,2013-12-01,1
IDF54911498,2015-03-01,1
IDF54911590,2019-10-01,1
IDF54911601,2016-09-01,1
IDF54911662,2015-07-01,1
IDF54911673,2019-03-01,1
IDF54911718,2017-07-01,1
IDF54911740,2016-04-01,1
IDF54911782,2014-12-01,1
IDF54911790,2017-08-01,1
IDF54911815,2014-07-01,1
IDF54911827,2017-03-01,1
IDF54911836,2018-05-01,1
IDF54911861,2015-04-01,1
IDF54911864,2014-12-01,1
IDF54911964,2014-10-01,1
IDF54911976,2015-10-01,1
IDF54912014,2018-06-01,1
IDF54912027,2014-11-01,1
IDF54912140,2013-03-01,1
IDF54912161,2016-06-01,1
IDF54912248,2015-12-01,1
IDF54912376,2013-09-01,1
IDF54912379,2015-11-01,1
IDF54912405,2015-08-01,1
IDF54912490,2019-01-01,1
IDF54912591,2016-09-01,1
IDF54912688,2018-10-01,1
IDF54912691,2016-09-01,1
IDF54912779,2014-05-01,1
IDF54912781,2013-04-01,1
IDF54912788,2014-04-01,1
IDF54912814,2019-04-01,1
IDF54912861,2016-07-01,1
IDF54912876,2018-12-01,1
IDF54912949,2016-03-01,1
IDF54912976,2018-09-01,1
IDF54913002,2016-01-01,1
IDF54913109,2018-12-01,1
IDF54913115,2016-08-01,1
IDF54913178,2017-04-01,1
IDF54913188,2016-12-01,1
IDF54913193,2014-04-01,1
IDF54913210,2014-06-01,1
IDF54913312,2013-08-01,1
IDF54913354,2013-05-01,1
IDF54913492,2018-07-01,1
IDF54913600,2019-06-01,1
IDF54913606,2019-11-01,1
IDF54913717,2017-02-01,1
IDF54913739,2016-02-01,1
IDF54913789,2019-02-01,1
IDF54913903,2018-12-01,1
IDF54913924,2015-06-01,1
IDF54913979,2016-04-01,1
IDF54913982,2013-12-01,1
IDF54914046,2016-05-01,1
IDF54914125,2018-03-01,1
IDF54914149,2016-10-01,1
IDF54914164,2015-04-01,1
IDF54914183,2015-12-01,1
IDF54914187,2013-01-01,1
IDF54914243,2019-02-01,1
IDF54914305,2018-02-01,1
IDF54914454,2014-07-01,1
IDF54914480,2018-03-01,1
IDF54914521,2013-05-01,1
IDF54914573,2014-01-01,1
IDF54914594,2017-11-01,1
IDF54914617,2018-04-01,1
IDF54914633,2019-02-01,1
IDF54914696,2019-07-01,1
IDF54914705,2015-08-01,1
IDF54914730,2016-02-01,1
IDF54914751,2015-09-01,1
IDF54914753,2013-08-01,1
IDF54914778,2015-02-01,1
IDF54914782,2014-09-01,1
IDF54914785,2019-12-01,1
IDF54914797,2017-08-01,1
IDF54914877,2019-04-01,1
IDF54914879,2018-02-01,1
IDF54914888,2016-03-01,1
IDF54914906,2018-04-01,1
IDF54914927,2019-12-01,1
IDF54915012,2017-12-01,1
IDF54915111,2019-01-01,1
IDF54915133,2019-09-01,1
IDF54915146,2015-08-01,1
IDF54915168,2016-02-01,1
IDF54915248,2014-11-01,1
IDF54915283,2018-07-01,1
IDF54915330,2016-04-01,1
IDF54915428,2019-09-01,1
IDF54915430,2018-02-01,1
IDF54915444,2014-02-01,1
IDF54915451,2015-12-01,1
IDF54915456,2019-02-01,1
IDF54915492,2013-08-01,1
IDF54915518,2014-10-01,1
IDF54915550,2019-05-01,1
IDF54915558,2013-08-01,1
IDF54915756,2014-01-01,1
IDF54915757,2015-01-01,1
IDF54915824,2019-05-01,1
IDF54915855,2015-04-01,1
IDF54915866,2014-01-01,1
IDF54915911,2014-03-01,1
IDF54915941,2019-02-01,1
IDF54915954,2016-09-01,1
IDF54915958,2013-03-01,1
IDF54916003,2018-08-01,1
IDF54916020,2014-05-01,1
IDF54916064,2014-06-01,1
IDF54916073,2015-11-01,1
IDF54916076,2015-09-01,1
IDF54916127,2013-10-01,1
IDF54916265,2014-01-01,1
IDF54916279,2014-03-01,1
IDF54916286,2013-02-01,1
IDF54916312,2014-09-01,1
IDF54916343,2016-03-01,1
IDF54916345,2014-09-01,1
IDF54916460,2019-07-01,1
IDF54916504,2015-07-01,1
IDF54916574,2015-05-01,1
IDF54916577,2017-11-01,1
IDF54916737,2019-10-01,1
IDF54916749,2017-04-01,1
IDF54916950,2018-12-01,1
IDF54916967,2016-06-01,1
IDF54916996,2016-12-01,1
IDF54917021,2016-12-01,1
IDF54917059,2013-05-01,1
IDF54917077,2017-12-01,1
IDF54917093,2014-08-01,1
IDF54917135,2019-10-01,1
IDF54917136,2015-04-01,1
IDF54917246,2016-07-01,1
IDF54917298,2017-06-01,1
IDF54917318,2014-01-01,1
IDF54917352,2016-04-01,1
IDF54917383,2014-05-01,1
IDF54917418,2018-08-01,1
IDF54917442,2013-01-01,1
IDF54917467,2019-05-01,1
IDF54917470,2015-08-01,1
IDF54917506,2019-01-01,1
IDF54917531,2017-03-01,1
IDF54917539,2016-09-01,1
IDF54917552,2013-09-01,1
IDF54917554,2019-02-01,1
IDF54917598,2018-06-01,1
IDF54917701,2017-10-01,1
IDF54917710,2014-10-01,1
IDF54917716,2018-10-01,1
IDF54917747,2019-10-01,1
IDF54917764,2017-02-01,1
IDF54917774,2019-10-01,1
IDF54917843,2015-06-01,1
IDF54917868,2013-09-01,1
IDF54917881,2014-12-01,1
IDF54917901,2014-08-01,1
IDF54917925,2017-02-01,1
IDF54917970,2014-03-01,1
IDF54917977,2014-06-01,1
IDF54917979,2018-04-01,1
IDF54918141,2014-10-01,1
IDF54918153,2017-10-01,1
IDF54918157,2017-08-01,1
IDF54918189,2018-11-01,1
IDF54918207,2013-08-01,1
IDF54918228,2015-09-01,1
IDF54918294,2016-01-01,1
IDF54918296,2013-04-01,1
IDF54918327,2017-06-01,1
IDF54918451,2017-12-01,1
IDF54918510,2014-07-01,1
IDF54918586,2015-08-01,1
IDF54918590,2018-04-01,1
IDF54918710,2014-08-01,1
IDF54918757,2017-01-01,1
IDF54918776,2016-03-01,1
IDF54918813,2017-04-01,1
IDF54918878,2015-03-01,1
IDF54918976,2019-10-01,1
IDF54918991,2016-11-01,1
IDF54918999,2017-09-01,1
IDF54919011,2014-10-01,1
IDF54919017,2018-10-01,1
IDF54919035,2014-02-01,1
IDF54919050,2014-12-01,1
IDF54919065,2015-12-01,1
IDF54919085,2018-06-01,1
IDF54919086,2015-07-01,1
IDF54919099,2017-08-01,1
IDF54919123,2014-06-01,1
IDF54919183,2017-01-01,1
IDF54919186,2019-11-01,1
IDF54919325,2014-11-01,1
IDF54919352,2019-10-01,1
IDF54919440,2017-08-01,1
IDF54919457,2019-02-01,1
IDF54919465,2015-01-01,1
IDF54919519,2018-03-01,1
IDF54919579,2013-01-01,1
IDF54919663,2019-08-01,1
IDF54919681,2013-04-01,1
IDF54919714,2013-01-01,1
IDF54919738,2016-12-01,1
IDF54919766,2014-11-01,1
IDF54919775,2015-07-01,1
IDF54919779,2013-11-01,1
IDF54919838,2017-06-01,1
IDF54919842,2019-06-01,1
IDF54919854,2015-01-01,1
IDF54919861,2013-11-01,1
IDF54919881,2017-11-01,1
IDF54919928,2015-05-01,1
IDF54919931,2017-02-01,1
IDF54919932,2018-09-01,1
IDF54919983,2017-06-01,1
IDF54919998,2016-09-01,1
IDF54920002,2017-06-01,1
IDF54920031,2013-03-01,1
IDF54920052,2018-10-01,1
IDF54920072,2016-05-01,1
IDF54920087,2016-05-01,1
IDF54920109,2016-02-01,1
IDF54920110,2019-11-01,1
IDF54920306,2014-04-01,1
IDF54920417,2015-02-01,1
IDF54920488,2018-12-01,1
IDF54920513,2019-04-01,1
IDF54920549,2013-11-01,1
IDF54920577,2015-02-01,1
IDF54920637,2014-11-01,1
IDF54920641,2015-07-01,1
IDF54920730,2015-06-01,1
IDF54920761,2013-02-01,1
IDF54920831,2014-11-01,1
IDF54920879,2019-02-01,1
IDF54920890,2015-12-01,1
IDF54920914,2017-06-01,1
IDF54920934,2015-05-01,1
IDF54920987,2014-05-01,1
IDF54920994,2018-04-01,1
IDF54921045,2015-06-01,1
IDF54921051,2019-09-01,1
IDF54921055,2018-04-01,1
IDF54921071,2016-07-01,1
IDF54921137,2013-10-01,1
IDF54921216,2013-03-01,1
IDF54921230,2018-12-01,1
IDF54921253,2015-09-01,1
IDF54921445,2017-05-01,1
IDF54921467,2017-11-01,1
IDF54921475,2018-04-01,1
IDF54921489,2015-05-01,1
IDF54921496,2017-09-01,1
IDF54921534,2013-05-01,1
IDF54921538,2019-11-01,1
IDF54921566,2015-09-01,1
IDF54921600,2018-06-01,1
IDF54921692,2014-01-01,1
IDF54921750,2015-12-01,1
IDF54921804,2019-09-01,1
IDF54921824,2013-01-01,1
IDF54921868,2018-06-01,1
IDF54921911,2013-08-01,1
IDF54921912,2014-09-01,1
IDF54921918,2017-07-01,1
IDF54922000,2019-11-01,1
IDF54922001,2016-04-01,1
IDF54922016,2016-05-01,1
IDF54922069,2016-05-01,1
IDF54922186,2013-05-01,1
IDF54922199,2013-01-01,1
IDF54922203,2014-02-01,1
IDF54922251,2019-02-01,1
IDF54922292,2018-09-01,1
IDF54922299,2017-07-01,1
IDF54922318,2016-07-01,1
IDF54922333,2018-05-01,1
IDF54922360,2014-06-01,1
IDF54922365,2015-08-01,1
IDF54922391,2016-01-01,1
IDF54922432,2016-05-01,1
IDF54922459,2017-10-01,1
IDF54922479,2014-09-01,1
IDF54922523,2016-07-01,1
IDF54922524,2019-12-01,1
IDF54922570,2016-01-01,1
IDF54922571,2017-01-01,1
IDF54922608,2015-11-01,1
IDF54922620,2016-05-01,1
IDF54922641,2017-12-01,1
IDF54922756,2018-10-01,1
IDF54922883,2015-04-01,1
IDF54922918,2014-07-01,1
IDF54922927,2013-09-01,1
IDF54922937,2016-04-01,1
IDF54923022,2018-11-01,1
IDF54923025,2018-05-01,1
IDF54923037,2016-01-01,1
IDF54923044,2019-05-01,1
IDF54923050,2013-03-01,1
IDF54923072,2016-07-01,1
IDF54923079,2015-10-01,1
IDF54923126,2015-06-01,1
IDF54923258,2013-08-01,1
IDF54923287,2015-01-01,1
IDF54923320,2013-11-01,1
IDF54923368,2018-11-01,1
IDF54923392,2016-06-01,1
IDF54923440,2018-09-01,1
IDF54923485,2017-06-01,1
IDF54923501,2015-10-01,1
IDF54923516,2016-03-01,1
IDF54923562,2014-11-01,1
IDF54923597,2015-09-01,1
IDF54923609,2019-10-01,1
IDF54923645,2016-10-01,1
IDF54923683,2015-01-01,1
IDF54923687,2015-10-01,1
IDF54923856,2015-11-01,1
IDF54923920,2014-01-01,1
IDF54923921,2013-05-01,1
IDF54923926,2013-07-01,1
IDF54923974,2018-09-01,1
IDF54923994,2019-05-01,1
IDF54924045,2016-05-01,1
IDF54924093,2013-01-01,1
IDF54924105,2014-03-01,1
IDF54924128,2017-07-01,1
IDF54924175,2015-10-01,1
IDF54924191,2015-07-01,1
IDF54924254,2019-12-01,1
IDF54924274,2018-10-01,1
IDF54924285,2018-07-01,1
IDF54924366,2018-05-01,1
IDF54924380,2016-02-01,1
IDF54924398,2019-03-01,1
IDF54924421,2014-04-01,1
IDF54924465,2013-03-01,1
IDF54924478,2015-10-01,1
IDF54924503,2015-08-01,1
IDF54924505,2014-10-01,1
IDF54924619,2019-10-01,1
IDF54924639,2019-01-01,1
IDF54924645,2019-07-01,1
IDF54924656,2014-12-01,1
IDF54924728,2014-03-01,1
IDF54924753,2019-09-01,1
IDF54924839,2015-09-01,1
IDF54924884,2017-11-01,1
IDF54924982,2016-10-01,1
IDF54925004,2013-04-01,1
IDF54925066,2016-02-01,1
IDF54925101,2014-10-01,1
IDF54925190,2014-08-01,1
IDF54925218,2018-01-01,1
IDF54925222,2018-03-01,1
IDF54925431,2019-01-01,1
IDF54925443,2018-01-01,1
IDF54925504,2019-06-01,1
IDF54925507,2014-03-01,1
IDF54925583,2014-01-01,1
IDF54925708,2019-08-01,1
IDF54925752,2018-06-01,1
IDF54925913,2016-12-01,1
IDF54925951,2016-07-01,1
IDF54925974,2017-04-01,1
IDF54926020,2019-09-01,1
IDF54926027,2015-02-01,1
IDF54926046,2016-11-01,1
IDF54926143,2014-05-01,1
IDF54926218,2018-02-01,1
IDF54926271,2017-05-01,1
IDF54926284,2019-07-01,1
IDF54926335,2013-08-01,1
IDF54926434,2014-11-01,1
IDF54926477,2016-02-01,1
IDF54926516,2018-11-01,1
IDF54926523,2015-09-01,1
IDF54926528,2019-09-01,1
IDF54926561,2019-01-01,1
IDF54926590,2017-09-01,1
IDF54926687,2014-03-01,1
IDF54926708,2016-08-01,1
IDF54926713,2015-08-01,1
IDF54926841,2019-04-01,1
IDF54926844,2019-10-01,1
IDF54926942,2014-04-01,1
IDF54926944,2016-12-01,1
IDF54926948,2016-02-01,1
IDF54927019,2016-10-01,1
IDF54927047,2013-11-01,1
IDF54927069,2019-07-01,1
IDF54927127,2018-07-01,1
IDF54927143,2018-07-01,1
IDF54927149,2014-02-01,1
IDF54927164,2019-06-01,1
IDF54927175,2016-04-01,1
IDF54927351,2015-12-01,1
IDF54927355,2014-02-01,1
IDF54927356,2018-05-01,1
IDF54927383,2018-09-01,1
IDF54927502,2015-06-01,1
IDF54927506,2013-01-01,1
IDF54927545,2018-12-01,1
IDF54927549,2019-10-01,1
IDF54927641,2016-03-01,1
IDF54927698,2014-09-01,1
IDF54927733,2014-02-01,1
IDF54927744,2017-04-01,1
IDF54927805,2016-02-01,1
IDF54927848,2017-04-01,1
IDF54927854,2014-03-01,1
IDF54927873,2013-06-01,1
IDF54927894,2013-04-01,1
IDF54927946,2013-02-01,1
IDF54928033,2015-12-01,1
IDF54928078,2015-12-01,1
IDF54928104,2019-08-01,1
IDF54928128,2016-11-01,1
IDF54928154,2017-11-01,1
IDF54928156,2013-10-01,1
IDF54928171,2015-04-01,1
IDF54928173,2018-04-01,1
IDF54928176,2014-08-01,1
IDF54928183,2018-06-01,1
IDF54928212,2018-08-01,1
IDF54928213,2013-01-01,1
IDF54928233,2019-05-01,1
IDF54928242,2019-02-01,1
IDF54928309,2019-08-01,1
IDF54928320,2015-01-01,1
IDF54928324,2017-11-01,1
IDF54928352,2015-12-01,1
IDF54928371,2018-07-01,1
IDF54928374,2013-09-01,1
IDF54928390,2014-10-01,1
IDF54928419,2014-02-01,1
IDF54928460,2014-11-01,1
IDF54928515,2015-08-01,1
IDF54928519,2018-01-01,1
IDF54928575,2019-10-01,1
IDF54928583,2019-12-01,1
IDF54928636,2016-01-01,1
IDF54928665,2019-07-01,1
IDF54928787,2015-06-01,1
IDF54928872,2013-11-01,1
IDF54928922,2013-06-01,1
IDF54928930,2017-09-01,1
IDF54928938,2018-03-01,1
IDF54928959,2014-02-01,1
IDF54928964,2015-09-01,1
IDF54928969,2016-03-01,1
IDF54928995,2016-11-01,1
IDF54929008,2018-09-01,1
IDF54929072,2013-03-01,1
IDF54929083,2019-11-01,1
IDF54929112,2019-02-01,1
IDF54929127,2016-02-01,1
IDF54929146,2019-12-01,1
IDF54929224,2017-08-01,1
IDF54929230,2016-07-01,1
IDF54929237,2017-01-01,1
IDF54929284,2015-02-01,1
IDF54929291,2016-02-01,1
IDF54929304,2017-03-01,1
IDF54929327,2014-09-01,1
IDF54929345,2018-12-01,1
IDF54929390,2016-10-01,1
IDF54929468,2013-10-01,1
IDF54929471,2014-05-01,1
IDF54929492,2015-09-01,1
IDF54929521,2015-10-01,1
IDF54929587,2019-08-01,1
IDF54929602,2019-08-01,1
IDF54929614,2014-05-01,1
IDF54929638,2015-10-01,1
IDF54929668,2016-05-01,1
IDF54929777,2015-09-01,1
IDF54929787,2017-06-01,1
IDF54929936,2016-04-01,1
IDF54930011,2019-09-01,1
IDF54930087,2014-11-01,1
IDF54930102,2019-11-01,1
IDF54930150,2018-02-01,1
IDF54930189,2013-03-01,1
IDF54930217,2014-10-01,1
IDF54930275,2017-10-01,1
IDF54930429,2018-06-01,1
IDF54930507,2016-04-01,1
IDF54930510,2014-01-01,1
IDF54930536,2015-04-01,1
IDF54930541,2017-07-01,1
