ID,date,кредитный_рейтинг
IDF55109846,2018-09-01,571
IDF55109846,2018-10-01,556
IDF55109846,2018-11-01,558
IDF55109846,2018-12-01,556
IDF55109846,2019-01-01,563
IDF55109846,2019-02-01,564
IDF55109846,2019-03-01,571
IDF55109846,2019-04-01,566
IDF55109846,2019-05-01,574
IDF55109846,2019-06-01,580
IDF55109846,2019-07-01,579
IDF55109846,2019-08-01,592
IDF55109846,2019-09-01,596
IDF55109846,2019-10-01,577
IDF55109846,2019-11-01,579
IDF55109846,2019-12-01,590
IDF54900291,2017-12-01,618
IDF54900291,2018-01-01,616
IDF54900291,2018-02-01,612
IDF54900291,2018-03-01,608
IDF54900291,2018-04-01,594
IDF54900291,2018-05-01,588
IDF54900291,2018-06-01,581
IDF54900291,2018-07-01,584
IDF54900291,2018-08-01,569
IDF54900291,2018-09-01,581
IDF54900291,2018-10-01,574
IDF54900291,2018-11-01,567
IDF54900291,2018-12-01,544
IDF54900291,2019-01-01,538
IDF54900291,2019-02-01,540
IDF54900291,2019-03-01,524
IDF54900291,2019-04-01,509
IDF54900291,2019-05-01,499
IDF54900291,2019-06-01,496
IDF54900291,2019-07-01,504
IDF54900291,2019-08-01,494
IDF54900291,2019-09-01,500
IDF54900291,2019-10-01,489
IDF54900291,2019-11-01,508
IDF54900291,2019-12-01,504
IDF54995533,2013-11-01,686
IDF54995533,2013-12-01,662
IDF54995533,2014-01-01,648
IDF54995533,2014-02-01,651
IDF54995533,2014-03-01,662
IDF54995533,2014-04-01,660
IDF54995533,2014-05-01,655
IDF54995533,2014-06-01,662
IDF54995533,2014-07-01,671
IDF54995533,2014-08-01,654
IDF54995533,2014-09-01,644
IDF54995533,2014-10-01,644
IDF54995533,2014-11-01,654
IDF54995533,2014-12-01,646
IDF54995533,2015-01-01,630
IDF54995533,2015-02-01,642
IDF54995533,2015-03-01,625
IDF54995533,2015-04-01,620
IDF54995533,2015-05-01,599
IDF54995533,2015-06-01,583
IDF54995533,2015-07-01,575
IDF54995533,2015-08-01,569
IDF54995533,2015-09-01,579
IDF54995533,2015-10-01,579
IDF54995533,2015-11-01,560
IDF54995533,2015-12-01,547
IDF54995533,2016-01-01,540
IDF54995533,2016-02-01,537
IDF54995533,2016-03-01,529
IDF54995533,2016-04-01,535
IDF54995533,2016-05-01,549
IDF54995533,2016-06-01,549
IDF54995533,2016-07-01,542
IDF54995533,2016-08-01,530
IDF54995533,2016-09-01,526
IDF54995533,2016-10-01,513
IDF54995533,2016-11-01,518
IDF54995533,2016-12-01,529
IDF54995533,2017-01-01,532
IDF54995533,2017-02-01,546
IDF54995533,2017-03-01,550
IDF54995533,2017-04-01,554
IDF54995533,2017-05-01,566
IDF54995533,2017-06-01,566
IDF54995533,2017-07-01,571
IDF54995533,2017-08-01,564
IDF54995533,2017-09-01,554
IDF54995533,2017-10-01,542
IDF54995533,2017-11-01,529
IDF54995533,2017-12-01,550
IDF54995533,2018-01-01,530
IDF54995533,2018-02-01,548
IDF54995533,2018-03-01,553
IDF54995533,2018-04-01,560
IDF54995533,2018-05-01,564
IDF54995533,2018-06-01,562
IDF54995533,2018-07-01,570
IDF54995533,2018-08-01,559
IDF54995533,2018-09-01,564
IDF54995533,2018-10-01,558
IDF54995533,2018-11-01,556
IDF54995533,2018-12-01,558
IDF54995533,2019-01-01,560
IDF54995533,2019-02-01,554
IDF54995533,2019-03-01,540
IDF54995533,2019-04-01,530
IDF54995533,2019-05-01,545
IDF54995533,2019-06-01,545
IDF54995533,2019-07-01,547
IDF54995533,2019-08-01,543
IDF54995533,2019-09-01,542
IDF54995533,2019-10-01,543
IDF54995533,2019-11-01,543
IDF54995533,2019-12-01,548
IDF55065581,2018-08-01,680
IDF55065581,2018-09-01,670
IDF55065581,2018-10-01,651
IDF55065581,2018-11-01,660
IDF55065581,2018-12-01,650
IDF55065581,2019-01-01,650
IDF55065581,2019-02-01,646
IDF55065581,2019-03-01,654
IDF55065581,2019-04-01,627
IDF55065581,2019-05-01,601
IDF55065581,2019-06-01,594
IDF55065581,2019-07-01,585
IDF55065581,2019-08-01,589
IDF55065581,2019-09-01,586
IDF55065581,2019-10-01,578
IDF55065581,2019-11-01,570
IDF55065581,2019-12-01,570
IDF55057353,2018-05-01,691
IDF55057353,2018-06-01,677
IDF55057353,2018-07-01,682
IDF55057353,2018-08-01,687
IDF55057353,2018-09-01,672
IDF55057353,2018-10-01,667
IDF55057353,2018-11-01,649
IDF55057353,2018-12-01,648
IDF55057353,2019-01-01,659
IDF55057353,2019-02-01,653
IDF55057353,2019-03-01,639
IDF55057353,2019-04-01,629
IDF55057353,2019-05-01,626
IDF55057353,2019-06-01,618
IDF55057353,2019-07-01,609
IDF55057353,2019-08-01,594
IDF55057353,2019-09-01,605
IDF55057353,2019-10-01,602
IDF55057353,2019-11-01,602
IDF55057353,2019-12-01,613
IDF55056911,2013-05-01,669
IDF55056911,2013-06-01,663
IDF55056911,2013-07-01,666
IDF55056911,2013-08-01,686
IDF55056911,2013-09-01,688
IDF55056911,2013-10-01,682
IDF55056911,2013-11-01,676
IDF55056911,2013-12-01,682
IDF55056911,2014-01-01,679
IDF55056911,2014-02-01,690
IDF55056911,2014-03-01,697
IDF55056911,2014-04-01,698
IDF55056911,2014-05-01,704
IDF55056911,2014-06-01,698
IDF55056911,2014-07-01,675
IDF55056911,2014-08-01,662
IDF55056911,2014-09-01,656
IDF55056911,2014-10-01,660
IDF55056911,2014-11-01,649
IDF55056911,2014-12-01,652
IDF55056911,2015-01-01,648
IDF55056911,2015-02-01,622
IDF55056911,2015-03-01,608
IDF55056911,2015-04-01,600
IDF55056911,2015-05-01,594
IDF55056911,2015-06-01,590
IDF55056911,2015-07-01,604
IDF55056911,2015-08-01,598
IDF55056911,2015-09-01,586
IDF55056911,2015-10-01,586
IDF55056911,2015-11-01,576
IDF55056911,2015-12-01,582
IDF55056911,2016-01-01,579
IDF55056911,2016-02-01,566
IDF55056911,2016-03-01,568
IDF55056911,2016-04-01,583
IDF55056911,2016-05-01,597
IDF55056911,2016-06-01,603
IDF55056911,2016-07-01,588
IDF55056911,2016-08-01,578
IDF55056911,2016-09-01,576
IDF55056911,2016-10-01,589
IDF55056911,2016-11-01,612
IDF55056911,2016-12-01,614
IDF55056911,2017-01-01,602
IDF55056911,2017-02-01,584
IDF55056911,2017-03-01,576
IDF55056911,2017-04-01,569
IDF55056911,2017-05-01,573
IDF55056911,2017-06-01,571
IDF55056911,2017-07-01,552
IDF55056911,2017-08-01,570
IDF55056911,2017-09-01,567
IDF55056911,2017-10-01,584
IDF55056911,2017-11-01,596
IDF55056911,2017-12-01,592
IDF55056911,2018-01-01,567
IDF55056911,2018-02-01,590
IDF55056911,2018-03-01,585
IDF55056911,2018-04-01,591
IDF55056911,2018-05-01,585
IDF55056911,2018-06-01,583
IDF55056911,2018-07-01,572
IDF55056911,2018-08-01,584
IDF55056911,2018-09-01,583
IDF55056911,2018-10-01,580
IDF55056911,2018-11-01,599
IDF55056911,2018-12-01,591
IDF55056911,2019-01-01,571
IDF55056911,2019-02-01,571
IDF55056911,2019-03-01,585
IDF55056911,2019-04-01,578
IDF55056911,2019-05-01,585
IDF55056911,2019-06-01,590
IDF55056911,2019-07-01,598
IDF55056911,2019-08-01,612
IDF55056911,2019-09-01,592
IDF55056911,2019-10-01,600
IDF55056911,2019-11-01,593
IDF55056911,2019-12-01,593
IDF55004988,2013-06-01,773
IDF55004988,2013-07-01,774
IDF55004988,2013-08-01,761
IDF55004988,2013-09-01,772
IDF55004988,2013-10-01,755
IDF55004988,2013-11-01,754
IDF55004988,2013-12-01,748
IDF55004988,2014-01-01,742
IDF55004988,2014-02-01,746
IDF55004988,2014-03-01,734
IDF55004988,2014-04-01,725
IDF55004988,2014-05-01,741
IDF55004988,2014-06-01,718
IDF55004988,2014-07-01,703
IDF55004988,2014-08-01,688
IDF55004988,2014-09-01,681
IDF55004988,2014-10-01,683
IDF55004988,2014-11-01,683
IDF55004988,2014-12-01,673
IDF55004988,2015-01-01,674
IDF55004988,2015-02-01,674
IDF55004988,2015-03-01,662
IDF55004988,2015-04-01,646
IDF55004988,2015-05-01,655
IDF55004988,2015-06-01,681
IDF55004988,2015-07-01,674
IDF55004988,2015-08-01,674
IDF55004988,2015-09-01,673
IDF55004988,2015-10-01,677
IDF55004988,2015-11-01,677
IDF55004988,2015-12-01,680
IDF55004988,2016-01-01,690
IDF55004988,2016-02-01,670
IDF55004988,2016-03-01,671
IDF55004988,2016-04-01,668
IDF55004988,2016-05-01,671
IDF55004988,2016-06-01,684
IDF55004988,2016-07-01,694
IDF55004988,2016-08-01,694
IDF55004988,2016-09-01,694
IDF55004988,2016-10-01,684
IDF55004988,2016-11-01,700
IDF55004988,2016-12-01,670
IDF55004988,2017-01-01,666
IDF55004988,2017-02-01,650
IDF55004988,2017-03-01,651
IDF55004988,2017-04-01,653
IDF55004988,2017-05-01,655
IDF55004988,2017-06-01,662
IDF55004988,2017-07-01,667
IDF55004988,2017-08-01,685
IDF55004988,2017-09-01,678
IDF55004988,2017-10-01,671
IDF55004988,2017-11-01,690
IDF55004988,2017-12-01,688
IDF55004988,2018-01-01,705
IDF55004988,2018-02-01,707
IDF55004988,2018-03-01,703
IDF55004988,2018-04-01,697
IDF55004988,2018-05-01,694
IDF55004988,2018-06-01,699
IDF55004988,2018-07-01,690
IDF55004988,2018-08-01,675
IDF55004988,2018-09-01,666
IDF55004988,2018-10-01,663
IDF55004988,2018-11-01,682
IDF55004988,2018-12-01,669
IDF55004988,2019-01-01,665
IDF55004988,2019-02-01,653
IDF55004988,2019-03-01,656
IDF55004988,2019-04-01,657
IDF55004988,2019-05-01,659
IDF55004988,2019-06-01,670
IDF55004988,2019-07-01,665
IDF55004988,2019-08-01,679
IDF55004988,2019-09-01,697
IDF55004988,2019-10-01,700
IDF55004988,2019-11-01,689
IDF55004988,2019-12-01,691
IDF54964538,2016-07-01,668
IDF54964538,2016-08-01,666
IDF54964538,2016-09-01,664
IDF54964538,2016-10-01,654
IDF54964538,2016-11-01,653
IDF54964538,2016-12-01,647
IDF54964538,2017-01-01,665
IDF54964538,2017-02-01,668
IDF54964538,2017-03-01,662
IDF54964538,2017-04-01,644
IDF54964538,2017-05-01,654
IDF54964538,2017-06-01,640
IDF54964538,2017-07-01,638
IDF54964538,2017-08-01,634
IDF54964538,2017-09-01,631
IDF54964538,2017-10-01,627
IDF54964538,2017-11-01,629
IDF54964538,2017-12-01,633
IDF54964538,2018-01-01,637
IDF54964538,2018-02-01,641
IDF54964538,2018-03-01,625
IDF54964538,2018-04-01,602
IDF54964538,2018-05-01,596
IDF54964538,2018-06-01,572
IDF54964538,2018-07-01,557
IDF54964538,2018-08-01,569
IDF54964538,2018-09-01,575
IDF54964538,2018-10-01,572
IDF54964538,2018-11-01,564
IDF54964538,2018-12-01,546
IDF54964538,2019-01-01,555
IDF54964538,2019-02-01,560
IDF54964538,2019-03-01,578
IDF54964538,2019-04-01,569
IDF54964538,2019-05-01,564
IDF54964538,2019-06-01,564
IDF54964538,2019-07-01,546
IDF54964538,2019-08-01,556
IDF54964538,2019-09-01,549
IDF54964538,2019-10-01,554
IDF54964538,2019-11-01,572
IDF54964538,2019-12-01,566
IDF54930894,2015-09-01,697
IDF54930894,2015-10-01,706
IDF54930894,2015-11-01,686
IDF54930894,2015-12-01,691
IDF54930894,2016-01-01,700
IDF54930894,2016-02-01,691
IDF54930894,2016-03-01,696
IDF54930894,2016-04-01,686
IDF54930894,2016-05-01,666
IDF54930894,2016-06-01,664
IDF54930894,2016-07-01,664
IDF54930894,2016-08-01,665
IDF54930894,2016-09-01,656
IDF54930894,2016-10-01,671
IDF54930894,2016-11-01,651
IDF54930894,2016-12-01,650
IDF54930894,2017-01-01,640
IDF54930894,2017-02-01,637
IDF54930894,2017-03-01,646
IDF54930894,2017-04-01,627
IDF54930894,2017-05-01,624
IDF54930894,2017-06-01,613
IDF54930894,2017-07-01,602
IDF54930894,2017-08-01,586
IDF54930894,2017-09-01,582
IDF54930894,2017-10-01,588
IDF54930894,2017-11-01,565
IDF54930894,2017-12-01,565
IDF54930894,2018-01-01,572
IDF54930894,2018-02-01,575
IDF54930894,2018-03-01,566
IDF54930894,2018-04-01,568
IDF54930894,2018-05-01,571
IDF54930894,2018-06-01,604
IDF54930894,2018-07-01,592
IDF54930894,2018-08-01,585
IDF54930894,2018-09-01,576
IDF54930894,2018-10-01,568
IDF54930894,2018-11-01,585
IDF54930894,2018-12-01,600
IDF54930894,2019-01-01,588
IDF54930894,2019-02-01,600
IDF54930894,2019-03-01,586
IDF54930894,2019-04-01,593
IDF54930894,2019-05-01,586
IDF54930894,2019-06-01,589
IDF54930894,2019-07-01,592
IDF54930894,2019-08-01,602
IDF54930894,2019-09-01,614
IDF54930894,2019-10-01,593
IDF54930894,2019-11-01,601
IDF54930894,2019-12-01,591
IDF55079777,2019-05-01,641
IDF55079777,2019-06-01,660
IDF55079777,2019-07-01,657
IDF55079777,2019-08-01,663
IDF55079777,2019-09-01,662
IDF55079777,2019-10-01,642
IDF55079777,2019-11-01,627
IDF55079777,2019-12-01,631
IDF54928995,2016-11-01,753
IDF54928995,2016-12-01,740
IDF54928995,2017-01-01,719
IDF54928995,2017-02-01,725
IDF54928995,2017-03-01,756
IDF54928995,2017-04-01,755
IDF54928995,2017-05-01,738
IDF54928995,2017-06-01,736
IDF54928995,2017-07-01,722
IDF54928995,2017-08-01,734
IDF54928995,2017-09-01,727
IDF54928995,2017-10-01,724
IDF54928995,2017-11-01,698
IDF54928995,2017-12-01,691
IDF54928995,2018-01-01,692
IDF54928995,2018-02-01,673
IDF54928995,2018-03-01,670
IDF54928995,2018-04-01,670
IDF54928995,2018-05-01,666
IDF54928995,2018-06-01,660
IDF54928995,2018-07-01,654
IDF54928995,2018-08-01,647
IDF54928995,2018-09-01,649
IDF54928995,2018-10-01,639
IDF54928995,2018-11-01,619
IDF54928995,2018-12-01,627
IDF54928995,2019-01-01,619
IDF54928995,2019-02-01,620
IDF54928995,2019-03-01,610
IDF54928995,2019-04-01,608
IDF54928995,2019-05-01,620
IDF54928995,2019-06-01,615
IDF54928995,2019-07-01,618
IDF54928995,2019-08-01,604
IDF54928995,2019-09-01,605
IDF54928995,2019-10-01,616
IDF54928995,2019-11-01,621
IDF54928995,2019-12-01,631
IDF55039326,2015-03-01,624
IDF55039326,2015-04-01,619
IDF55039326,2015-05-01,630
IDF55039326,2015-06-01,643
IDF55039326,2015-07-01,663
IDF55039326,2015-08-01,646
IDF55039326,2015-09-01,647
IDF55039326,2015-10-01,653
IDF55039326,2015-11-01,663
IDF55039326,2015-12-01,654
IDF55039326,2016-01-01,642
IDF55039326,2016-02-01,641
IDF55039326,2016-03-01,635
IDF55039326,2016-04-01,632
IDF55039326,2016-05-01,635
IDF55039326,2016-06-01,628
IDF55039326,2016-07-01,627
IDF55039326,2016-08-01,624
IDF55039326,2016-09-01,623
IDF55039326,2016-10-01,614
IDF55039326,2016-11-01,584
IDF55039326,2016-12-01,576
IDF55039326,2017-01-01,572
IDF55039326,2017-02-01,576
IDF55039326,2017-03-01,588
IDF55039326,2017-04-01,571
IDF55039326,2017-05-01,556
IDF55039326,2017-06-01,568
IDF55039326,2017-07-01,546
IDF55039326,2017-08-01,521
IDF55039326,2017-09-01,528
IDF55039326,2017-10-01,541
IDF55039326,2017-11-01,540
IDF55039326,2017-12-01,538
IDF55039326,2018-01-01,543
IDF55039326,2018-02-01,554
IDF55039326,2018-03-01,548
IDF55039326,2018-04-01,548
IDF55039326,2018-05-01,556
IDF55039326,2018-06-01,555
IDF55039326,2018-07-01,556
IDF55039326,2018-08-01,546
IDF55039326,2018-09-01,549
IDF55039326,2018-10-01,537
IDF55039326,2018-11-01,537
IDF55039326,2018-12-01,548
IDF55039326,2019-01-01,564
IDF55039326,2019-02-01,558
IDF55039326,2019-03-01,563
IDF55039326,2019-04-01,566
IDF55039326,2019-05-01,540
IDF55039326,2019-06-01,558
IDF55039326,2019-07-01,554
IDF55039326,2019-08-01,564
IDF55039326,2019-09-01,558
IDF55039326,2019-10-01,564
IDF55039326,2019-11-01,574
IDF55039326,2019-12-01,570
IDF55093915,2015-10-01,560
IDF55093915,2015-11-01,576
IDF55093915,2015-12-01,577
IDF55093915,2016-01-01,576
IDF55093915,2016-02-01,578
IDF55093915,2016-03-01,577
IDF55093915,2016-04-01,579
IDF55093915,2016-05-01,573
IDF55093915,2016-06-01,582
IDF55093915,2016-07-01,597
IDF55093915,2016-08-01,578
IDF55093915,2016-09-01,577
IDF55093915,2016-10-01,581
IDF55093915,2016-11-01,573
IDF55093915,2016-12-01,556
IDF55093915,2017-01-01,561
IDF55093915,2017-02-01,549
IDF55093915,2017-03-01,536
IDF55093915,2017-04-01,520
IDF55093915,2017-05-01,508
IDF55093915,2017-06-01,500
IDF55093915,2017-07-01,483
IDF55093915,2017-08-01,502
IDF55093915,2017-09-01,499
IDF55093915,2017-10-01,487
IDF55093915,2017-11-01,503
IDF55093915,2017-12-01,498
IDF55093915,2018-01-01,507
IDF55093915,2018-02-01,510
IDF55093915,2018-03-01,519
IDF55093915,2018-04-01,507
IDF55093915,2018-05-01,494
IDF55093915,2018-06-01,482
IDF55093915,2018-07-01,486
IDF55093915,2018-08-01,498
IDF55093915,2018-09-01,503
IDF55093915,2018-10-01,511
IDF55093915,2018-11-01,509
IDF55093915,2018-12-01,508
IDF55093915,2019-01-01,507
IDF55093915,2019-02-01,501
IDF55093915,2019-03-01,521
IDF55093915,2019-04-01,512
IDF55093915,2019-05-01,504
IDF55093915,2019-06-01,517
IDF55093915,2019-07-01,513
IDF55093915,2019-08-01,523
IDF55093915,2019-09-01,506
IDF55093915,2019-10-01,489
IDF55093915,2019-11-01,494
IDF55093915,2019-12-01,492
IDF55130856,2014-03-01,658
IDF55130856,2014-04-01,629
IDF55130856,2014-05-01,632
IDF55130856,2014-06-01,645
IDF55130856,2014-07-01,646
IDF55130856,2014-08-01,637
IDF55130856,2014-09-01,633
IDF55130856,2014-10-01,628
IDF55130856,2014-11-01,630
IDF55130856,2014-12-01,615
IDF55130856,2015-01-01,609
IDF55130856,2015-02-01,603
IDF55130856,2015-03-01,609
IDF55130856,2015-04-01,605
IDF55130856,2015-05-01,624
IDF55130856,2015-06-01,621
IDF55130856,2015-07-01,618
IDF55130856,2015-08-01,596
IDF55130856,2015-09-01,584
IDF55130856,2015-10-01,559
IDF55130856,2015-11-01,549
IDF55130856,2015-12-01,559
IDF55130856,2016-01-01,556
IDF55130856,2016-02-01,553
IDF55130856,2016-03-01,536
IDF55130856,2016-04-01,533
IDF55130856,2016-05-01,540
IDF55130856,2016-06-01,531
IDF55130856,2016-07-01,534
IDF55130856,2016-08-01,519
IDF55130856,2016-09-01,514
IDF55130856,2016-10-01,503
IDF55130856,2016-11-01,515
IDF55130856,2016-12-01,528
IDF55130856,2017-01-01,533
IDF55130856,2017-02-01,527
IDF55130856,2017-03-01,549
IDF55130856,2017-04-01,550
IDF55130856,2017-05-01,524
IDF55130856,2017-06-01,518
IDF55130856,2017-07-01,537
IDF55130856,2017-08-01,536
IDF55130856,2017-09-01,534
IDF55130856,2017-10-01,529
IDF55130856,2017-11-01,549
IDF55130856,2017-12-01,572
IDF55130856,2018-01-01,560
IDF55130856,2018-02-01,540
IDF55130856,2018-03-01,541
IDF55130856,2018-04-01,544
IDF55130856,2018-05-01,535
IDF55130856,2018-06-01,541
IDF55130856,2018-07-01,544
IDF55130856,2018-08-01,576
IDF55130856,2018-09-01,578
IDF55130856,2018-10-01,555
IDF55130856,2018-11-01,538
IDF55130856,2018-12-01,540
IDF55130856,2019-01-01,533
IDF55130856,2019-02-01,523
IDF55130856,2019-03-01,526
IDF55130856,2019-04-01,521
IDF55130856,2019-05-01,520
IDF55130856,2019-06-01,520
IDF55130856,2019-07-01,512
IDF55130856,2019-08-01,537
IDF55130856,2019-09-01,529
IDF55130856,2019-10-01,525
IDF55130856,2019-11-01,514
IDF55130856,2019-12-01,515
IDF55056705,2016-02-01,641
IDF55056705,2016-03-01,663
IDF55056705,2016-04-01,676
IDF55056705,2016-05-01,670
IDF55056705,2016-06-01,668
IDF55056705,2016-07-01,660
IDF55056705,2016-08-01,657
IDF55056705,2016-09-01,652
IDF55056705,2016-10-01,647
IDF55056705,2016-11-01,659
IDF55056705,2016-12-01,644
IDF55056705,2017-01-01,634
IDF55056705,2017-02-01,613
IDF55056705,2017-03-01,610
IDF55056705,2017-04-01,613
IDF55056705,2017-05-01,614
IDF55056705,2017-06-01,601
IDF55056705,2017-07-01,606
IDF55056705,2017-08-01,595
IDF55056705,2017-09-01,601
IDF55056705,2017-10-01,610
IDF55056705,2017-11-01,608
IDF55056705,2017-12-01,591
IDF55056705,2018-01-01,596
IDF55056705,2018-02-01,576
IDF55056705,2018-03-01,568
IDF55056705,2018-04-01,583
IDF55056705,2018-05-01,580
IDF55056705,2018-06-01,594
IDF55056705,2018-07-01,602
IDF55056705,2018-08-01,596
IDF55056705,2018-09-01,575
IDF55056705,2018-10-01,564
IDF55056705,2018-11-01,571
IDF55056705,2018-12-01,567
IDF55056705,2019-01-01,580
IDF55056705,2019-02-01,583
IDF55056705,2019-03-01,589
IDF55056705,2019-04-01,578
IDF55056705,2019-05-01,577
IDF55056705,2019-06-01,578
IDF55056705,2019-07-01,579
IDF55056705,2019-08-01,585
IDF55056705,2019-09-01,606
IDF55056705,2019-10-01,613
IDF55056705,2019-11-01,610
IDF55056705,2019-12-01,584
IDF54990767,2013-11-01,709
IDF54990767,2013-12-01,670
IDF54990767,2014-01-01,668
IDF54990767,2014-02-01,669
IDF54990767,2014-03-01,672
IDF54990767,2014-04-01,681
IDF54990767,2014-05-01,697
IDF54990767,2014-06-01,691
IDF54990767,2014-07-01,686
IDF54990767,2014-08-01,668
IDF54990767,2014-09-01,661
IDF54990767,2014-10-01,651
IDF54990767,2014-11-01,641
IDF54990767,2014-12-01,646
IDF54990767,2015-01-01,636
IDF54990767,2015-02-01,626
IDF54990767,2015-03-01,613
IDF54990767,2015-04-01,599
IDF54990767,2015-05-01,603
IDF54990767,2015-06-01,594
IDF54990767,2015-07-01,594
IDF54990767,2015-08-01,595
IDF54990767,2015-09-01,591
IDF54990767,2015-10-01,573
IDF54990767,2015-11-01,579
IDF54990767,2015-12-01,580
IDF54990767,2016-01-01,587
IDF54990767,2016-02-01,590
IDF54990767,2016-03-01,594
IDF54990767,2016-04-01,595
IDF54990767,2016-05-01,596
IDF54990767,2016-06-01,592
IDF54990767,2016-07-01,604
IDF54990767,2016-08-01,603
IDF54990767,2016-09-01,613
IDF54990767,2016-10-01,609
IDF54990767,2016-11-01,595
IDF54990767,2016-12-01,593
IDF54990767,2017-01-01,586
IDF54990767,2017-02-01,579
IDF54990767,2017-03-01,579
IDF54990767,2017-04-01,595
IDF54990767,2017-05-01,579
IDF54990767,2017-06-01,598
IDF54990767,2017-07-01,602
IDF54990767,2017-08-01,608
IDF54990767,2017-09-01,594
IDF54990767,2017-10-01,597
IDF54990767,2017-11-01,580
IDF54990767,2017-12-01,589
IDF54990767,2018-01-01,593
IDF54990767,2018-02-01,585
IDF54990767,2018-03-01,593
IDF54990767,2018-04-01,596
IDF54990767,2018-05-01,600
IDF54990767,2018-06-01,611
IDF54990767,2018-07-01,599
IDF54990767,2018-08-01,592
IDF54990767,2018-09-01,602
IDF54990767,2018-10-01,600
IDF54990767,2018-11-01,598
IDF54990767,2018-12-01,603
IDF54990767,2019-01-01,607
IDF54990767,2019-02-01,610
IDF54990767,2019-03-01,615
IDF54990767,2019-04-01,606
IDF54990767,2019-05-01,595
IDF54990767,2019-06-01,593
IDF54990767,2019-07-01,596
IDF54990767,2019-08-01,584
IDF54990767,2019-09-01,601
IDF54990767,2019-10-01,609
IDF54990767,2019-11-01,605
IDF54990767,2019-12-01,593
IDF55007722,2014-03-01,674
IDF55007722,2014-04-01,684
IDF55007722,2014-05-01,679
IDF55007722,2014-06-01,687
IDF55007722,2014-07-01,703
IDF55007722,2014-08-01,696
IDF55007722,2014-09-01,686
IDF55007722,2014-10-01,697
IDF55007722,2014-11-01,701
IDF55007722,2014-12-01,712
IDF55007722,2015-01-01,693
IDF55007722,2015-02-01,695
IDF55007722,2015-03-01,683
IDF55007722,2015-04-01,686
IDF55007722,2015-05-01,669
IDF55007722,2015-06-01,666
IDF55007722,2015-07-01,635
IDF55007722,2015-08-01,604
IDF55007722,2015-09-01,603
IDF55007722,2015-10-01,608
IDF55007722,2015-11-01,597
IDF55007722,2015-12-01,607
IDF55007722,2016-01-01,613
IDF55007722,2016-02-01,615
IDF55007722,2016-03-01,619
IDF55007722,2016-04-01,627
IDF55007722,2016-05-01,622
IDF55007722,2016-06-01,613
IDF55007722,2016-07-01,628
IDF55007722,2016-08-01,621
IDF55007722,2016-09-01,625
IDF55007722,2016-10-01,625
IDF55007722,2016-11-01,617
IDF55007722,2016-12-01,602
IDF55007722,2017-01-01,602
IDF55007722,2017-02-01,599
IDF55007722,2017-03-01,595
IDF55007722,2017-04-01,606
IDF55007722,2017-05-01,621
IDF55007722,2017-06-01,607
IDF55007722,2017-07-01,605
IDF55007722,2017-08-01,612
IDF55007722,2017-09-01,634
IDF55007722,2017-10-01,618
IDF55007722,2017-11-01,617
IDF55007722,2017-12-01,622
IDF55007722,2018-01-01,620
IDF55007722,2018-02-01,617
IDF55007722,2018-03-01,623
IDF55007722,2018-04-01,616
IDF55007722,2018-05-01,621
IDF55007722,2018-06-01,616
IDF55007722,2018-07-01,612
IDF55007722,2018-08-01,611
IDF55007722,2018-09-01,625
IDF55007722,2018-10-01,619
IDF55007722,2018-11-01,617
IDF55007722,2018-12-01,599
