ID,доход,сумма_кредита
IDF54994660,16638,2271240
IDF55088874,17017,3429210
IDF55037482,90295,1001235
IDF55135934,23523,823965
IDF54899959,126712,1967385
IDF54999743,68348,228195
IDF55066465,18776,2686710
IDF55120256,111158,1069785
IDF54950809,83557,473370
IDF54973196,59443,1065600
IDF54981910,38880,3112365
IDF55021012,146351,3737535
IDF54968773,122130,1201335
IDF54985369,35532,3658890
IDF54942324,47802,1202205
IDF54973904,46625,1938375
IDF54966931,21741,2907870
IDF55009365,126394,3391515
IDF54898089,48776,3279120
IDF55095399,82655,484605
IDF54972800,45311,324885
IDF54964405,39633,3641955
IDF54910842,81579,1432485
IDF54917135,30411,1010340
IDF55110800,119416,2605230
IDF55061608,134167,1924125
IDF54967688,147768,2331765
IDF55100738,24997,1686585
IDF55012847,92600,2576865
IDF54905022,111765,698460
IDF54896685,37962,2151615
IDF55054568,63183,280215
IDF54946062,57748,1302645
IDF55096652,140437,84195
IDF54912920,134429,3714360
IDF55095698,25575,297210
IDF55133936,73356,1439430
IDF55087501,23357,314460
IDF55058244,24108,780855
IDF55014819,140469,3706935
IDF55029739,53016,3284670
IDF54970813,52591,1930380
IDF54901864,43470,1918410
IDF55028296,95043,1376130
IDF54907543,77214,1610220
IDF54946578,103296,2208315
IDF55051585,128680,2745255
IDF55083006,48811,2645490
IDF54984289,52071,3652740
IDF55013403,101196,2977380
IDF55128836,123160,621915
IDF55108966,31389,2144625
IDF54931666,20526,1246335
IDF55050939,95795,3104910
IDF55077458,117102,1410480
IDF55148133,22920,1999215
IDF55114397,92197,3314460
IDF55015211,84488,2225595
IDF55143770,125069,2035035
IDF54904457,146760,2867925
IDF55070282,73496,2873745
IDF55073613,61557,1175835
IDF55053677,28935,3626565
IDF55034471,25769,2035860
IDF54906497,65081,635790
IDF54938230,77938,2668365
IDF54930418,140552,2026500
IDF54922512,129474,2927820
IDF54945755,149162,277785
IDF55065097,29726,2216505
IDF55037005,99364,2414850
IDF55082325,117617,813345
IDF54981660,109218,2863110
IDF55053403,31381,584865
IDF55060354,130671,2885880
IDF55059101,73637,2641740
IDF54982591,101117,2289165
IDF54972519,143668,3266715
IDF55055872,49104,1525095
IDF54950050,59547,277395
IDF55058152,52979,1702575
IDF54919663,99086,136110
IDF54974854,45083,1343130
IDF55104761,38329,1824840
IDF55145338,112652,2618400
IDF54970496,123042,3129690
IDF55002033,131935,236670
IDF55077696,137742,2718015
IDF55031817,80191,382980
IDF55051126,141099,346125
IDF55087384,47535,1229985
IDF54941148,85283,3465750
IDF55021684,79460,697365
IDF55054418,148129,579930
IDF55024251,43776,2810115
IDF55047571,99713,2172780
IDF55080780,29204,2532750
IDF54975760,26454,1663800
IDF55094494,136353,2864730
IDF55078631,102457,728145
IDF55027708,85364,897675
IDF54960297,68089,229845
IDF55005224,54239,1865925
IDF55144404,73804,3569340
IDF54947708,134555,1712430
IDF54973232,38269,1605375
IDF54929072,43466,2370675
IDF54917160,35289,85860
IDF55061588,102130,561780
IDF55068256,126307,2865165
IDF55066913,25127,2016000
IDF54958333,143868,2406030
IDF55011101,116346,3118215
IDF54912770,87912,2182665
IDF54917467,147490,1544925
IDF55105668,33997,2739720
IDF54910437,89038,3057780
IDF55129955,28328,3176415
IDF54977524,137315,519480
IDF54955245,67460,329130
IDF54915958,49434,429105
IDF55072840,21701,3446535
IDF54940227,41013,1174860
IDF54981354,121001,1531125
IDF55139360,31872,3173370
IDF55092840,124543,2731455
IDF55014045,88720,3091590
IDF54921015,125957,262695
IDF55147644,39776,3031080
IDF54903053,77870,1177710
IDF55053265,95183,389445
IDF55072384,67136,1970340
IDF54921868,98333,2106225
IDF55126125,36500,2796480
IDF55076173,15545,2489610
IDF55094758,76825,2717175
IDF54952800,52079,3219750
IDF54951325,134909,3106410
IDF55031384,71825,3557295
IDF54955565,72531,1240425
IDF55005938,116767,2995635
IDF55036764,32801,919185
IDF55024020,143577,2739255
IDF55003288,107625,1246665
IDF55044876,31372,941250
IDF54911104,110049,2164140
IDF55029373,116917,3209955
IDF55115860,59402,1093110
IDF54925752,148140,2775570
IDF54933591,113534,1214070
IDF54898513,133876,3160110
IDF55061323,21375,1157445
IDF54963027,132576,907170
IDF55133403,49022,1215030
IDF54979600,123767,1006845
IDF55076231,21631,280590
IDF54982291,50181,2686485
IDF54988444,88381,2215860
IDF54939888,49601,2389305
IDF55151518,94987,2217840
IDF54947105,15853,873945
IDF54900019,48565,1899300
IDF54942164,57434,2662020
IDF55048488,39248,925695
IDF55142599,44370,3348255
IDF54945675,114501,2068995
IDF54940261,44222,1041450
IDF55033468,49259,3064800
IDF54995846,125589,3496215
IDF55067634,142878,1889400
IDF54991298,147746,1140420
IDF55085207,117483,2921730
IDF54929173,105191,1205850
IDF54987953,27253,555975
IDF55083342,119502,1110180
IDF55031076,37266,3577980
IDF54917490,19054,1001760
IDF55013964,91747,3422115
IDF55003141,126184,3066615
IDF54924274,125061,2361930
IDF54964214,75037,3288345
IDF55051261,95799,577950
IDF55148501,82344,2533890
IDF54962459,77549,1906935
IDF54921750,60155,715620
IDF55067674,19861,3431610
IDF55150476,90602,2785335
IDF55111772,66067,79590
IDF55079429,137242,3083700
IDF55046877,54659,2161620
IDF54926478,30861,2438610
IDF54979003,57622,2748780
IDF55136976,126008,816450
IDF55021205,48125,407535
IDF55151667,51953,2848485
IDF55029341,139477,2901525
IDF54972033,102523,2964750
IDF55019116,28955,2378220
IDF55010015,26311,3199800
IDF55066631,107177,2371215
IDF55041001,144674,2267235
IDF55008754,34803,158565
IDF55020076,34125,2347485
IDF55127302,86753,421995
IDF55040342,148734,2920815
IDF55060170,119752,2524470
IDF55127973,149882,3230370
IDF55095247,146441,3695370
IDF55139958,138436,3531345
IDF54904657,33072,3676230
IDF54936654,38366,1652220
IDF54987925,95547,2314140
IDF55081824,18599,1438575
IDF55090965,119074,1454790
IDF55059825,138287,2869845
IDF55141422,71967,1849575
IDF54905498,19466,3407475
IDF54899653,22922,2614260
IDF55140810,17414,231810
IDF54928515,94244,2275830
IDF55014047,17635,368865
IDF55087269,92690,165510
IDF55036193,114673,2391270
IDF55079711,50595,852735
IDF55086872,110720,1607445
IDF55111607,83474,1701240
IDF55010246,19362,2909190
IDF54917977,34959,2320020
IDF55055771,19362,1763460
IDF55031369,139156,3299040
IDF54910992,97422,1400145
IDF54902708,20755,3338250
IDF54966755,109591,2832495
IDF54962202,114880,1752600
IDF55011738,58405,1219230
IDF55095416,58125,1907640
IDF54934773,124321,3038010
IDF55145852,72113,1925385
IDF54986692,138068,1799010
IDF55087861,46555,3621240
IDF54967452,21992,3499305
IDF55020172,35309,324420
IDF54981125,130914,2014560
IDF54922706,55195,3031530
IDF54905721,30636,1438035
IDF55037465,27650,3552615
IDF54982701,136075,532995
IDF55032621,108901,3147525
IDF55031315,67977,1092540
IDF55030186,115896,963795
IDF55097364,64240,2315025
IDF54940077,33343,1122450
IDF54966668,141265,1092960
IDF54937849,39583,348675
IDF55025579,124858,2646555
IDF54944825,131411,3699795
IDF54927854,33370,1704840
IDF55006505,47866,2875965
IDF55087973,108264,920505
IDF55087027,20939,3475305
IDF54948455,144208,2981325
IDF55119392,27925,3344550
IDF55091427,31478,2011980
IDF55014216,133262,2531610
IDF55019235,16006,2039415
IDF55106097,36798,87465
IDF54989193,115787,3304950
IDF55045857,74571,535455
IDF54976544,109452,2025435
IDF54900736,17071,3211170
IDF55109399,90992,340440
IDF55005337,60559,2151645
IDF54990322,38321,863715
IDF55013651,135671,726765
IDF55077710,72653,1702290
IDF55115335,52284,3104730
IDF55014667,134662,2141145
IDF55087497,148483,3159945
IDF54928571,84998,1291545
IDF55151042,34643,2921190
IDF54902710,64104,3531180
IDF55134500,124756,3421905
IDF55071556,29119,3504795
IDF54906457,67832,459870
IDF55051309,60868,3035640
IDF55100358,134393,1397490
IDF54981885,24762,3649605
IDF55066628,120838,367095
IDF55072708,93315,3697320
IDF55100743,86118,1948035
IDF54987535,33551,1496760
IDF54969606,34003,804810
IDF55049980,93114,988260
IDF54910957,16447,2551890
IDF55069669,112101,3348345
IDF55123113,145955,1940715
IDF55143084,145616,2785890
IDF55059613,123714,296775
IDF54950315,97345,651900
IDF54963821,63765,2788095
IDF55120295,74162,2041845
IDF54956960,60644,2702835
IDF55073125,30579,3508560
IDF54899195,90854,2803830
IDF54912405,109138,821670
IDF54985185,34089,1115580
IDF55047967,44073,2618280
IDF54989308,20938,2644455
IDF55027641,111163,2892825
IDF54936612,88896,760305
IDF55054206,111491,1996380
IDF54900063,70005,2214345
IDF55109699,83169,2630640
IDF55134835,53840,426510
IDF55016659,102541,3462540
IDF54898760,124862,2681265
IDF55068856,110611,3333810
IDF55141031,100847,2440860
IDF55101986,94661,2068530
IDF54936512,20664,1068285
IDF55042272,86561,2229645
IDF55027100,79179,2240205
IDF55048291,148535,2499480
IDF55097973,60352,3032940
IDF54905688,80604,209910
IDF55059500,144401,2722635
IDF54927698,107614,1360830
IDF54902770,16688,1562835
IDF54937805,103298,1759245
IDF55018054,93405,2264115
IDF54986026,32494,3578445
IDF55053568,42666,2427780
IDF55096956,89142,671700
IDF54981278,41693,2395890
IDF54987825,139754,1493325
IDF54939105,50194,3676350
IDF54980445,105283,2194710
IDF54896355,100284,3381045
IDF54998258,71723,2924235
IDF54931455,121080,595950
IDF55149713,16131,1102035
IDF55103119,124205,474570
IDF55113580,81016,3466815
IDF55086486,131438,2184975
IDF55061128,117434,3110790
IDF55109476,57266,1383840
IDF54917059,33924,902790
IDF54980747,80016,1438350
IDF54941325,35147,712515
IDF55148609,64347,3579390
IDF55087312,25696,104940
IDF55106717,91184,749340
IDF54948801,69652,2222085
IDF54972770,49538,1184265
IDF54934112,98297,728475
IDF55122300,34747,2964930
IDF55013671,143933,2429760
IDF55101728,134039,1565400
IDF55040575,132996,2446530
IDF54944048,95439,1736250
IDF54965759,142034,1735005
IDF55069991,95694,2983590
IDF55047738,45024,3224520
IDF54989630,47078,3622125
IDF55097969,123108,1955790
IDF54928137,108001,945990
IDF55114627,67226,1299510
IDF54976142,51658,3619560
IDF54900246,80991,462630
IDF55131088,38086,1807230
IDF54983623,93054,1952610
IDF55139422,16604,1676820
IDF54970257,148729,2491815
IDF55100837,15449,1369920
IDF54979323,141211,3555870
IDF54962811,91593,1734210
IDF55002185,104696,380670
IDF54921496,25058,2143770
IDF55059303,137604,958095
IDF55087448,72829,2759295
IDF55147299,73915,2973240
IDF54896787,78113,2290080
IDF55008136,90271,1297110
IDF54897832,15887,2086395
IDF54919957,82698,3282855
IDF54986867,133329,529740
IDF55145775,29240,1481100
IDF54977448,122806,2739870
IDF55006323,31897,3608520
IDF54904807,43688,2333190
IDF55099813,108497,1899285
IDF55073960,36916,856290
IDF55047447,42681,1685055
IDF55083931,129623,2735025
IDF54926094,17350,2591925
IDF55008513,59034,887880
IDF55148639,118792,580680
IDF55132187,18245,1624485
IDF55109104,25523,3712410
IDF55033292,20348,846885
IDF55110605,64299,135915
IDF55049403,100488,1096635
IDF54922524,144479,1072770
IDF55129456,92221,3668160
IDF54988053,19194,3414585
IDF54990046,137536,1210935
IDF55089446,134405,2636925
IDF55142780,131292,1180470
IDF55062908,65044,3278085
IDF55017341,142829,2568015
IDF55080830,56247,3176685
IDF55040622,17160,2294685
IDF55034540,72986,3644790
IDF54900609,74023,336210
IDF55106241,95390,2652015
IDF55110652,144076,3214440
IDF54992593,91681,1059900
IDF55043162,103128,3026430
IDF55013902,41325,718995
IDF55010935,54703,2817090
IDF55012791,95368,2088780
IDF54948469,115452,1869195
IDF54921538,41620,1408815
IDF54992848,81696,3307125
IDF55093665,51467,1317450
IDF55046279,98829,1128735
IDF55086049,106345,925260
IDF54913779,120180,1195275
IDF55057090,124039,2955585
IDF55116697,142290,1293390
IDF54999547,67376,3051195
IDF54940291,27318,162180
IDF55058726,54664,1429050
IDF55151176,44893,828225
IDF54967123,70322,453375
IDF54914301,141269,1422795
IDF55124801,27847,138345
IDF55095595,59751,3563310
IDF55055359,75039,904620
IDF55145308,101429,2677005
IDF55115414,65078,755445
IDF54896558,56946,96765
IDF54982347,92748,1510830
IDF55143436,96915,476655
IDF55066981,93139,909780
IDF54951048,15499,2256495
IDF54991654,34888,2963175
IDF55006333,114705,2094480
IDF55016388,133942,823020
IDF55082350,44963,1054485
IDF54958347,36058,2210310
IDF55013540,19682,2559405
IDF55049411,70505,2949165
IDF55042739,23476,2265990
IDF55144816,15831,2840085
IDF54955405,37665,3635940
IDF55118058,134461,2723520
IDF55060720,146089,1437255
IDF55068691,119254,806325
IDF55114400,39737,3181020
IDF54999882,77569,2676930
IDF55138705,37843,909705
IDF55110579,17278,3502740
IDF54917442,54987,3408210
IDF55124309,35435,1735800
IDF55090230,102327,3273585
IDF55051208,55690,3670875
IDF55080227,28484,1032120
IDF54929038,81780,3048495
IDF55096072,23682,1281390
IDF55082801,47256,1045365
IDF54973972,137613,403500
IDF55048387,20099,849630
IDF54991411,30013,2358645
IDF55086394,80804,3607965
IDF55007579,140618,2542650
IDF54994385,89344,287250
IDF54982708,114506,1523985
IDF55133922,136846,2487375
IDF55053884,57216,3687045
IDF54967620,53365,1507680
IDF54976166,64743,1688250
IDF55033439,42955,608460
IDF54995700,130350,3026385
IDF55132901,139899,1676715
IDF55066114,15961,819180
IDF54921804,22092,3345525
IDF55030480,90115,1305120
IDF54993206,19218,2038125
IDF55022660,148212,2254980
IDF54996236,122749,3513525
IDF55022148,118280,1647300
IDF54983979,53391,2367990
IDF54946944,79891,419400
IDF55060595,76179,2532345
IDF54956188,114700,1449345
IDF55110260,72560,933090
IDF54925903,48843,1000605
IDF54915369,74673,3437880
IDF55021770,134579,763365
IDF54968673,149691,76245
IDF55060437,30987,829710
IDF55037987,35322,839145
IDF55032805,38072,1172280
IDF55028438,60047,2050905
IDF55037086,59345,3665310
IDF54898964,91101,2452935
IDF55001199,131018,3324690
IDF55018661,16024,1582335
IDF54958169,36221,1193790
IDF54982140,143150,3595125
IDF54936464,116504,2996805
IDF54908274,23531,565110
IDF54960827,66412,1153830
IDF55016869,37392,1929330
IDF55077610,101690,3548520
IDF54957955,31005,2384760
IDF55147767,67522,1433010
IDF55148130,68783,3223005
IDF54979088,42897,970380
IDF54911194,88400,3579795
IDF55089685,149027,2729325
IDF55129243,40493,236190
IDF55142800,126854,2003835
IDF55145495,45126,462405
IDF55026937,96887,1717515
IDF55058924,131772,3744465
IDF55056393,88609,2806110
IDF55110645,21280,1845585
IDF54913643,46537,1735545
IDF55109798,40029,1500810
IDF55140812,44128,2072745
IDF55105124,103614,3747060
IDF55126342,93563,910470
IDF54973748,20072,3471090
IDF55000349,36569,1126500
IDF55082519,108765,2731815
IDF54993573,18564,3143145
IDF55066222,136420,3316785
IDF54986262,29999,781170
IDF55142170,42615,2236035
IDF55036169,88575,1588305
IDF54991496,139338,3637185
IDF55111266,119945,759000
IDF54950228,59940,363270
IDF55020097,48999,1248945
IDF55007630,80543,2302695
IDF54928242,140705,2466750
IDF55122561,42427,85230
IDF55050577,38857,232980
IDF55084634,22847,3384435
IDF54964153,63951,2907330
IDF54992552,46259,117180
IDF55111941,18746,1582695
IDF54903617,29330,1369800
IDF54998207,63603,3688095
IDF54944331,133152,3584670
IDF54984320,124898,1570455
IDF55111791,36916,1498410
IDF54947644,41043,3029265
IDF55141398,118985,967830
IDF55000538,62202,2336040
IDF55149521,17275,2548080
IDF55109984,67538,1839840
IDF55147374,87613,3337200
IDF55076331,54306,3507945
IDF54948257,100596,896070
IDF55116757,116804,1589475
IDF55085731,23537,2686575
IDF54900532,143164,1222170
IDF54972778,18794,2183550
IDF55123366,124921,545595
IDF54925094,84958,335475
IDF55011446,19168,2472540
IDF54970303,145963,1008735
IDF54941896,53350,2298420
IDF55011508,88387,313575
IDF55128871,61035,1609485
IDF55130898,48546,3056835
IDF54967736,25672,3624780
IDF55087631,148016,351060
IDF54969715,49753,280830
IDF55065535,96554,2628150
IDF55109864,139300,1254285
IDF55100780,80371,3247020
IDF55066333,103933,990330
IDF55001824,63602,1696395
IDF54978245,59041,1732830
IDF54918157,110623,3009345
IDF55020284,59646,2516400
IDF54915857,81104,2889555
IDF55081305,58026,1435035
IDF55100480,35549,226245
IDF54999602,84380,1126035
IDF55020982,91432,1533555
IDF55005746,87579,1872150
IDF55112839,76674,3558510
IDF54958458,51658,3390300
IDF54980806,107141,646890
IDF55047083,72235,3661080
IDF55135105,147283,2770140
IDF54919624,114946,610350
IDF55025129,94063,3144660
IDF55073939,95617,490290
IDF55073608,76737,535500
IDF55087459,18473,3616380
IDF55040808,56962,1058700
IDF55012919,58064,3384555
IDF55034879,119159,1755795
IDF54945344,96402,328740
IDF55148974,55545,3531150
IDF55094739,93742,1570065
IDF55147210,132628,1634955
IDF54899011,16210,2609310
IDF55102660,22903,2681220
IDF55071882,73987,2014770
IDF54905823,54932,3651375
IDF55051006,65907,1157595
IDF54967041,23461,2219445
IDF55047111,145220,2603610
IDF54943423,146449,2886870
IDF55015329,138892,770610
IDF54969121,140211,2539350
IDF54907489,90391,1905120
IDF55053641,28783,1689285
IDF54959412,146804,322575
IDF55144767,17634,1268430
IDF55066036,106352,151440
IDF54995265,114321,534225
IDF54918327,20364,2995905
IDF54988316,109631,2630355
IDF55119439,59866,2003385
IDF55145370,94693,2245575
IDF55051895,88254,825990
IDF55053974,104348,3040920
IDF54978253,64398,3568710
IDF55135130,123340,473685
IDF55086316,76258,1091220
IDF54909404,135058,3277620
IDF55063102,95346,1218405
IDF54924824,73798,684735
IDF55072612,33129,2375655
IDF54960816,17505,1882320
IDF54924285,108420,1831995
IDF55127598,54595,1891245
IDF55042153,125074,2535360
IDF55083050,101960,3648315
IDF55031950,119451,172245
IDF55059370,77368,1170720
IDF55018897,64134,269880
IDF54935503,91491,1975725
IDF55067550,29978,2539995
IDF54903918,25606,2157735
IDF54995771,77021,3505410
IDF55068267,100040,3637350
IDF55044870,121544,3245475
IDF55088585,112262,866835
IDF55075057,108212,1707765
IDF54911547,109053,2278995
IDF55094779,108347,610320
IDF54905579,104701,1206900
IDF55072222,45745,299235
IDF55100309,76230,1188060
IDF55019679,136932,668310
IDF55075524,133575,2771595
IDF54912949,95827,1655070
IDF55085102,72684,2607990
IDF54946659,71541,2828565
IDF54916020,25949,3103635
IDF54971703,38707,724800
IDF55028892,105675,2433330
IDF55111827,60136,876225
IDF54965132,35560,3529575
IDF55128286,39504,1390575
IDF55067992,20835,1809150
IDF55088730,70183,3740655
IDF55110765,16181,2994825
IDF55110463,87446,1333455
IDF55002575,68790,1872825
IDF55015801,85864,1100010
IDF55031443,17176,968520
IDF55009910,111928,214245
IDF54980934,66421,1719495
IDF54968180,123121,3319590
IDF55015337,52526,1858035
IDF55095874,111152,182865
IDF55128275,100246,1385310
IDF55031797,47818,3097920
IDF55011173,137793,2693835
IDF55046340,22722,3391710
IDF54908320,138816,85740
IDF54962756,16381,403890
IDF55036146,101816,3397590
IDF54968175,129860,2708910
IDF54914579,104924,592575
IDF54913012,135552,179910
IDF54987036,40245,2884815
IDF55004897,24748,635955
IDF55008640,119367,3516135
IDF54975812,81214,3538530
IDF54955785,86657,2324940
IDF54922075,15151,2648190
IDF55113551,110651,2506020
IDF55088148,147630,2082015
IDF54936381,97194,768195
IDF55143455,18041,2867355
IDF55151027,95678,2965095
IDF55123543,81474,2184600
IDF54919932,25161,1460580
IDF55121998,60548,431490
IDF55030338,29807,3075615
IDF55066858,15208,1487580
IDF55073531,42613,3019185
IDF54988375,146721,2697825
IDF55068734,42244,3738870
IDF55021824,131060,3326640
IDF55059888,132816,2082195
IDF54950890,112521,2159730
IDF54914785,58156,271530
IDF55018441,134834,348990
IDF55116482,148694,1556265
IDF55000357,40173,637860
IDF54914038,117968,3725970
IDF55078983,56434,1039275
IDF55046836,75393,2905890
IDF54930150,109381,2391795
IDF55105632,34866,2579265
IDF55027749,57714,2251500
IDF54906025,34194,2147640
IDF54911594,104089,1659135
IDF54930792,74340,1175115
IDF54908685,100394,533070
IDF55008548,145105,2181495
IDF54963875,96896,1357170
IDF55132722,55294,2792550
IDF55136672,87337,2226435
IDF55020180,23411,1694265
IDF55129463,57869,761010
IDF55080305,17136,3505290
IDF55112939,117135,253425
IDF54901493,125771,1324710
IDF55064545,21829,1418595
IDF55141240,81366,2276355
IDF54961889,89721,483285
IDF55139256,124844,982065
IDF55036382,17631,3734880
IDF54964675,56098,1655685
IDF54998267,59778,821340
IDF55129110,54217,3248985
IDF54911072,120758,1920285
IDF55012902,46397,1235325
IDF55098251,126535,202950
IDF54937394,82928,2882370
IDF55018100,47688,139860
IDF54906721,110554,2302515
IDF54980105,94782,1257210
IDF55068546,98890,2865855
IDF54906009,50121,1109250
IDF55079177,116255,2104245
IDF54996415,17098,3228000
IDF54918550,132409,3500550
IDF55058134,148090,1760415
IDF55055592,19459,521865
IDF55075613,131013,3094500
IDF54908396,123435,1955130
IDF55149784,98013,2717550
IDF55035983,28390,1038330
IDF55059948,138863,1807935
IDF55085344,38484,1484535
IDF55069504,24061,1222440
IDF55132081,81135,2539155
IDF55068242,128828,670905
IDF55125441,93434,851745
IDF54926936,105036,3605745
IDF54991321,34693,3665775
IDF55039882,46110,1733985
IDF55150592,16395,3178515
IDF54936453,75656,2976690
IDF54975678,137307,3558525
IDF54928095,36541,2217345
IDF54917832,34414,114630
IDF54915108,52633,2592330
IDF54965847,127723,138765
IDF54995939,112578,2254290
IDF55106960,115055,531315
IDF54902556,133643,3137265
IDF54948269,60874,1460130
IDF55038692,40244,1020915
IDF54928744,115453,2320890
IDF55070703,66626,2116800
IDF55059652,87772,474165
IDF55063784,30672,2331255
IDF54915270,21872,1817730
IDF54920031,60144,3506115
IDF54933375,36202,729630
IDF54916410,30525,2256315
IDF55113763,117519,592755
IDF54952830,21848,768570
IDF54901439,18299,2962920
IDF55068245,131284,3371400
IDF54958144,77088,2448945
IDF55123882,89405,3143865
IDF54944822,94363,1378620
IDF54973190,98001,1339350
IDF54898406,128958,3501315
IDF55135390,58675,611085
IDF55144445,41023,3455925
IDF55017753,92872,2043585
IDF54945954,140029,1843680
IDF55043640,20293,3249795
IDF54963333,146057,2130855
IDF54951759,132519,500265
IDF54940426,37058,2293305
IDF55075765,115771,3699540
IDF54976640,106956,183735
IDF55026851,29452,3385830
IDF55026986,59176,1544355
IDF54922299,131100,670575
IDF54976155,134099,1410330
IDF54899882,50700,2216910
IDF55002599,29111,1839285
IDF54985763,45131,3193740
IDF54937751,116578,2329680
IDF55084879,74196,990450
IDF55027184,90649,3434475
IDF55051940,84922,2863095
IDF55113025,37448,3210390
IDF55118503,138655,2830005
IDF54979275,70672,2816355
IDF54915628,94024,3667515
IDF55037084,110051,1118145
IDF55110487,77772,1712640
IDF55115842,128363,551040
IDF55026269,40574,2114040
IDF55091433,29885,2704470
IDF54947133,39431,1629780
IDF55005576,23313,2490735
IDF55063367,67085,394965
IDF54963581,123762,3270525
IDF54957287,137259,1807290
IDF54965802,94461,861555
IDF54904095,22917,2315895
IDF54971164,121101,3194625
IDF54972748,24460,2751735
IDF54996411,146023,3164160
IDF54933368,115142,2701500
IDF55147124,141994,1200420
IDF55008226,73187,2491770
IDF55062803,65823,3226620
IDF55130006,66003,3712725
IDF55042047,107597,912870
IDF55145211,101177,869025
IDF55121744,128908,378900
IDF55096905,96817,1606680
IDF55135317,80245,280170
IDF54955531,30300,2764680
IDF55010648,22050,173745
IDF54938389,88703,1426215
IDF54979119,92493,919425
IDF55005620,34366,3439170
IDF55058297,130651,2424030
IDF54973851,72763,356835
IDF54907073,81663,1939605
IDF54977140,75368,3204750
IDF54901708,53289,3692160
IDF54976053,92015,432135
IDF54982567,114844,2430075
IDF55001070,24536,1373685
IDF54944318,18961,1820700
IDF55039624,138116,3445530
IDF55000299,52925,1053075
IDF55130992,139288,1355745
IDF55130040,114918,3037200
IDF55052803,124953,1283520
IDF55110183,70423,3274335
IDF55135511,79447,1264860
IDF54990092,48683,3024405
IDF54902912,92888,1600065
IDF55117148,15082,2556615
IDF54933255,132180,2436585
IDF55048463,43477,2722725
IDF55026313,117029,447735
IDF55121573,67927,1122315
IDF54977471,65326,969795
IDF55029815,127823,1222395
IDF55065289,102262,466575
IDF55111485,66497,2293215
IDF55109790,138367,3668730
IDF54986260,25041,2583810
IDF54960726,92090,1334385
IDF54978821,35528,144480
IDF54910885,17155,1811100
IDF55014425,59020,200310
IDF55086471,142531,1823970
IDF55151511,50657,3713220
IDF55151000,91312,3411690
IDF55024221,28167,158040
IDF55030618,66356,2150790
IDF55016996,101135,1986435
IDF54998238,15769,341250
IDF55054276,47010,3021375
IDF55025927,16598,739995
IDF55148643,29357,1004625
IDF55004686,66422,1351725
IDF54984624,81141,927225
IDF54920637,67589,918390
IDF54970291,57737,1778940
