ID,дата_начала_периода,просрочка_дней
IDF55149713,2015-11-01,83
IDF55113580,2019-12-01,107
IDF55148609,2019-02-01,133
IDF54972770,2018-08-01,112
IDF55122300,2019-03-01,92
IDF55069991,2018-12-01,83
IDF55047738,2015-08-01,133
IDF54989630,2018-11-01,109
IDF55097969,2016-08-01,115
IDF55114627,2014-06-01,80
IDF54976142,2018-09-01,131
IDF55139422,2018-04-01,93
IDF55002185,2015-02-01,96
IDF54921496,2018-08-01,133
IDF54896787,2019-10-01,83
IDF55008136,2014-08-01,149
IDF54897832,2019-12-01,98
IDF54919957,2019-10-01,108
IDF54986867,2019-07-01,86
IDF54977448,2019-11-01,90
IDF55006323,2018-02-01,125
IDF54904807,2019-07-01,118
IDF54926094,2016-09-01,122
IDF55008513,2016-07-01,142
IDF55109104,2015-01-01,93
IDF55033292,2017-12-01,80
IDF54922524,2019-12-01,147
IDF55129456,2019-04-01,127
IDF54988053,2015-02-01,89
IDF55080830,2016-12-01,101
IDF55034540,2019-08-01,130
IDF54900609,2015-04-01,81
IDF55106241,2014-04-01,87
IDF55013902,2018-07-01,115
IDF55010935,2016-03-01,85
IDF55012791,2019-10-01,94
IDF54992848,2017-04-01,120
IDF54940291,2016-10-01,102
IDF55151176,2019-10-01,104
IDF54967123,2019-07-01,127
IDF55124801,2016-04-01,127
IDF55095595,2014-07-01,150
IDF54982347,2014-09-01,92
IDF55066981,2017-06-01,92
IDF54951048,2018-07-01,87
IDF54991654,2015-03-01,148
IDF55006333,2014-03-01,117
IDF55013540,2015-11-01,127
IDF55042739,2018-08-01,92
IDF55144816,2014-09-01,147
IDF54955405,2018-08-01,100
IDF55060720,2015-09-01,113
IDF55138705,2019-08-01,146
IDF55110579,2019-05-01,149
IDF55051208,2018-10-01,126
IDF55080227,2016-07-01,115
IDF54991411,2019-09-01,118
IDF55086394,2015-10-01,123
IDF55007579,2018-06-01,118
IDF55133922,2019-03-01,84
IDF55053884,2015-10-01,137
IDF54976166,2019-11-01,146
IDF55033439,2019-02-01,137
IDF54993206,2019-04-01,87
IDF54996236,2016-08-01,99
IDF54983979,2018-01-01,118
IDF54925903,2019-12-01,117
IDF54915369,2016-11-01,135
IDF55021770,2017-10-01,80
IDF54968673,2018-12-01,102
IDF55060437,2015-07-01,126
IDF54898964,2015-03-01,87
IDF55018661,2017-06-01,137
IDF54958169,2017-02-01,119
IDF54936464,2019-02-01,94
IDF54960827,2019-08-01,148
IDF55077610,2019-12-01,104
IDF55148130,2016-05-01,97
IDF54979088,2018-01-01,92
IDF55089685,2018-04-01,101
IDF55129243,2014-07-01,147
IDF55145495,2014-05-01,126
IDF54973748,2019-09-01,95
IDF54986262,2015-07-01,127
IDF55142170,2019-08-01,119
IDF55036169,2017-08-01,131
IDF55020097,2017-12-01,93
IDF55007630,2016-03-01,108
IDF55050577,2019-10-01,132
IDF55084634,2018-12-01,122
IDF55111941,2018-10-01,87
IDF54903617,2019-12-01,125
IDF54998207,2015-04-01,147
IDF54984320,2018-06-01,82
IDF55111791,2014-08-01,96
IDF54947644,2019-11-01,128
IDF55141398,2016-07-01,81
IDF55085731,2019-02-01,93
IDF54900532,2018-11-01,135
IDF54972778,2016-05-01,110
IDF55123366,2019-02-01,128
IDF55011446,2018-07-01,133
IDF54970303,2019-06-01,103
IDF54941896,2018-06-01,106
IDF55128871,2015-11-01,86
IDF55130898,2018-11-01,100
IDF54967736,2018-03-01,94
IDF55065535,2019-06-01,120
IDF55001824,2017-04-01,106
IDF55020284,2019-08-01,100
IDF54915857,2015-10-01,136
IDF55005746,2014-06-01,118
IDF55112839,2019-04-01,118
IDF54958458,2019-04-01,81
IDF55047083,2018-07-01,98
IDF55135105,2018-12-01,107
IDF55087459,2018-12-01,117
IDF55012919,2018-09-01,100
IDF55148974,2018-08-01,115
IDF55094739,2019-03-01,121
IDF54899011,2015-01-01,113
IDF55102660,2015-01-01,134
IDF55071882,2017-05-01,98
IDF54967041,2015-09-01,121
IDF55053641,2015-02-01,127
IDF55066036,2018-02-01,123
IDF54995265,2019-10-01,148
IDF54918327,2018-05-01,130
IDF55119439,2018-12-01,134
IDF55051895,2018-05-01,95
IDF55063102,2019-05-01,122
IDF54924824,2019-03-01,137
IDF55127598,2017-12-01,85
IDF55031950,2017-03-01,133
IDF55018897,2019-06-01,132
IDF55094779,2019-04-01,147
IDF54905579,2014-05-01,80
IDF55072222,2017-11-01,143
IDF55075524,2015-02-01,136
IDF54912949,2017-04-01,147
IDF55085102,2015-09-01,88
IDF54946659,2018-12-01,102
IDF54916020,2015-08-01,128
IDF54965132,2017-06-01,90
IDF55110765,2019-02-01,138
IDF55009910,2019-06-01,106
IDF55095874,2018-08-01,146
IDF55031797,2016-01-01,91
IDF55046340,2016-09-01,113
IDF54962756,2015-10-01,104
IDF54975812,2015-03-01,90
IDF54922075,2017-05-01,139
IDF55088148,2017-01-01,124
IDF55143455,2017-07-01,133
IDF55151027,2016-08-01,80
IDF55030338,2016-11-01,96
IDF55066858,2016-06-01,137
IDF55059888,2018-09-01,102
IDF55116482,2016-01-01,145
IDF55078983,2019-07-01,84
IDF54930150,2018-12-01,143
IDF55105632,2019-06-01,96
IDF55027749,2019-10-01,96
IDF54906025,2017-05-01,116
IDF54930792,2014-08-01,90
IDF54908685,2018-10-01,129
IDF55008548,2018-09-01,140
IDF55064545,2016-07-01,128
IDF55036382,2015-04-01,117
IDF54998267,2016-03-01,113
IDF54911072,2018-10-01,140
IDF55012902,2016-02-01,97
IDF55098251,2014-12-01,112
IDF54980105,2018-09-01,125
IDF54996415,2018-08-01,98
IDF54918550,2016-07-01,96
IDF55132081,2016-03-01,132
IDF54991321,2018-07-01,87
IDF55150592,2016-07-01,95
IDF54936453,2019-11-01,94
IDF54928095,2016-04-01,108
IDF54965847,2014-11-01,122
IDF54995939,2016-06-01,108
IDF55106960,2017-07-01,83
IDF54902556,2018-08-01,83
IDF54948269,2016-07-01,85
IDF55038692,2016-05-01,80
IDF54928744,2018-09-01,101
IDF55070703,2018-12-01,115
IDF55059652,2016-07-01,92
IDF55063784,2015-11-01,130
IDF54920031,2014-03-01,145
IDF54916410,2015-09-01,107
IDF54952830,2017-11-01,149
IDF54901439,2014-12-01,123
IDF54973190,2016-09-01,128
IDF55135390,2019-05-01,104
IDF55017753,2019-11-01,88
IDF55043640,2019-08-01,125
IDF54963333,2017-04-01,101
IDF55075765,2019-08-01,126
IDF55026851,2016-08-01,84
IDF54922299,2018-09-01,134
IDF54899882,2018-04-01,122
IDF54937751,2015-02-01,122
IDF55027184,2015-12-01,130
IDF55113025,2019-05-01,108
IDF54979275,2016-03-01,136
IDF54915628,2018-08-01,146
IDF55115842,2019-09-01,135
IDF55005576,2014-09-01,103
IDF54957287,2019-02-01,150
IDF54972748,2017-04-01,87
IDF55008226,2018-12-01,124
IDF55130006,2017-08-01,90
IDF54955531,2018-02-01,105
IDF54938389,2015-09-01,107
IDF54979119,2019-11-01,106
IDF55005620,2015-10-01,93
IDF54982567,2014-05-01,128
IDF55001070,2019-10-01,81
IDF55000299,2015-11-01,125
IDF55130040,2015-09-01,85
IDF55110183,2017-01-01,86
IDF55135511,2015-05-01,146
IDF54990092,2019-08-01,122
IDF54902912,2014-10-01,113
IDF55117148,2019-10-01,124
IDF55026313,2019-05-01,84
IDF54977471,2017-01-01,138
IDF55029815,2014-01-01,91
IDF55111485,2019-02-01,91
IDF54960726,2018-04-01,85
IDF54978821,2019-12-01,81
IDF54910885,2016-09-01,124
IDF55151511,2015-10-01,141
IDF55024221,2017-03-01,121
IDF54998238,2015-01-01,142
IDF55025927,2016-08-01,147
IDF55148643,2019-06-01,104
IDF54984624,2019-02-01,128
IDF54920637,2016-04-01,101
IDF54945649,2014-09-01,87
IDF55043197,2019-10-01,81
IDF55089168,2015-03-01,96
IDF55016440,2017-02-01,124
IDF55120961,2015-10-01,113
IDF54920158,2019-10-01,138
IDF54928154,2018-11-01,85
IDF54976865,2017-06-01,124
IDF55013627,2014-07-01,85
IDF55037139,2019-02-01,122
IDF55147642,2019-07-01,90
IDF54938953,2019-12-01,119
IDF55136367,2019-10-01,83
IDF54921203,2016-08-01,125
IDF54950353,2019-11-01,140
IDF54943971,2014-08-01,145
IDF55054158,2014-07-01,99
IDF55137444,2018-06-01,86
IDF54963729,2014-09-01,81
IDF55083598,2016-02-01,80
IDF54988706,2018-11-01,91
IDF55004999,2019-10-01,97
IDF54947588,2016-10-01,101
IDF55006196,2015-01-01,127
IDF55027529,2015-04-01,117
IDF54935717,2019-10-01,87
IDF54903390,2016-05-01,150
IDF55066931,2016-07-01,125
IDF54983782,2016-03-01,84
IDF55045454,2016-04-01,113
IDF55139549,2019-06-01,141
IDF55064792,2016-06-01,83
IDF54948809,2017-03-01,141
IDF55108856,2019-03-01,105
IDF55091534,2016-04-01,126
IDF54943842,2018-12-01,107
IDF55014781,2015-09-01,110
IDF55135574,2016-05-01,120
IDF54908394,2019-03-01,119
IDF54952239,2014-04-01,96
IDF55103876,2018-11-01,105
IDF54942122,2019-09-01,94
IDF55103430,2018-12-01,81
IDF54933268,2016-06-01,116
IDF54991326,2017-01-01,124
IDF55028000,2015-11-01,129
IDF54899141,2017-04-01,123
IDF54911453,2019-09-01,81
IDF55096696,2015-12-01,86
IDF54931550,2014-10-01,107
IDF55005333,2015-02-01,91
IDF54913843,2019-12-01,80
IDF54903564,2019-12-01,103
IDF55080262,2019-10-01,105
IDF55022552,2018-09-01,85
IDF55088112,2016-11-01,120
IDF54937635,2019-05-01,99
IDF55112234,2019-11-01,121
IDF55112365,2017-03-01,139
IDF54994278,2015-12-01,149
IDF55109725,2018-11-01,139
IDF55004271,2017-07-01,105
IDF54984344,2019-07-01,92
IDF55079046,2016-04-01,120
IDF54945884,2018-12-01,116
IDF54955285,2019-07-01,110
IDF55098351,2018-10-01,113
IDF54965956,2017-08-01,119
IDF54929332,2016-02-01,131
IDF55007162,2015-02-01,88
IDF55139662,2015-04-01,147
IDF54906390,2016-10-01,123
IDF54991185,2015-06-01,143
IDF54966890,2014-08-01,135
IDF55136936,2014-09-01,132
IDF54992047,2018-12-01,110
IDF55147459,2019-03-01,97
IDF54962056,2017-04-01,124
IDF55134314,2018-02-01,126
IDF55053920,2019-12-01,143
IDF54914797,2018-11-01,103
IDF55110176,2018-09-01,145
IDF55028814,2018-12-01,82
IDF55125836,2017-04-01,146
IDF55090405,2015-01-01,95
IDF55083688,2019-03-01,99
IDF55012155,2019-12-01,93
IDF54927224,2018-02-01,98
IDF55144908,2017-07-01,130
IDF55008616,2013-12-01,127
IDF55008355,2015-11-01,88
IDF54932948,2018-03-01,84
IDF54993489,2017-05-01,125
IDF54913262,2017-09-01,133
IDF55097155,2018-12-01,107
IDF55140147,2019-06-01,103
IDF54943572,2019-05-01,112
IDF54986476,2014-09-01,139
IDF54964409,2017-12-01,85
IDF55077499,2014-11-01,136
IDF54916638,2019-07-01,145
IDF54990707,2019-04-01,105
IDF55015473,2016-04-01,141
IDF54950608,2018-12-01,133
IDF55091972,2019-02-01,149
IDF54993638,2019-05-01,147
IDF55040569,2019-12-01,85
IDF55031799,2015-05-01,139
IDF55034832,2017-05-01,104
IDF54988292,2018-04-01,121
IDF55012253,2019-07-01,88
IDF54960630,2019-07-01,142
IDF54961338,2015-01-01,81
IDF55025948,2017-10-01,115
IDF54899429,2016-03-01,132
IDF55086585,2017-07-01,147
IDF54958029,2018-06-01,128
IDF55056618,2015-10-01,83
IDF55027004,2017-07-01,96
IDF55083477,2019-12-01,134
IDF54933775,2019-02-01,150
IDF54993919,2017-09-01,114
IDF54969111,2014-08-01,144
IDF55122254,2015-09-01,136
IDF55087016,2018-11-01,146
IDF55119477,2018-05-01,132
IDF54926471,2014-10-01,137
IDF55022518,2016-06-01,109
IDF55055395,2019-03-01,101
IDF54930253,2018-12-01,130
IDF54913009,2019-07-01,97
IDF55023596,2013-11-01,109
IDF55142954,2018-09-01,143
IDF55011007,2015-02-01,101
IDF55040744,2017-05-01,146
IDF55126378,2018-09-01,139
IDF54917470,2016-11-01,113
IDF55120877,2017-03-01,106
IDF54933102,2018-04-01,107
IDF54961345,2017-05-01,85
IDF54934737,2014-07-01,141
IDF54934287,2017-02-01,128
IDF54945219,2015-12-01,130
IDF54958467,2015-12-01,137
IDF55102100,2014-11-01,118
IDF55105838,2017-01-01,129
IDF54955601,2018-02-01,144
IDF55005385,2015-12-01,83
IDF55136642,2016-04-01,88
IDF54908914,2019-04-01,103
IDF55122252,2019-08-01,109
IDF54961500,2015-07-01,103
IDF54937458,2017-06-01,105
IDF54961265,2016-08-01,148
IDF54986644,2019-03-01,118
IDF54905178,2016-02-01,115
IDF55106035,2017-12-01,119
IDF55002840,2016-11-01,134
IDF54940201,2014-04-01,126
IDF54972707,2019-05-01,83
IDF55018622,2018-10-01,140
IDF55097128,2019-07-01,102
IDF55001437,2014-09-01,82
IDF55114031,2019-12-01,138
IDF54999222,2019-11-01,101
IDF54969752,2014-01-01,92
IDF54970570,2019-07-01,89
IDF55051322,2014-05-01,89
IDF54932956,2018-12-01,150
IDF55059589,2014-02-01,121
IDF54989919,2015-01-01,146
IDF54997284,2014-09-01,121
IDF55142483,2019-03-01,86
IDF54921601,2014-05-01,112
IDF55111316,2016-08-01,118
IDF54996525,2019-10-01,100
IDF54962331,2015-02-01,86
IDF55105021,2014-10-01,129
IDF55039404,2018-12-01,84
IDF54986691,2018-05-01,137
IDF55115253,2014-05-01,130
IDF54965599,2015-11-01,133
IDF55023495,2018-02-01,128
IDF55133513,2015-09-01,87
IDF55136528,2019-10-01,89
IDF55050377,2018-09-01,85
IDF55143010,2018-10-01,98
IDF54913496,2018-06-01,81
IDF55082128,2016-04-01,98
IDF54963113,2019-12-01,108
IDF55037159,2016-12-01,89
IDF54896852,2016-07-01,124
IDF55005969,2018-07-01,124
IDF55056753,2016-03-01,105
IDF54985336,2018-12-01,144
IDF55073446,2018-12-01,117
IDF54981349,2017-02-01,144
IDF54898025,2018-11-01,142
IDF55146010,2015-08-01,148
IDF54907257,2016-12-01,149
IDF55065714,2019-05-01,127
IDF55071816,2019-04-01,89
IDF54929884,2015-09-01,111
IDF55107395,2016-01-01,116
IDF54936994,2017-08-01,112
IDF55123664,2015-05-01,149
IDF54936551,2015-04-01,112
IDF54979059,2014-08-01,82
IDF55030300,2016-03-01,85
IDF54946125,2016-03-01,117
IDF55053977,2016-02-01,87
IDF55036602,2019-08-01,98
IDF54964160,2019-03-01,131
IDF55013864,2018-12-01,93
IDF54915518,2016-05-01,103
IDF54907574,2018-10-01,98
IDF55071803,2016-06-01,140
IDF55050895,2017-05-01,133
IDF55047389,2016-02-01,110
IDF55073975,2018-12-01,94
IDF55079644,2016-03-01,86
IDF55004399,2019-02-01,112
IDF54934842,2019-08-01,137
IDF54979156,2018-12-01,117
IDF54934794,2018-05-01,141
IDF55002184,2017-06-01,93
IDF55150264,2019-04-01,142
IDF54926713,2017-01-01,113
IDF55122294,2016-02-01,118
IDF55127956,2016-12-01,148
IDF54962113,2018-11-01,87
IDF54902811,2019-09-01,150
IDF55124193,2019-03-01,143
IDF54953262,2015-03-01,101
IDF55060997,2018-07-01,100
IDF55055023,2019-11-01,124
IDF55015937,2014-07-01,83
IDF55081155,2019-10-01,84
IDF55088430,2019-07-01,122
IDF54985966,2019-08-01,121
IDF55081250,2017-08-01,149
IDF55121298,2018-11-01,116
IDF55069777,2019-02-01,130
IDF55098638,2015-10-01,140
IDF55062301,2019-02-01,111
IDF55113754,2015-09-01,85
IDF54967117,2018-02-01,133
IDF54986055,2016-05-01,126
IDF54957456,2014-11-01,139
IDF54975553,2018-10-01,90
IDF55110180,2015-09-01,140
IDF54935765,2017-12-01,120
IDF55014028,2017-06-01,94
IDF55025189,2014-10-01,125
IDF55055726,2019-02-01,148
IDF55023974,2018-12-01,150
IDF55148074,2015-08-01,95
IDF54918141,2016-05-01,90
IDF54995126,2017-04-01,136
IDF54963531,2019-03-01,100
IDF55027292,2016-04-01,80
IDF55111284,2018-09-01,135
IDF54967913,2018-12-01,131
IDF55019680,2019-05-01,149
IDF54987774,2015-02-01,123
IDF55047251,2015-07-01,141
IDF55066665,2018-09-01,115
IDF55020365,2019-09-01,99
IDF55122884,2019-12-01,80
IDF55083416,2019-06-01,93
IDF54947636,2018-11-01,132
IDF55041182,2017-12-01,124
IDF55022733,2017-04-01,139
IDF54900370,2018-09-01,104
IDF55106098,2019-02-01,105
IDF55141707,2019-11-01,138
IDF55106428,2019-11-01,117
IDF54990973,2019-11-01,98
IDF54949726,2018-12-01,120
IDF55037458,2019-03-01,90
IDF54984349,2019-05-01,97
IDF55059080,2017-12-01,80
IDF55041708,2017-02-01,132
IDF55031539,2017-08-01,98
IDF54942409,2018-12-01,123
IDF54973504,2019-09-01,115
IDF55009688,2017-12-01,149
IDF55051236,2017-08-01,110
IDF54989790,2018-11-01,119
IDF55024856,2015-11-01,88
IDF55009126,2016-01-01,103
IDF55024059,2016-02-01,131
IDF54941733,2014-12-01,121
IDF55009237,2016-07-01,125
IDF54960697,2014-09-01,134
IDF54908882,2017-04-01,150
IDF54953178,2018-12-01,80
IDF55087130,2015-09-01,100
IDF54951431,2015-03-01,131
IDF54916780,2014-06-01,140
IDF55053145,2015-07-01,109
IDF55112914,2016-08-01,125
IDF55132092,2018-11-01,106
IDF55016837,2014-05-01,144
IDF54918991,2018-07-01,126
IDF55009756,2019-04-01,102
IDF55066908,2018-06-01,128
IDF55036944,2018-10-01,140
IDF55128700,2014-01-01,93
IDF55075796,2018-05-01,142
IDF54932696,2019-05-01,98
IDF55050652,2016-07-01,135
IDF55007693,2017-12-01,137
IDF55133555,2019-09-01,104
IDF54946397,2014-04-01,124
IDF55032293,2015-05-01,129
IDF55113550,2019-08-01,88
IDF54932222,2019-05-01,119
IDF54960563,2019-09-01,87
IDF55150418,2018-12-01,91
IDF54910523,2017-03-01,104
IDF54991360,2016-10-01,137
IDF54927561,2016-08-01,138
IDF54997089,2014-05-01,130
IDF55071526,2017-03-01,81
IDF54991388,2019-04-01,91
IDF54920052,2019-05-01,113
IDF54937057,2014-03-01,142
IDF54932332,2019-08-01,131
IDF54989268,2019-04-01,96
IDF55057798,2019-12-01,124
IDF54942028,2015-09-01,146
IDF55072165,2018-07-01,114
IDF54924398,2019-08-01,83
IDF55090207,2018-07-01,83
IDF54991519,2019-05-01,109
IDF54922756,2019-05-01,95
IDF55094849,2015-11-01,143
IDF54918501,2018-02-01,114
IDF55078641,2018-03-01,131
IDF55064437,2019-05-01,89
IDF55103839,2018-03-01,109
IDF54925190,2016-03-01,130
IDF54987593,2019-11-01,136
IDF55075877,2015-05-01,105
IDF55064211,2015-09-01,115
IDF55125992,2014-03-01,104
IDF55111635,2018-07-01,116
IDF54993035,2018-10-01,106
IDF54981977,2014-08-01,93
IDF54967007,2019-10-01,123
IDF55022584,2017-04-01,116
IDF55132839,2014-08-01,121
IDF55086844,2018-10-01,81
IDF54924827,2015-05-01,105
IDF55136089,2017-08-01,145
IDF54928173,2019-02-01,121
IDF55055711,2014-06-01,130
IDF54944036,2017-08-01,121
IDF55057690,2015-08-01,91
IDF54993078,2019-08-01,98
IDF55029672,2016-07-01,94
IDF55051947,2014-11-01,137
IDF54957793,2016-12-01,100
IDF54920041,2015-09-01,114
IDF55015564,2015-02-01,140
IDF55151081,2019-10-01,107
IDF54948243,2019-09-01,100
IDF55122388,2016-06-01,127
IDF55015665,2017-03-01,108
IDF55070478,2017-03-01,85
IDF55145836,2015-05-01,104
IDF54937850,2016-04-01,138
IDF55028314,2015-10-01,143
IDF55142369,2016-03-01,82
IDF54922927,2014-10-01,143
IDF54914705,2017-04-01,91
IDF55089735,2017-04-01,96
IDF55007136,2019-09-01,92
IDF55113260,2018-04-01,87
IDF55038347,2014-05-01,122
IDF55086398,2016-09-01,114
IDF55006322,2014-09-01,84
IDF54990665,2019-05-01,84
IDF54998578,2018-05-01,92
IDF54919375,2019-07-01,126
IDF55073805,2019-03-01,81
IDF54982758,2018-07-01,119
IDF55070029,2015-05-01,150
IDF55138141,2018-04-01,109
IDF55031450,2015-10-01,100
IDF54924655,2019-03-01,142
IDF55022907,2019-07-01,87
IDF55130405,2015-08-01,86
IDF55130934,2019-08-01,95
IDF55029126,2018-12-01,143
IDF54953682,2015-08-01,103
IDF55040469,2017-01-01,122
IDF54965345,2014-10-01,94
IDF54955359,2016-04-01,113
IDF54943044,2014-12-01,140
IDF55115934,2017-11-01,133
IDF55077967,2019-11-01,111
IDF54941043,2019-04-01,107
IDF54932302,2017-07-01,90
IDF55062319,2019-03-01,84
IDF55045274,2018-09-01,115
IDF54908132,2019-11-01,116
IDF54964188,2017-01-01,111
IDF55004085,2019-07-01,137
IDF55108677,2018-09-01,139
IDF54949382,2019-10-01,147
IDF55000278,2019-03-01,92
IDF54898945,2015-06-01,114
IDF55012162,2019-10-01,107
IDF54931911,2016-01-01,147
IDF55062228,2017-06-01,93
IDF54898734,2018-09-01,109
IDF54953610,2018-08-01,149
IDF54987132,2019-11-01,133
IDF54954033,2015-08-01,143
IDF55050090,2015-03-01,114
IDF55079530,2015-10-01,110
IDF55128689,2017-02-01,109
IDF55143195,2016-01-01,87
IDF54983543,2018-07-01,92
IDF55112334,2018-04-01,137
IDF55038265,2016-10-01,114
IDF55022674,2018-11-01,148
IDF55044746,2019-06-01,101
IDF54973597,2018-09-01,99
IDF55026411,2018-02-01,134
IDF54971237,2014-07-01,115
IDF55115844,2017-03-01,104
IDF54951564,2019-12-01,135
IDF54943598,2016-11-01,109
IDF54972074,2015-08-01,134
IDF55135479,2019-04-01,87
IDF55077856,2018-06-01,120
IDF55002769,2014-07-01,130
IDF55022074,2018-09-01,89
IDF55115219,2018-08-01,113
IDF55138726,2019-09-01,84
IDF55070162,2016-07-01,134
