ID,возраст,семейное_положение,наличие_иждивенцев,дата_регистрации
IDF55103571,50,нет семьи,0,2016-10-01
IDF55120159,65,нет семьи,1,2018-11-01
IDF55039012,28,разведённые,1,2014-08-01
IDF55093012,33,нет семьи,1,2018-04-01
IDF55017003,49,разведённые,1,2014-08-01
IDF54960977,64,разведённые,0,2015-02-01
IDF54994660,44,нет семьи,0,2018-03-01
IDF55088874,57,есть семья,1,2014-09-01
IDF55037482,29,разведённые,0,2013-04-01
IDF55135934,34,нет семьи,1,2013-01-01
IDF54899959,51,есть семья,0,2019-06-01
IDF54999743,52,нет семьи,1,2017-01-01
IDF55066465,61,есть семья,0,2015-06-01
IDF55120256,47,есть семья,0,2019-03-01
IDF54950809,44,нет семьи,1,2018-08-01
IDF54973196,51,разведённые,0,2018-09-01
IDF54981910,37,есть семья,0,2015-01-01
IDF55021012,36,есть семья,0,2017-06-01
IDF54968773,43,разведённые,0,2013-02-01
IDF54985369,21,разведённые,0,2014-03-01
IDF54942324,22,есть семья,1,2014-03-01
IDF54973904,51,есть семья,0,2016-01-01
IDF54966931,40,нет семьи,1,2015-11-01
IDF55009365,66,нет семьи,0,2013-01-01
IDF54898089,59,есть семья,0,2016-10-01
IDF55095399,59,есть семья,1,2018-01-01
IDF54972800,55,нет семьи,1,2014-06-01
IDF54964405,25,нет семьи,0,2018-07-01
IDF54910842,48,разведённые,0,2013-12-01
IDF54917135,21,нет семьи,1,2019-10-01
IDF55110800,69,разведённые,1,2014-08-01
IDF55061608,24,есть семья,0,2014-07-01
IDF54967688,49,есть семья,0,2013-11-01
IDF55100738,45,есть семья,0,2016-07-01
IDF55012847,25,есть семья,1,2018-06-01
IDF54905022,22,нет семьи,1,2018-11-01
IDF54896685,38,разведённые,1,2017-01-01
IDF55054568,58,разведённые,1,2015-08-01
IDF54946062,21,есть семья,1,2016-01-01
IDF55096652,59,есть семья,1,2019-12-01
IDF54912920,26,нет семьи,1,2016-06-01
IDF55095698,56,есть семья,1,2017-11-01
IDF55133936,26,есть семья,0,2015-01-01
IDF55087501,35,нет семьи,1,2017-09-01
IDF55058244,49,нет семьи,1,2016-08-01
IDF55014819,19,нет семьи,0,2014-02-01
IDF55029739,28,нет семьи,1,2013-12-01
IDF54970813,45,нет семьи,0,2017-12-01
IDF54901864,40,нет семьи,0,2014-01-01
IDF55028296,44,есть семья,0,2018-10-01
IDF54907543,66,есть семья,1,2014-08-01
IDF54946578,20,разведённые,1,2013-04-01
IDF55051585,60,нет семьи,1,2016-12-01
IDF55083006,23,нет семьи,0,2015-02-01
IDF54984289,21,нет семьи,1,2016-02-01
IDF55013403,32,нет семьи,0,2013-06-01
IDF55128836,22,есть семья,1,2018-10-01
IDF55108966,46,нет семьи,1,2018-03-01
IDF54931666,58,есть семья,1,2015-07-01
IDF55050939,63,нет семьи,1,2015-06-01
IDF55077458,53,нет семьи,1,2016-09-01
IDF55148133,54,есть семья,1,2017-10-01
IDF55114397,67,разведённые,1,2015-05-01
IDF55015211,48,разведённые,1,2019-04-01
IDF55143770,57,разведённые,0,2014-09-01
IDF54904457,65,есть семья,0,2014-11-01
IDF55070282,20,нет семьи,1,2019-11-01
IDF55073613,51,разведённые,1,2015-07-01
IDF55053677,42,есть семья,1,2014-01-01
IDF55034471,48,есть семья,0,2017-04-01
IDF54906497,51,разведённые,1,2013-03-01
IDF54938230,24,нет семьи,0,2017-03-01
IDF54930418,68,есть семья,0,2018-11-01
IDF54922512,30,нет семьи,1,2016-11-01
IDF54945755,20,нет семьи,1,2016-01-01
IDF55065097,64,нет семьи,1,2018-02-01
IDF55037005,31,разведённые,0,2013-10-01
IDF55082325,56,есть семья,0,2015-10-01
IDF54981660,38,есть семья,1,2017-06-01
IDF55053403,37,есть семья,0,2013-07-01
IDF55060354,43,есть семья,1,2018-03-01
IDF55059101,61,нет семьи,0,2016-12-01
IDF54982591,60,нет семьи,1,2019-09-01
IDF54972519,36,разведённые,1,2017-07-01
IDF55055872,29,разведённые,1,2015-01-01
IDF54950050,42,есть семья,1,2016-01-01
IDF55058152,51,разведённые,0,2018-07-01
IDF54919663,68,разведённые,0,2019-08-01
IDF54974854,45,разведённые,0,2014-07-01
IDF55104761,18,есть семья,0,2019-01-01
IDF55145338,63,нет семьи,0,2013-01-01
IDF54970496,41,разведённые,1,2013-03-01
IDF55002033,52,есть семья,0,2013-03-01
IDF55077696,32,разведённые,0,2017-06-01
IDF55031817,67,нет семьи,0,2018-10-01
IDF55051126,20,разведённые,1,2014-05-01
IDF55087384,48,разведённые,1,2017-11-01
IDF54941148,43,разведённые,1,2019-12-01
IDF55021684,68,есть семья,1,2014-06-01
IDF55054418,50,разведённые,0,2013-07-01
IDF55024251,39,нет семьи,1,2017-01-01
IDF55047571,36,есть семья,1,2018-06-01
IDF55080780,31,есть семья,1,2018-12-01
IDF54975760,40,нет семьи,0,2015-01-01
IDF55094494,34,есть семья,1,2013-11-01
IDF55078631,21,разведённые,1,2017-08-01
IDF55027708,60,нет семьи,1,2018-01-01
IDF54960297,58,есть семья,0,2013-06-01
IDF55005224,20,есть семья,1,2016-04-01
IDF55144404,37,разведённые,0,2016-06-01
IDF54947708,29,нет семьи,1,2019-08-01
IDF54973232,33,нет семьи,1,2013-12-01
IDF54929072,29,нет семьи,0,2013-03-01
IDF54917160,60,есть семья,0,2017-02-01
IDF55061588,60,нет семьи,1,2019-03-01
IDF55068256,58,нет семьи,1,2014-01-01
IDF55066913,36,есть семья,0,2015-05-01
IDF54958333,34,нет семьи,0,2014-05-01
IDF55011101,29,нет семьи,1,2019-06-01
IDF54912770,42,есть семья,0,2016-05-01
IDF54917467,32,нет семьи,0,2019-05-01
IDF55105668,34,есть семья,0,2019-10-01
IDF54910437,44,есть семья,1,2018-12-01
IDF55129955,24,нет семьи,0,2013-03-01
IDF54977524,60,есть семья,1,2016-01-01
IDF54955245,30,разведённые,1,2019-03-01
IDF54915958,51,разведённые,1,2013-03-01
IDF55072840,21,есть семья,1,2013-06-01
IDF54940227,46,есть семья,1,2014-12-01
IDF54981354,22,разведённые,0,2015-02-01
IDF55139360,35,есть семья,0,2016-12-01
IDF55092840,23,нет семьи,1,2014-12-01
IDF55014045,52,есть семья,0,2015-10-01
IDF54921015,48,разведённые,1,2015-06-01
IDF55147644,42,есть семья,1,2019-03-01
IDF54903053,19,разведённые,0,2019-09-01
IDF55053265,50,нет семьи,0,2014-10-01
IDF55072384,23,нет семьи,0,2018-03-01
IDF54921868,48,разведённые,1,2018-06-01
IDF55126125,50,нет семьи,1,2018-05-01
IDF55076173,24,нет семьи,1,2014-05-01
IDF55094758,52,есть семья,1,2016-02-01
IDF54952800,68,есть семья,0,2016-09-01
IDF54951325,18,есть семья,1,2018-01-01
IDF55031384,38,есть семья,0,2014-04-01
IDF54955565,26,есть семья,1,2016-01-01
IDF55005938,42,разведённые,0,2016-01-01
IDF55036764,66,есть семья,0,2013-03-01
IDF55024020,41,разведённые,0,2017-07-01
IDF55003288,43,есть семья,0,2019-09-01
IDF55044876,31,нет семьи,0,2016-02-01
IDF54911104,54,есть семья,0,2015-06-01
IDF55029373,26,разведённые,1,2015-02-01
IDF55115860,34,есть семья,1,2019-05-01
IDF54925752,23,разведённые,0,2018-06-01
IDF54933591,32,нет семьи,1,2013-10-01
IDF54898513,52,нет семьи,1,2018-08-01
IDF55061323,26,разведённые,0,2016-04-01
IDF54963027,62,разведённые,0,2016-03-01
IDF55133403,39,нет семьи,0,2019-09-01
IDF54979600,61,нет семьи,1,2018-07-01
IDF55076231,57,разведённые,0,2016-02-01
IDF54982291,35,нет семьи,0,2013-01-01
IDF54988444,31,нет семьи,0,2018-08-01
IDF54939888,45,разведённые,1,2017-11-01
IDF55151518,55,есть семья,1,2015-02-01
IDF54947105,35,нет семьи,1,2017-06-01
IDF54900019,46,разведённые,0,2014-04-01
IDF54942164,42,нет семьи,0,2015-04-01
IDF55048488,36,разведённые,1,2019-07-01
IDF55142599,47,есть семья,0,2018-11-01
IDF54945675,59,есть семья,1,2013-12-01
IDF54940261,46,нет семьи,1,2016-08-01
IDF55033468,51,разведённые,0,2016-08-01
IDF54995846,38,разведённые,0,2015-06-01
IDF55067634,60,нет семьи,0,2019-12-01
IDF54991298,42,есть семья,0,2014-08-01
IDF55085207,24,нет семьи,0,2017-10-01
IDF54929173,29,нет семьи,1,2019-11-01
IDF54987953,48,нет семьи,1,2015-10-01
IDF55083342,61,разведённые,1,2018-07-01
IDF55031076,42,нет семьи,1,2019-07-01
IDF54917490,41,нет семьи,1,2018-05-01
IDF55013964,37,разведённые,0,2014-02-01
IDF55003141,63,разведённые,0,2014-04-01
IDF54924274,43,есть семья,0,2018-10-01
IDF54964214,52,нет семьи,1,2013-06-01
IDF55051261,21,есть семья,1,2018-05-01
IDF55148501,44,есть семья,1,2013-11-01
IDF54962459,41,разведённые,0,2015-08-01
IDF54921750,37,разведённые,0,2015-12-01
IDF55067674,29,нет семьи,1,2013-05-01
IDF55150476,20,нет семьи,1,2016-12-01
IDF55111772,47,разведённые,0,2013-08-01
IDF55079429,65,есть семья,1,2015-06-01
IDF55046877,20,разведённые,0,2014-11-01
IDF54926478,60,нет семьи,0,2015-04-01
IDF54979003,39,нет семьи,1,2013-08-01
IDF55136976,24,разведённые,0,2013-06-01
IDF55021205,22,есть семья,0,2013-07-01
IDF55151667,32,разведённые,0,2016-08-01
IDF55029341,66,нет семьи,1,2013-10-01
IDF54972033,52,разведённые,0,2015-08-01
IDF55019116,19,есть семья,0,2016-10-01
IDF55010015,47,есть семья,1,2019-05-01
IDF55066631,40,есть семья,1,2014-07-01
IDF55041001,55,нет семьи,1,2018-10-01
IDF55008754,19,нет семьи,0,2013-10-01
IDF55020076,19,нет семьи,0,2013-12-01
IDF55127302,41,есть семья,1,2018-06-01
IDF55040342,24,нет семьи,1,2014-04-01
IDF55060170,43,разведённые,0,2017-03-01
IDF55127973,42,нет семьи,0,2017-07-01
IDF55095247,28,есть семья,0,2019-04-01
IDF55139958,19,есть семья,0,2013-11-01
IDF54904657,54,разведённые,0,2016-06-01
IDF54936654,22,разведённые,1,2017-08-01
IDF54987925,45,нет семьи,0,2014-04-01
IDF55081824,38,нет семьи,0,2014-10-01
IDF55090965,49,разведённые,1,2014-08-01
IDF55059825,63,нет семьи,1,2019-05-01
IDF55141422,67,разведённые,1,2018-10-01
IDF54905498,22,нет семьи,1,2013-08-01
IDF54899653,56,есть семья,0,2017-07-01
IDF55140810,69,есть семья,0,2013-02-01
IDF54928515,45,нет семьи,0,2015-08-01
IDF55014047,30,разведённые,0,2013-09-01
IDF55087269,61,разведённые,1,2017-03-01
IDF55036193,40,есть семья,0,2016-05-01
IDF55079711,67,нет семьи,0,2019-07-01
IDF55086872,18,нет семьи,1,2016-07-01
IDF55111607,62,есть семья,0,2014-05-01
IDF55010246,47,есть семья,0,2014-07-01
IDF54917977,54,нет семьи,0,2014-06-01
IDF55055771,44,есть семья,0,2018-01-01
IDF55031369,18,нет семьи,0,2017-05-01
IDF54910992,40,разведённые,1,2016-10-01
IDF54902708,32,разведённые,0,2017-11-01
IDF54966755,28,нет семьи,1,2019-08-01
IDF54962202,33,есть семья,1,2019-09-01
IDF55011738,53,нет семьи,0,2013-03-01
IDF55095416,49,нет семьи,1,2014-12-01
IDF54934773,32,разведённые,0,2018-12-01
IDF55145852,46,разведённые,1,2015-09-01
IDF54986692,22,есть семья,1,2018-01-01
IDF55087861,56,разведённые,0,2016-02-01
IDF54967452,20,есть семья,1,2015-06-01
IDF55020172,37,разведённые,0,2014-10-01
IDF54981125,53,нет семьи,1,2016-02-01
IDF54922706,34,нет семьи,1,2013-12-01
IDF54905721,60,нет семьи,1,2019-01-01
IDF55037465,53,разведённые,1,2014-01-01
IDF54982701,49,разведённые,1,2017-11-01
IDF55032621,52,разведённые,1,2018-11-01
IDF55031315,64,есть семья,1,2018-07-01
IDF55030186,35,есть семья,1,2013-08-01
IDF55097364,55,есть семья,0,2018-07-01
IDF54940077,18,разведённые,0,2019-01-01
IDF54966668,57,разведённые,1,2018-09-01
IDF54937849,33,нет семьи,0,2016-09-01
IDF55025579,58,нет семьи,1,2018-03-01
IDF54944825,56,есть семья,1,2019-04-01
IDF54927854,26,есть семья,1,2014-03-01
IDF55006505,44,разведённые,0,2014-01-01
IDF55087973,58,есть семья,0,2017-06-01
IDF55087027,68,есть семья,0,2017-08-01
IDF54948455,18,разведённые,1,2015-04-01
IDF55119392,42,нет семьи,1,2018-03-01
IDF55091427,65,разведённые,0,2015-05-01
IDF55014216,26,разведённые,0,2013-03-01
IDF55019235,21,нет семьи,0,2013-07-01
IDF55106097,43,нет семьи,0,2014-08-01
IDF54989193,25,есть семья,0,2013-11-01
IDF55045857,21,нет семьи,0,2019-03-01
IDF54976544,32,есть семья,0,2018-12-01
IDF54900736,51,нет семьи,0,2017-09-01
IDF55109399,18,есть семья,0,2018-03-01
IDF55005337,24,разведённые,1,2015-04-01
IDF54990322,47,нет семьи,1,2015-04-01
IDF55013651,37,есть семья,0,2018-01-01
IDF55077710,22,есть семья,0,2018-03-01
IDF55115335,52,разведённые,0,2019-11-01
IDF55014667,60,есть семья,1,2015-04-01
IDF55087497,38,разведённые,0,2015-06-01
IDF54928571,24,нет семьи,1,2014-08-01
IDF55151042,20,разведённые,1,2016-03-01
IDF54902710,24,есть семья,0,2019-10-01
IDF55134500,45,нет семьи,0,2014-07-01
IDF55071556,44,разведённые,0,2019-01-01
IDF54906457,19,есть семья,1,2017-07-01
IDF55051309,51,разведённые,1,2017-11-01
IDF55100358,33,нет семьи,0,2013-07-01
IDF54981885,22,разведённые,0,2015-07-01
IDF55066628,18,есть семья,1,2016-11-01
IDF55072708,49,нет семьи,1,2018-08-01
IDF55100743,31,есть семья,1,2018-08-01
IDF54987535,49,есть семья,1,2018-09-01
IDF54969606,62,нет семьи,0,2013-06-01
IDF55049980,67,есть семья,1,2013-01-01
IDF54910957,34,нет семьи,0,2019-09-01
IDF55069669,47,нет семьи,0,2015-11-01
IDF55123113,66,разведённые,0,2017-08-01
IDF55143084,22,разведённые,1,2014-04-01
IDF55059613,47,нет семьи,1,2017-10-01
IDF54950315,67,разведённые,1,2014-02-01
IDF54963821,38,есть семья,0,2014-05-01
IDF55120295,19,нет семьи,0,2019-04-01
IDF54956960,61,нет семьи,0,2015-02-01
IDF55073125,29,есть семья,0,2015-08-01
IDF54899195,34,разведённые,1,2019-02-01
IDF54912405,49,разведённые,1,2015-08-01
IDF54985185,62,есть семья,0,2015-08-01
IDF55047967,44,разведённые,0,2013-08-01
IDF54989308,40,нет семьи,0,2014-08-01
IDF55027641,39,разведённые,1,2014-10-01
IDF54936612,27,есть семья,1,2016-01-01
IDF55054206,25,нет семьи,0,2016-07-01
IDF54900063,30,есть семья,1,2017-12-01
IDF55109699,69,нет семьи,0,2015-07-01
IDF55134835,58,разведённые,1,2016-05-01
IDF55016659,43,нет семьи,1,2014-12-01
IDF54898760,61,есть семья,1,2019-06-01
IDF55068856,59,разведённые,0,2014-07-01
IDF55141031,64,нет семьи,1,2019-01-01
IDF55101986,26,разведённые,0,2019-02-01
IDF54936512,22,разведённые,1,2014-12-01
IDF55042272,38,есть семья,1,2019-02-01
IDF55027100,55,нет семьи,1,2015-11-01
IDF55048291,60,есть семья,1,2013-09-01
IDF55097973,52,разведённые,1,2019-03-01
IDF54905688,56,нет семьи,0,2013-03-01
IDF55059500,36,есть семья,0,2013-07-01
IDF54927698,64,разведённые,1,2014-09-01
IDF54902770,51,разведённые,1,2015-03-01
IDF54937805,19,разведённые,1,2015-12-01
IDF55018054,52,нет семьи,1,2019-03-01
IDF54986026,37,разведённые,0,2013-01-01
IDF55053568,58,нет семьи,0,2014-06-01
IDF55096956,28,нет семьи,1,2018-06-01
IDF54981278,66,есть семья,0,2014-09-01
IDF54987825,36,разведённые,1,2016-06-01
IDF54939105,57,нет семьи,0,2014-03-01
IDF54980445,66,разведённые,1,2018-03-01
IDF54896355,44,разведённые,1,2017-10-01
IDF54998258,25,есть семья,0,2017-02-01
IDF54931455,20,нет семьи,0,2015-11-01
IDF55149713,25,разведённые,0,2014-07-01
IDF55103119,45,есть семья,1,2016-08-01
IDF55113580,26,нет семьи,0,2019-12-01
IDF55086486,33,разведённые,1,2014-03-01
IDF55061128,39,разведённые,0,2015-05-01
IDF55109476,26,нет семьи,1,2018-04-01
IDF54917059,50,разведённые,1,2013-05-01
IDF54980747,25,есть семья,0,2014-11-01
IDF54941325,31,разведённые,1,2016-02-01
IDF55148609,22,нет семьи,0,2018-03-01
IDF55087312,66,есть семья,1,2019-08-01
IDF55106717,31,есть семья,0,2014-02-01
IDF54948801,32,нет семьи,0,2016-08-01
IDF54972770,47,есть семья,1,2017-02-01
IDF54934112,36,нет семьи,1,2013-07-01
IDF55122300,28,нет семьи,1,2018-06-01
IDF55013671,23,нет семьи,0,2019-02-01
IDF55101728,64,есть семья,0,2017-11-01
IDF55040575,58,нет семьи,1,2013-07-01
IDF54944048,45,нет семьи,0,2019-04-01
IDF54965759,40,разведённые,1,2018-03-01
IDF55069991,55,разведённые,1,2017-10-01
IDF55047738,40,разведённые,1,2014-04-01
IDF54989630,55,нет семьи,0,2017-11-01
IDF55097969,26,нет семьи,0,2015-09-01
IDF54928137,21,нет семьи,0,2017-09-01
IDF55114627,29,разведённые,0,2013-04-01
IDF54976142,60,есть семья,1,2017-01-01
IDF54900246,54,разведённые,1,2013-08-01
IDF55131088,40,нет семьи,0,2018-07-01
IDF54983623,62,разведённые,0,2019-12-01
IDF55139422,34,есть семья,0,2017-04-01
IDF54970257,22,есть семья,1,2013-10-01
IDF55100837,65,разведённые,1,2015-04-01
IDF54979323,55,есть семья,0,2014-10-01
IDF54962811,22,есть семья,1,2018-05-01
IDF55002185,58,нет семьи,0,2014-04-01
IDF54921496,26,нет семьи,1,2017-09-01
IDF55059303,21,нет семьи,0,2016-03-01
IDF55087448,50,нет семьи,1,2017-09-01
IDF55147299,55,нет семьи,0,2016-11-01
IDF54896787,22,нет семьи,0,2019-07-01
IDF55008136,26,разведённые,0,2013-07-01
IDF54897832,42,есть семья,0,2019-11-01
IDF54919957,29,есть семья,1,2019-08-01
IDF54986867,23,есть семья,1,2019-01-01
IDF55145775,44,нет семьи,1,2019-10-01
IDF54977448,53,нет семьи,1,2019-10-01
IDF55006323,18,есть семья,1,2016-11-01
IDF54904807,30,нет семьи,0,2019-02-01
IDF55099813,51,нет семьи,0,2018-11-01
IDF55073960,64,разведённые,1,2018-06-01
IDF55047447,27,есть семья,0,2013-04-01
IDF55083931,42,есть семья,0,2017-09-01
IDF54926094,46,есть семья,0,2015-11-01
IDF55008513,56,разведённые,0,2015-06-01
IDF55148639,35,нет семьи,0,2014-01-01
IDF55132187,51,разведённые,1,2016-09-01
IDF55109104,41,нет семьи,1,2013-07-01
IDF55033292,43,нет семьи,0,2016-11-01
IDF55110605,23,есть семья,0,2013-09-01
IDF55049403,41,разведённые,0,2015-06-01
IDF54922524,31,есть семья,1,2019-12-01
IDF55129456,22,разведённые,1,2018-07-01
IDF54988053,23,нет семьи,0,2013-12-01
IDF54990046,58,разведённые,1,2013-10-01
IDF55089446,59,разведённые,1,2014-12-01
IDF55142780,68,есть семья,0,2018-08-01
IDF55062908,67,есть семья,1,2018-02-01
IDF55017341,37,нет семьи,1,2017-07-01
IDF55080830,21,есть семья,1,2015-12-01
IDF55040622,57,нет семьи,0,2017-05-01
IDF55034540,39,нет семьи,1,2019-03-01
IDF54900609,31,нет семьи,0,2014-05-01
IDF55106241,32,есть семья,0,2013-01-01
IDF55110652,67,разведённые,0,2019-12-01
IDF54992593,44,есть семья,0,2015-09-01
IDF55043162,26,нет семьи,0,2013-08-01
IDF55013902,21,нет семьи,1,2017-03-01
IDF55010935,21,есть семья,0,2014-10-01
IDF55012791,28,нет семьи,0,2019-08-01
IDF54948469,66,разведённые,1,2019-02-01
IDF54921538,39,есть семья,1,2019-11-01
IDF54992848,38,есть семья,1,2015-08-01
IDF55093665,44,разведённые,1,2019-12-01
IDF55046279,41,нет семьи,1,2015-07-01
IDF55086049,24,есть семья,0,2018-09-01
IDF54913779,20,есть семья,0,2013-06-01
IDF55057090,28,нет семьи,0,2018-04-01
IDF55116697,39,разведённые,1,2016-11-01
IDF54999547,22,разведённые,1,2019-10-01
IDF54940291,18,есть семья,1,2015-05-01
IDF55058726,46,разведённые,1,2017-07-01
IDF55151176,22,нет семьи,0,2019-08-01
IDF54967123,30,разведённые,1,2019-02-01
IDF54914301,25,нет семьи,1,2015-11-01
IDF55124801,26,нет семьи,1,2014-10-01
IDF55095595,21,нет семьи,1,2013-09-01
IDF55055359,65,разведённые,1,2019-11-01
IDF55145308,63,нет семьи,0,2019-09-01
IDF55115414,50,есть семья,1,2017-05-01
IDF54896558,50,есть семья,1,2016-10-01
IDF54982347,20,разведённые,0,2013-09-01
IDF55143436,35,нет семьи,0,2013-07-01
IDF55066981,18,нет семьи,1,2015-11-01
IDF54951048,26,разведённые,0,2017-08-01
IDF54991654,29,есть семья,0,2013-11-01
IDF55006333,38,разведённые,0,2013-02-01
IDF55016388,68,разведённые,0,2019-02-01
IDF55082350,65,разведённые,0,2014-12-01
IDF54958347,39,разведённые,1,2018-03-01
IDF55013540,26,нет семьи,0,2014-11-01
IDF55049411,23,разведённые,0,2016-08-01
IDF55042739,21,есть семья,0,2017-10-01
IDF55144816,38,есть семья,0,2013-05-01
IDF54955405,36,есть семья,0,2017-02-01
IDF55118058,40,нет семьи,0,2018-06-01
IDF55060720,52,нет семьи,0,2014-06-01
IDF55068691,25,нет семьи,0,2019-02-01
IDF55114400,50,разведённые,1,2014-05-01
IDF54999882,23,разведённые,1,2014-10-01
IDF55138705,65,нет семьи,1,2019-03-01
IDF55110579,57,нет семьи,0,2018-10-01
IDF54917442,18,есть семья,1,2013-01-01
IDF55124309,41,есть семья,0,2018-02-01
IDF55090230,28,разведённые,1,2017-05-01
IDF55051208,42,разведённые,0,2017-05-01
IDF55080227,61,нет семьи,0,2015-08-01
IDF54929038,58,есть семья,0,2014-09-01
IDF55096072,60,есть семья,1,2013-10-01
IDF55082801,57,есть семья,0,2016-11-01
IDF54973972,51,есть семья,0,2015-07-01
IDF55048387,53,есть семья,1,2017-08-01
IDF54991411,18,нет семьи,1,2019-05-01
IDF55086394,41,есть семья,0,2014-04-01
IDF55007579,24,разведённые,0,2017-03-01
IDF54994385,25,разведённые,1,2019-12-01
IDF54982708,23,разведённые,1,2015-06-01
IDF55133922,22,разведённые,0,2018-05-01
IDF55053884,18,есть семья,1,2014-07-01
IDF54967620,63,разведённые,1,2014-09-01
IDF54976166,22,нет семьи,1,2019-10-01
IDF55033439,19,разведённые,1,2018-03-01
IDF54995700,49,разведённые,0,2016-07-01
IDF55132901,32,разведённые,0,2014-01-01
IDF55066114,29,есть семья,1,2015-11-01
IDF54921804,58,разведённые,0,2019-09-01
IDF55030480,64,разведённые,0,2015-10-01
IDF54993206,22,нет семьи,1,2018-08-01
