user_id,days_since_last_order,order_frequency_month,order_frequency_week,avg_order_value,median_order_value,total_spent_last_month,total_spent_last_week,discount_usage_rate,last_coffee_type,preferred_roast,milk_preference,seasonal_menu_tried,coffee_bean_origin,last_drink_size,subscription_status,app_opens_per_week,notifications_enabled,review_rating_last_10,review_rating_last_1,app_crashes_last_month,seasons,days_since_last_promo,phone_type,coffee_preference_change,geo_location,churn
user_00033,14.0,12.22324522195331,2.799816434654009,1494.2555614080195,547.2984058195799,7423.930877098959,1939.7698620414983,0.3954637925540973,arabica,medium,whole,1.0,kenya,medium,basic,14.02843993140946,1.0,4.7949748354176664,4.173327715282705,1.0,summer,69.0,ios,1.0,geo_93,0
user_00303,5.0,4.267269352882913,1.0342706824821817,1047.28477825857,570.9582359521319,2626.2230434795442,464.55129632371813,0.723942068697705,arabica,dark,whole,1.0,kenya,medium,,15.677645604106045,0.0,3.477572312380301,5.720116053313571,,summer,1.0,web,0.0,geo_64,0
user_01915,6.0,2.222387905145415,0.4338796892688209,1541.452225818061,454.5032684962258,1069.7856152038164,234.99641128459348,0.25793876772476954,arabica,light,oat,0.0,colombia,small,none,3.3750695777991027,1.0,4.467167886230075,6.224425562830547,1.0,autumn,4.0,android,1.0,geo_40,0
user_09496,3.0,1.7948345134749837,0.2676824041100457,324.9767254248149,191.95711476571446,382.67811638344546,45.49289284396193,0.23911449172305663,arabica,dark,soy,,colombia,small,basic,6.463797662653049,1.0,4.318210288520918,4.477644250046076,2.0,summer,12.0,ios,0.0,geo_87,0
user_02085,3.0,3.503377882858197,0.9364600990540259,1001.0516016894417,405.0304664605508,1584.914584452161,,0.43514697397413826,arabica,dark,oat,0.0,,medium,premium,17.65535739614107,1.0,5.683202919738091,5.187073515893903,0.0,winter,,ios,0.0,geo_3,0
user_04393,0.0,5.236274882416227,1.132845711426943,2288.3247750601954,801.9297038214811,,1000.5988566780709,0.2966052639752553,arabica,light,skim,1.0,colombia,medium,none,6.201520399268213,0.0,4.415192917059251,3.1254815087130554,0.0,winter,15.0,android,0.0,geo_2,0
user_04782,4.0,,1.0136000059578247,258.93616100893036,195.35108630765185,610.3081411093858,207.88308235786866,0.44339152033100643,robusta,dark,oat,1.0,colombia,medium,basic,9.730930491684,1.0,3.6926120996414546,3.7841864887026753,0.0,winter,33.0,ios,0.0,geo_17,0
user_05900,4.0,5.540580864046225,1.31632060606417,206.7248679946246,166.8444565840698,765.7839796358394,185.21597338432142,0.42805192004476084,arabica,medium,oat,1.0,vietnam,large,none,,0.0,4.2496621142276805,6.684131299934682,1.0,summer,33.0,ios,0.0,geo_11,0
user_03457,5.0,4.289868510497557,,2678.3235791801094,1459.1238864294885,6913.253219873526,,0.16808097872033365,robusta,light,,1.0,guatemala,large,premium,9.999694083506846,1.0,2.502725539118309,3.7598927058196763,1.0,winter,46.0,ios,,geo_94,0
user_08121,4.0,1.9423729767314373,0.5030267149276114,399.60256572361834,289.5668020860428,631.3861739173809,146.58195331682435,0.14331231593556365,robusta,light,soy,0.0,brazil,small,,9.02453079416274,1.0,4.549709759964077,4.12031071742138,0.0,spring,56.0,,0.0,geo_1,0
user_01434,0.0,1.9161192542511984,0.6109060532034927,1439.3610247175948,,2391.5580921592687,738.153995500413,0.4967270592456761,blend,light,soy,1.0,ethiopia,medium,none,2.7943093670763877,1.0,,4.542602058755697,1.0,autumn,12.0,android,0.0,geo_3,0
user_09952,2.0,1.655644381975552,0.35000714300167135,1371.653047260169,451.8586765506208,648.7222998101199,111.6736632290129,0.3870555047896523,arabica,dark,none,,brazil,medium,none,4.6084634086867595,1.0,4.472977421403888,5.520438104058275,1.0,autumn,0.0,ios,0.0,geo_3,0
user_00967,1.0,7.1567562926758335,1.614819174921654,974.187754952881,282.2708468551773,2422.678567580285,514.1747016593931,0.3579414703798486,blend,medium,whole,,brazil,small,none,10.311141732388379,1.0,5.47651126936858,6.011107832192319,1.0,autumn,12.0,ios,1.0,geo_50,0
user_00035,8.0,2.444338444060495,0.5800260431951271,715.6307223876237,350.73246215163,778.036674760107,201.95037658179143,0.020268119803287313,arabica,medium,whole,1.0,vietnam,medium,basic,9.242640520800709,1.0,5.000353341222922,2.485217846187405,0.0,spring,26.0,ios,0.0,geo_67,0
user_04812,0.0,1.6180824564526808,0.38406439045318813,305.39378239910087,182.29238278964243,270.2027581930737,61.11353877720915,0.6537108097732472,robusta,light,soy,1.0,vietnam,small,none,5.798792549827706,1.0,4.300283049813783,5.331358138015331,0.0,spring,12.0,android,0.0,geo_51,0
user_08670,14.0,9.120160418924337,2.0906435197667506,1518.5991259113891,,5108.342707841112,1305.5350314700172,0.1751385536156277,arabica,dark,whole,0.0,kenya,large,premium,22.25662004081743,0.0,4.1652698511949175,3.3487002362714566,3.0,summer,1.0,ios,0.0,geo_3,1
user_02619,1.0,1.212982819989009,0.2752209211652966,1194.328684564866,362.28411874378935,488.40280074541346,77.75927654623614,0.41541454723824706,arabica,medium,almond,,brazil,medium,,4.965633445919481,0.0,3.8362256436795614,5.578597034940579,0.0,winter,4.0,android,0.0,geo_3,0
user_01145,10.0,0.5105549047626406,0.0870540120128783,648.0776330856901,398.00572998089285,187.64882279982356,43.03466613489432,0.18298824155568894,arabica,light,almond,0.0,vietnam,medium,,8.914886928948818,0.0,3.471676516754954,5.292440806883428,0.0,autumn,36.0,android,0.0,geo_95,0
user_04341,0.0,3.8954635664939694,0.9542641149600833,1225.0741027648492,872.6788287344563,3631.143986213583,650.6332537393531,0.581677327057509,arabica,medium,almond,1.0,vietnam,large,premium,5.101874469765122,1.0,4.903125987706728,1.8108778016882612,1.0,summer,7.0,web,,geo_97,0
user_05692,5.0,2.0110887910675315,0.3832707561847213,1371.1464769732456,400.7011606410781,910.0912043702969,136.18414252024218,0.20267471888215635,arabica,light,oat,1.0,colombia,small,premium,10.035600689007296,1.0,4.540584476891981,4.908417184752313,1.0,spring,4.0,ios,0.0,geo_3,0
user_02273,5.0,4.313541663827707,0.8587882830111844,1303.6965871168732,407.79293774624597,1496.6894315390002,263.812280596998,0.08116625622401277,robusta,light,oat,1.0,colombia,large,premium,,1.0,4.3655679662901825,,0.0,autumn,0.0,android,0.0,geo_2,0
user_08062,14.0,1.447181745537906,0.38294237653275887,457.69915204493464,188.97598122505096,221.6479609428672,53.555028119583135,0.21755302272177873,robusta,dark,oat,1.0,vietnam,large,basic,8.976487088506737,1.0,4.437425671853674,1.6255479056401572,0.0,spring,29.0,ios,,geo_2,0
user_01084,14.0,6.614577462846828,1.6804975471907675,394.44324212288285,162.24631282357888,1141.0659064353993,222.1354765301174,0.45797048987606154,robusta,dark,skim,,brazil,large,none,,1.0,3.140545944419797,3.3690224370657624,1.0,autumn,2.0,android,0.0,geo_1,0
user_06045,7.0,,0.6946907696618985,1012.8861811781293,486.80061132737865,1418.3735911543015,407.85472486285374,0.18624914562523154,arabica,dark,none,1.0,ethiopia,medium,none,2.7739210085048702,1.0,3.566734837672119,3.5496541201462417,0.0,summer,21.0,android,0.0,geo_1,0
user_04366,0.0,2.961602628988491,0.6617437764472421,271.2103342857271,196.2881955817071,684.8286095226779,112.92473644867405,0.2624045965834533,arabica,light,whole,,ethiopia,small,none,7.589581695647325,1.0,5.923396816941866,5.366620430033639,0.0,winter,14.0,android,1.0,geo_1,0
user_09549,15.0,3.201122395853117,0.7830187637999209,5337.570991218735,1533.8947004942186,5255.447948093787,1427.3597786497105,0.3537377530630184,arabica,light,oat,0.0,brazil,medium,,6.432862776987052,1.0,2.527499426273094,2.625417764507641,0.0,summer,9.0,android,0.0,geo_1,0
user_10042,11.0,2.997698689036496,0.6352812271572312,1729.0478925821142,884.3593309472885,,609.195133068207,0.18035425624771156,arabica,medium,none,1.0,kenya,medium,premium,7.941270402527277,0.0,3.5698726998820955,2.650998986335793,2.0,spring,6.0,ios,1.0,,0
user_05014,1.0,1.3015874355799264,0.20773406602809272,2696.58507892727,1350.7855916772937,1713.3051670243094,294.99860586648794,0.12755618389438167,blend,medium,whole,1.0,guatemala,medium,none,1.265315082593996,1.0,5.125054095143026,3.115587083706564,1.0,summer,1.0,ios,0.0,geo_3,0
user_05545,0.0,9.685461759284816,2.2330461956352408,573.3844067899125,228.6608722192478,1826.584903622403,374.48939398189555,0.3549633037455071,arabica,dark,oat,1.0,vietnam,medium,basic,9.516637142735458,1.0,,6.62883041410102,1.0,summer,14.0,android,0.0,geo_16,0
user_04411,0.0,4.093550978629356,0.8903193714947168,1299.5003992546558,415.531749136509,1878.6981881091408,309.6575282350522,0.3841809190952003,arabica,light,oat,,vietnam,small,none,15.28745948913535,1.0,4.126793469300173,4.431476680676732,1.0,summer,0.0,ios,1.0,geo_78,0
user_07539,2.0,1.3793127881203715,0.28945064927406916,1235.1529347082408,,947.9380620734244,,0.4385571194662421,robusta,medium,whole,0.0,guatemala,,basic,7.71195253010517,1.0,3.006368083365852,,1.0,winter,33.0,android,0.0,geo_100,0
user_06025,1.0,2.5296892349338402,0.50067363210978,702.2097787556268,273.09066368899266,743.504561034515,112.53347281404274,0.14129715018745692,arabica,dark,skim,0.0,brazil,large,none,9.379183805707788,0.0,4.01500383427929,3.7660453782906833,,summer,31.0,ios,0.0,geo_19,0
user_03724,2.0,0.17644986762258083,0.17047912676450358,2261.739003785901,770.7227765175646,120.25238066500279,94.56277176950148,0.20803836411900498,robusta,light,,1.0,vietnam,medium,premium,9.173567583496498,1.0,5.067567952794594,3.9954458159894344,0.0,autumn,4.0,android,,geo_98,0
user_04601,7.0,,0.5492075333180229,1583.3497366944478,465.9599791231867,1312.4323243613774,179.85193414692733,0.2604992488340437,robusta,dark,whole,0.0,vietnam,medium,none,9.491597871470677,1.0,4.857894384159984,4.647859117915761,2.0,summer,23.0,web,1.0,geo_43,0
user_00761,1.0,2.275617411509269,0.5837760988657625,1903.582040955589,652.3966913360356,1727.088087280601,267.30666011589807,0.12687232810943622,blend,medium,skim,1.0,guatemala,medium,basic,11.401145927382606,1.0,5.4761211303064945,3.854923327407153,0.0,autumn,12.0,ios,0.0,geo_8,0
user_04220,1.0,3.8440510588714636,0.7049760321001668,1807.8172796748322,,1748.4375918272285,500.20288468871996,0.47575193705604446,robusta,light,whole,1.0,brazil,,premium,4.691925451443887,1.0,3.2965300607099475,2.9458392345331523,2.0,winter,5.0,ios,0.0,geo_3,0
user_05384,5.0,1.539681079513692,0.3411871448972018,623.7874023593628,377.17403562183665,692.3320537175154,99.92378405544977,0.7183486556570169,arabica,dark,almond,,,,basic,11.009527339776664,0.0,3.518710088877597,,1.0,winter,6.0,android,0.0,geo_3,1
user_03884,10.0,0.6187312101041702,0.14628242117834148,223.24714612987935,137.73588487334644,93.70923792271275,24.44618270686435,,arabica,medium,,1.0,guatemala,small,basic,7.657285878839964,1.0,3.902859305606988,4.424477472200028,5.0,winter,15.0,android,1.0,,1
user_02919,1.0,3.1238675553956314,0.7160741359728297,494.98583820534145,320.31711070372705,802.2543341245474,164.97472052042227,0.2591818152528881,robusta,dark,,1.0,kenya,large,none,7.7123496442338535,,4.786288707771178,5.526661158686388,1.0,autumn,4.0,ios,0.0,geo_2,0
user_06248,6.0,1.8837961380212314,0.3276795917987304,1046.5085202660302,530.8087352307062,1089.228550322667,202.8467218512655,0.3954850767915131,arabica,medium,,0.0,brazil,medium,none,0.0,1.0,4.244355009628072,3.0065234259293803,0.0,autumn,2.0,ios,1.0,geo_17,0
user_00937,12.0,7.2128867560498895,1.8176992420728904,877.8595141767014,455.3952343003588,3136.0606422480732,602.9390013523886,0.31066375916219097,,medium,whole,1.0,colombia,medium,pro,19.082539556670568,1.0,,2.8600636637488916,0.0,autumn,3.0,android,0.0,geo_3,0
user_07120,11.0,2.7245885604915565,,1870.7212173369498,756.8907482224328,1931.9684778835388,444.82237858915266,0.5154625281565639,arabica,dark,whole,0.0,vietnam,small,none,,1.0,4.049906185911154,4.635728919000712,1.0,autumn,12.0,ios,0.0,geo_97,0
user_05215,4.0,3.8492527428185217,0.9867469871605985,332.0041685374482,209.22304254026494,947.6588853681471,184.49410364069635,0.34799273683059445,blend,dark,whole,0.0,kenya,small,basic,6.793916044624106,0.0,3.6260012994328727,4.345821024019978,0.0,,43.0,,0.0,geo_48,0
user_01617,5.0,0.4989028787175427,0.20596620537724053,712.7917031507461,419.4596713180037,202.03123031420296,99.61156239356217,0.32106612717377236,robusta,dark,oat,0.0,brazil,medium,none,13.21475220838003,0.0,4.615507399366327,4.017693514524716,1.0,winter,41.0,ios,0.0,geo_50,0
user_04771,2.0,5.445010947121215,1.3738498812858264,765.7543163221927,299.8112277231275,1885.7754460485728,,0.46574773561393235,robusta,dark,whole,0.0,ethiopia,medium,premium,17.34187238329838,1.0,4.964827735254677,3.7945713788972544,0.0,autumn,32.0,ios,0.0,,0
user_00135,,10.65695586957082,2.448093337684519,1398.6720058314693,507.0277243294382,4865.231680240952,938.8013197724861,0.14048131434624647,robusta,light,whole,1.0,guatemala,medium,pro,30.426443006591736,1.0,3.5468019367747505,3.9456656215197103,1.0,summer,2.0,web,0.0,geo_2,1
user_10334,7.0,2.7339371221775495,0.6941563621205546,449.8462026768278,146.10203758227453,349.42263653392934,124.11782510818912,0.37022583494453853,arabica,dark,skim,1.0,colombia,medium,premium,,0.0,5.079018760621195,4.581868040091451,2.0,winter,7.0,android,0.0,geo_61,0
user_00927,3.0,1.5920792817832783,0.29871880312217436,218.26914167573963,,184.04710315929827,37.26348115725325,0.06764899122280506,robusta,light,almond,1.0,guatemala,medium,none,4.175710856785522,0.0,3.443518008642693,3.4830436579069577,1.0,autumn,0.0,ios,1.0,geo_15,0
user_08091,2.0,3.580747475048895,0.7872011426306026,2151.71489000443,636.8096490305534,2353.8687616866537,454.0402599478805,0.3010813721112423,arabica,light,almond,1.0,kenya,small,none,9.455115355973017,1.0,3.9700816947420168,6.054082936904106,0.0,autumn,21.0,,0.0,geo_1,0
user_06170,0.0,1.619603109038132,0.3771034526876743,,401.32134555350814,767.5827583426817,110.81886070847155,0.06247540041284886,blend,dark,whole,1.0,brazil,medium,premium,14.068302594754226,1.0,3.645441021074519,4.602729357563647,0.0,spring,24.0,ios,0.0,geo_1,0
user_09125,16.0,4.862742292622716,1.2651685086655065,820.7667436833385,317.64791165068027,1422.9180485202594,517.8622573055187,0.14012869854512444,robusta,dark,almond,1.0,vietnam,large,,18.73747422442056,0.0,4.3266052163288,4.1519622155331595,,autumn,2.0,android,0.0,geo_98,0
user_00039,2.0,2.44521841612022,0.44515717666557447,154.02010693227982,117.94072936396157,259.2983483355737,51.66281077217878,0.3127985990123127,arabica,medium,,0.0,colombia,medium,,6.0093991019185555,,5.067039988689039,,0.0,winter,9.0,ios,1.0,geo_95,0
user_00500,5.0,4.7870973633623155,1.005254092299688,304.33596875211316,204.80632025115617,5906.913683260496,211.66313306641143,0.0983409427794004,arabica,medium,whole,0.0,ethiopia,medium,basic,,1.0,4.3707028486086585,3.1898530464847816,2.0,,7.0,ios,0.0,geo_1,0
user_04309,7.0,1.3736598540956733,0.17710341639013585,1226.9029611415876,367.20199070659487,493.6851298309326,,0.5204973439859732,arabica,medium,oat,0.0,guatemala,small,basic,15.122579553366293,1.0,3.211450315806051,3.769922394899326,0.0,spring,20.0,android,,geo_87,0
user_09537,7.0,3.459244353843188,0.8217987844610353,466.73950291872103,173.00380961101678,496.5646595316589,107.2703909420361,0.24856102449137815,arabica,light,,1.0,colombia,small,none,13.557384661126445,1.0,5.145043528059569,4.539463845987322,1.0,winter,3.0,ios,,geo_74,0
user_05169,7.0,2.602332819033575,0.3711294629710201,537.2321965479443,266.5856268217083,579.5859617164779,106.69158844562543,0.049952471748872934,arabica,light,whole,0.0,vietnam,large,none,5.259792965401769,,3.440870968728419,4.278218091948858,0.0,spring,34.0,web,0.0,geo_1,0
user_10153,5.0,6.749619556730932,1.575753963794293,305.5996715889114,230.5211348866262,1818.1962914477267,292.090389104472,0.24978688016983308,arabica,dark,oat,1.0,colombia,small,pro,19.29938002922461,1.0,4.018011991756041,1.6401122689311771,0.0,spring,0.0,ios,0.0,geo_35,0
user_09835,,3.774755550331097,0.8533457843253685,2226.9670634814065,668.5642253313938,2457.51603819623,576.2866695651036,0.3561419692492015,robusta,medium,almond,1.0,colombia,small,premium,11.052621577880227,1.0,3.970715650680578,3.6242036695937663,2.0,,12.0,android,0.0,geo_67,0
user_05615,9.0,3.5299026279647956,0.8124308309699695,329.68072186624124,263.0243664104948,799.0802429287379,194.51091750132858,0.5700386704817496,arabica,dark,none,0.0,kenya,small,basic,8.328331382299945,1.0,4.68696567333738,4.37488542087886,0.0,spring,,,0.0,geo_68,0
user_00483,4.0,1.6845356851753166,0.2558805548780775,1312.7766728148817,528.0105454118794,989.1482435775723,149.4450648127357,0.05723627569068674,arabica,medium,almond,,kenya,large,premium,6.910987448328006,1.0,4.1014488463752405,2.4615062366398606,1.0,autumn,1.0,android,0.0,geo_59,0
user_00668,1.0,6.896728632117645,1.6509656596486804,787.982072012493,532.279879081231,3612.9983337373737,968.2823293440526,0.20304653760560146,robusta,light,soy,0.0,colombia,medium,none,10.036537825021057,1.0,4.440760256309607,6.296314426615512,1.0,winter,17.0,ios,0.0,geo_46,0
user_01413,0.0,,2.5021067903732024,304.1329974786187,160.22992859795534,1309.4379202261412,387.9111069020872,0.5203044066258014,blend,light,none,1.0,vietnam,medium,premium,15.321232885423413,1.0,,3.3243028312235188,0.0,summer,5.0,ios,0.0,geo_2,0
user_09709,4.0,4.659524008012758,1.116968926409942,902.7680963265364,408.33379360117516,1820.5205338162846,359.1492710297516,0.23352326408023996,robusta,medium,skim,,guatemala,medium,none,9.996419559905958,1.0,4.87066006651601,3.7497033371870465,1.0,winter,7.0,android,0.0,geo_3,0
user_05095,2.0,1.4728140200062412,0.33788995694300844,1385.3111294306566,520.9124205992036,841.5801579313846,,0.49943507592382225,arabica,light,whole,1.0,brazil,small,none,,0.0,4.6467334217295155,4.3847442841484225,1.0,autumn,,android,0.0,geo_3,0
user_04281,6.0,2.3184446361959132,0.39275190210675115,1595.7603484380916,671.5273641296811,,224.99605323822584,0.11504712979935873,arabica,dark,oat,1.0,brazil,small,none,3.1360853272362927,1.0,4.390393171912221,3.0714477551031694,0.0,spring,3.0,ios,0.0,geo_1,0
user_01432,3.0,0.46276179686897106,0.12962931570464703,1420.5547785236952,486.08036667299956,217.74584642563767,46.231736026763436,0.5684473618025093,arabica,medium,whole,1.0,brazil,small,,3.7617890005011483,1.0,3.1459865443932937,3.647971708956274,2.0,spring,,ios,1.0,geo_3,0
user_09605,7.0,,1.2055797500733403,46.113435453490375,18.374914137199305,120.56216285142932,18.190657600246936,0.6665573797052117,arabica,dark,whole,0.0,brazil,large,premium,3.173590107497188,0.0,4.656898138955459,3.5086812726600005,1.0,autumn,2.0,ios,0.0,geo_2,0
user_00533,4.0,7.813908798318359,1.896020522570297,748.8388988550412,306.4845315160233,,581.0972958840393,0.06876263661691473,arabica,light,oat,0.0,kenya,small,none,11.899315230867845,0.0,,5.466690391229486,0.0,summer,22.0,android,0.0,geo_3,0
user_04484,1.0,3.3779920737432896,0.7463041719543049,1405.7143567591268,417.94283275201826,,280.4080356487697,0.1988703331336657,,medium,skim,0.0,brazil,medium,basic,9.028137523421089,0.0,5.206872564579137,,0.0,winter,11.0,android,0.0,geo_1,0
user_03660,3.0,1.6507777291128696,0.4176132674775795,256.3382425757215,,172.254936319175,,0.3351702896318548,arabica,medium,whole,1.0,kenya,small,basic,5.630499249989838,0.0,2.809423659446289,4.508749569363584,0.0,winter,2.0,android,0.0,geo_97,0
user_05349,5.0,4.119531973571633,0.8527492673975592,405.92638334211176,182.8557447377658,609.6370604017718,126.84114514135129,0.43497089820162976,arabica,dark,almond,1.0,brazil,large,none,5.694853225768232,0.0,3.8503598686449374,3.71152105682603,0.0,autumn,11.0,android,0.0,geo_5,0
user_04189,6.0,1.595166477502967,0.3134193311708586,870.1298879707185,344.98680497870856,630.4144921773483,113.61852158942479,0.4876630638006429,robusta,dark,whole,0.0,,medium,basic,,,2.8603336606223557,6.377320233875823,1.0,winter,26.0,android,0.0,geo_2,0
user_03952,18.0,3.0761936556715357,0.6826268902861587,978.8261184486327,325.118571608994,949.348378128696,188.08834769036338,0.08174410748147724,arabica,dark,whole,1.0,ethiopia,small,basic,,0.0,4.770635262117415,3.5612172269552564,0.0,autumn,23.0,,0.0,geo_23,0
user_06848,4.0,,1.4920833638595221,557.6408415079943,326.2023113649594,2508.452693754182,514.6231817018096,0.5403359263245565,robusta,light,skim,0.0,guatemala,small,premium,20.863557116387096,1.0,3.5734118378376607,5.094802000911034,2.0,winter,2.0,android,0.0,geo_91,1
user_08616,,2.1425683073419237,0.4848783058444591,2267.0503899236433,730.3429950083588,1362.7239760004165,249.4783875531712,0.46979103198314565,robusta,medium,none,1.0,guatemala,small,none,6.298693749127738,1.0,4.473397522238956,4.568102504159467,0.0,summer,0.0,ios,0.0,geo_5,0
user_04040,10.0,1.1920790188832449,0.41508535195149737,447.2673850752429,352.7953915788377,458.8243666437409,163.7547799253104,0.49238165125163924,robusta,medium,,1.0,kenya,large,,8.182982033186322,1.0,5.207451076347567,,1.0,spring,3.0,android,0.0,geo_16,0
user_02030,1.0,3.6599593886596637,0.8845971727995592,599.5411631968797,498.37138977396387,1969.2152515227551,426.10451700091414,0.17501487108371475,robusta,medium,whole,0.0,colombia,medium,basic,18.1093681462375,1.0,5.487727063470919,2.8977046460930582,1.0,spring,16.0,ios,0.0,geo_42,0
user_03771,11.0,4.7215965420257335,1.0382868901540603,728.8220772572862,370.6399526705935,,,0.3896578414405991,arabica,light,whole,1.0,brazil,large,,7.179438963306902,0.0,3.2496524467519854,3.0120891257485525,2.0,spring,67.0,ios,0.0,geo_90,0
user_04043,4.0,2.32466653842586,0.5894638101869477,240.3662830239175,134.66062494224846,277.651758575447,66.71934745840262,0.27304682301024774,robusta,medium,oat,1.0,ethiopia,medium,basic,9.138956808462382,1.0,3.895857218300093,2.9324150077775695,2.0,spring,6.0,android,0.0,geo_2,0
user_01805,7.0,2.6498706874478195,0.5876929096540893,996.5745512123573,437.5986696940255,1270.0859300465488,304.0117968065527,0.5283644582261897,robusta,dark,whole,1.0,ethiopia,medium,none,4.989633736214331,0.0,2.87195227127883,3.906571249360908,0.0,,1.0,,0.0,geo_4,0
user_06604,3.0,2.4575527313884566,0.4744038953523564,420.72087568994357,,522.195233249895,132.80469038256987,0.3361579722231375,arabica,light,whole,1.0,brazil,small,premium,6.342898488091729,1.0,3.986067179772674,4.454336913654658,1.0,spring,26.0,ios,0.0,geo_96,0
user_07745,4.0,3.6851454099166836,0.9159636276114387,749.2766548193981,470.3093566809001,1941.6714801263513,506.4848015036456,0.4199782396339989,robusta,light,whole,1.0,ethiopia,large,none,6.955829669598904,1.0,3.537151060049398,4.107411034003802,0.0,autumn,3.0,ios,0.0,geo_57,0
user_09836,11.0,3.951539543070108,0.7739753170238093,169.88959601599655,130.0644651047304,508.5440457687256,72.4658988053757,0.5370546198739359,arabica,dark,oat,1.0,ethiopia,small,basic,5.9865868310412225,,5.15562765654138,4.310493374451447,0.0,spring,1.0,web,0.0,geo_90,0
user_02412,3.0,1.371903433268935,0.27354530645929037,541.7266734035976,228.66050133788664,283.97478788141933,,0.44655648098182427,arabica,medium,none,0.0,guatemala,medium,none,1.2764920643760587,0.0,2.3345466518786084,5.043760112571249,2.0,autumn,4.0,web,0.0,geo_1,0
user_05434,4.0,4.796239969616292,1.012003907270739,1120.9839921666676,384.935649404738,1625.1317863631489,286.3493725032023,0.4703795000960759,blend,dark,oat,0.0,colombia,medium,none,5.396200094451212,0.0,4.198415972925011,2.6806802670149183,2.0,spring,0.0,android,0.0,geo_3,0
